 	le	chemin	en	question	mène	à	ekyembe	</S>
k	0.241077	0.699464	0.0428384	0.0139655	0.000208319	0.00195552	0.000439269	5.21239e-05
ó	0.0431663	0.917916	0.0220457	0.00459813	0.0027963	0.00228763	0.00672639	0.000463218
ó	0.0701421	0.388302	0.293454	0.0590618	0.125129	0.0271833	0.017173	0.0195544
w	0.232624	0.22963	0.357849	0.0915373	0.00465864	0.0194853	0.00126741	0.0629479
a	0.0980674	0.0757099	0.283351	0.243354	0.0546216	0.0557339	0.010072	0.179091
m	0.0714941	0.0829189	0.495589	0.18029	0.0274354	0.0356124	0.00232722	0.104333
έ	0.0997553	0.00126872	0.503146	0.301999	0.0386909	0.0208518	0.00081159	0.033477
n	0.0767559	0.0128565	0.485115	0.312662	0.0414623	0.017586	0.00332614	0.050236
έ	0.216901	0.00854953	0.259972	0.366494	0.0227922	0.0340817	0.00460395	0.0866052
l	0.0197961	0.00782862	0.281372	0.339236	0.0951299	0.107602	0.00646178	0.142574
á	0.0252298	0.00442481	0.143729	0.145335	0.322486	0.0757851	0.0104189	0.272592
a	0.0565477	0.01972	0.189431	0.329798	0.147956	0.178365	0.0253632	0.0528189
d	0.00288025	0.00291787	0.0135076	0.0169418	0.896093	0.0305433	0.0212171	0.0158988
z	0.00101372	0.00061805	0.00498021	0.00876247	0.925016	0.0145944	0.0188572	0.0261577
w	0.000352549	9.21011e-05	0.00294082	0.00317068	0.981787	0.00262859	0.00500737	0.00402139
á	0.00410706	0.000203289	0.0296494	0.103643	0.413865	0.163932	0.0179669	0.266633
l	0.00494632	0.000970596	0.0163804	0.128547	0.143335	0.478966	0.0677628	0.159091
e	0.00388769	0.00200237	0.0179742	0.0146308	0.0787828	0.172746	0.128591	0.581386
k	0.0048025	0.00114375	0.0054955	0.00886913	0.0611033	0.13657	0.600886	0.18113
y	0.000357129	0.00343507	0.000554793	0.0013791	0.0166546	0.0116484	0.949926	0.0160454
e	0.000828105	0.0031634	0.000561748	0.00130931	0.0203143	0.0249397	0.858088	0.0907959
m	0.000312958	0.000355217	0.00157925	0.00224828	0.0406679	0.0769122	0.604486	0.273438
b	0.0022795	0.000972684	0.00206681	0.00470119	0.0134035	0.110688	0.583103	0.282785
e	0.00803736	0.00171703	0.00180015	0.00840273	0.0310475	0.026437	0.728097	0.194461
</S>	0.00108241	0.000228795	0.00491679	0.00446022	0.0129728	0.0839568	0.138082	0.7543
