 	un	chasseur	mal	adroit	rate	le	gibier	</S>
o	0.986325	0.0115745	0.00141724	8.23328e-05	0.00018425	0.000345221	5.57856e-05	1.54614e-05
b	0.339223	0.578959	0.0209208	0.0165021	0.022806	0.00262459	0.0133426	0.00562182
é	0.734892	0.20881	0.0279515	0.00293317	0.0136556	0.0031387	0.00740108	0.0012176
n	0.450946	0.345506	0.0535934	0.0175244	0.0299403	0.0098101	0.00815527	0.0845252
g	0.736128	0.153472	0.017701	0.00782513	0.0129322	0.0213059	0.00360004	0.0470352
i	0.796448	0.180031	0.0113486	0.00281719	0.00219452	0.00243152	0.00145083	0.003278
y	0.266425	0.0414143	0.382146	0.130676	0.0167815	0.0643698	0.00460131	0.0935859
e	0.380146	0.015733	0.323748	0.116413	0.0240942	0.0352551	0.0566034	0.0480078
e	0.129783	0.00336709	0.554032	0.174606	0.0157755	0.034863	0.0200082	0.0675646
d	0.00208786	0.00148316	0.359513	0.532289	0.0805019	0.00279806	0.000908664	0.0204179
í	0.00154798	6.66476e-05	0.315678	0.589675	0.0676985	0.00364706	0.000247737	0.0214391
l	0.000954322	1.85121e-05	0.229404	0.58232	0.0915679	0.0210625	0.00131242	0.0733604
i	0.000427707	7.74752e-05	0.189644	0.529085	0.119995	0.0684736	0.00909305	0.0832045
t	0.00169613	0.000337885	0.0702682	0.213455	0.572022	0.0434049	0.0338139	0.0650023
u	0.000279799	0.000139322	0.0260533	0.0396884	0.917703	0.00307458	0.0018847	0.0111769
s	0.00119787	1.38621e-05	0.0172908	0.0548003	0.86313	0.0079959	0.00148449	0.0540867
á	0.00331797	4.22015e-06	0.0211136	0.0298583	0.837758	0.0511045	0.0141458	0.0426981
l	0.00362881	0.000299742	0.0258287	0.0667502	0.35826	0.424783	0.0787476	0.0417023
á	0.000549871	0.000144971	0.0116921	0.106697	0.393904	0.0974115	0.0552186	0.334382
a	0.00334327	0.000366126	0.0171535	0.0269469	0.18384	0.354634	0.35503	0.0586869
k	0.00146252	0.00117008	0.0222151	0.109835	0.484135	0.164025	0.117402	0.0997546
ω	8.87278e-05	0.000261486	0.0170962	0.0299205	0.849497	0.0214078	0.0086428	0.0730854
n	0.00116416	0.000316882	0.0166242	0.0342284	0.733946	0.049713	0.0228884	0.141119
d	0.001583	0.000337406	0.00867875	0.0329855	0.59063	0.111884	0.0460354	0.207866
ώ	0.00849016	0.00143205	0.0202112	0.0495633	0.638896	0.106696	0.105619	0.0690916
a	0.000261234	4.73147e-06	0.00147406	0.00453812	0.038267	0.514425	0.150014	0.291016
n	0.00059079	4.25538e-05	0.0150548	0.0237741	0.0170821	0.447898	0.229885	0.265673
y	0.00185007	0.000115589	0.0010073	0.00755721	0.00206038	0.0380584	0.855497	0.0938544
a	0.000521385	2.47168e-05	0.000187455	0.000937417	0.00123911	0.00748617	0.957272	0.0323314
m	0.000667156	4.13043e-05	0.00264699	0.0116908	0.0370875	0.0912594	0.421891	0.434716
a	0.000850874	3.026e-05	0.000880613	0.00154545	0.0418649	0.168949	0.148103	0.637775
</S>	0.00140734	1.39905e-05	0.00257427	0.0089502	0.00415317	0.131328	0.0758619	0.775711
