 	le	sous-préfet	n'	est	pas	venu	faire	le	recensement	personnellement	mais	il	a	envoyé	son	représentant	</S>
k	0.376334	0.494169	0.0222327	0.00741683	0.0126103	0.00236888	0.0118305	0.0258561	0.030582	0.00646099	0.00292957	0.00365098	0.000468312	2.59336e-05	0.00304396	8.55186e-06	1.17856e-05
o	0.0954732	0.877911	0.00288527	0.00194155	0.00130672	0.00120689	0.00392883	0.00561481	0.00583227	0.00281227	0.000575192	0.00013145	8.2584e-05	8.43539e-05	0.000168797	1.03469e-05	3.4733e-05
m	0.0149556	0.844973	0.0136727	0.0100133	0.00774723	0.00853941	0.0146794	0.0169633	0.0142799	0.00607818	0.0208749	0.0113415	0.00455953	0.00405428	0.00607633	0.000174769	0.00101626
a	0.263057	0.456486	0.0902967	0.0240664	0.0172822	0.00295811	0.011975	0.0501191	0.0333808	0.0150532	0.0229898	0.00290407	0.0010678	0.000134787	0.00274659	0.000723629	0.00475905
n	0.253382	0.217158	0.342326	0.0452277	0.0260013	0.0114396	0.0124282	0.0161455	0.0128592	0.00592733	0.00696688	0.00919667	0.0109689	0.00125015	0.0017114	0.00419078	0.0228204
d	0.460889	0.132406	0.0585713	0.026505	0.0296193	0.0142269	0.0101741	0.0208168	0.0210042	0.0924508	0.0358627	0.0105217	0.00521675	0.00173202	0.00911933	0.0152235	0.0556607
a	0.339903	0.181508	0.094189	0.0394175	0.0385015	0.0246397	0.00589984	0.00821056	0.00723316	0.117884	0.0545536	0.00655385	0.00761391	0.00625915	0.0342546	0.00968111	0.023697
á	0.224377	0.136255	0.185666	0.0751304	0.0805484	0.0779852	0.0275764	0.0244851	0.0131039	0.031659	0.0198519	0.00536863	0.0103865	0.00999163	0.0197881	0.00786156	0.0499651
d	0.0208176	0.0321093	0.342281	0.177575	0.107118	0.104637	0.0381808	0.0206576	0.017022	0.010662	0.0116488	0.0127324	0.0324928	0.0117233	0.00173703	0.00422715	0.0543778
z	0.0088605	0.00640139	0.218601	0.217835	0.0600535	0.0570264	0.0182929	0.0177165	0.0117046	0.0148366	0.0234709	0.00248006	0.0172886	0.0269072	0.00417845	0.0188726	0.275474
e	0.108297	0.0136853	0.174804	0.254212	0.164206	0.12646	0.0348055	0.0268155	0.00953786	0.0150668	0.0255071	0.00125607	0.00820833	0.0184218	0.00227747	0.00223154	0.0142073
