 	j'	enfonce	une	pointe	dans	la	planche	</S>
n	0.900716	0.0151356	0.0302202	0.0222048	0.0129335	0.0119654	0.00673066	9.35258e-05
g	0.985907	0.00206676	0.00919425	0.000225993	0.00141454	0.00112775	1.70394e-05	4.6824e-05
á	0.990241	0.00340759	0.00505224	0.000100889	0.000621388	0.000536661	2.03265e-05	2.0033e-05
l	0.362668	0.073925	0.205422	0.0562487	0.0407668	0.103404	0.011538	0.146029
í	0.666506	0.153971	0.0705493	0.00760667	0.0286737	0.0202795	0.000704143	0.0517089
i	0.0470067	0.263581	0.480391	0.0525873	0.0845151	0.0192234	0.002508	0.0501876
k	0.00268154	0.900598	0.0624898	0.0175647	0.00381399	0.000754174	0.000336496	0.0117611
w	6.52119e-05	0.94918	0.0313797	0.0127511	0.00415052	0.000799248	0.000397092	0.00127655
έ	0.000685824	0.724286	0.217591	0.0314284	0.0210866	0.00101411	8.22223e-05	0.00382644
r	0.00486788	0.0480855	0.349573	0.3397	0.114704	0.085052	0.00115227	0.0568648
é	0.00222829	0.0213767	0.456832	0.252346	0.156893	0.0955934	0.00301724	0.0117129
t	0.00180029	0.00318281	0.204905	0.512167	0.203466	0.0609832	0.00539033	0.00810492
s	0.00675621	0.002176	0.0791182	0.697772	0.0806709	0.0132641	0.102711	0.0175314
έ	0.000442772	0.0104948	0.180075	0.4603	0.301239	0.0186616	0.0154274	0.0133591
r	0.00579373	0.00405316	0.0899409	0.379233	0.280376	0.092308	0.0346716	0.113623
έ	0.000406022	0.00553386	0.145762	0.217066	0.390331	0.085367	0.0122281	0.143305
s	0.000173099	0.0029176	0.0409715	0.146815	0.351809	0.310152	0.0694881	0.0776738
í	0.011161	0.00755225	0.0557218	0.0532879	0.283443	0.113414	0.159377	0.316044
b	0.0116593	0.000336833	0.00738619	0.0202606	0.153216	0.368069	0.362251	0.0768207
á	0.0116431	0.00110476	0.0111445	0.00820511	0.0851772	0.089913	0.727189	0.0656233
y	0.00552106	0.00012476	0.00228629	0.00683515	0.0453271	0.0274176	0.904508	0.00798021
á	0.00215299	0.00467192	0.04648	0.070447	0.200352	0.186776	0.315733	0.173388
</S>	0.00164066	0.00448959	0.0131661	0.0141111	0.0982394	0.324096	0.175858	0.368399
