 	mon	beau	frère	m'	a	apporté	un	paquet	de	lianes	</S>
b	0.214796	0.634316	0.0494421	0.0162886	0.0180097	0.00829179	0.013285	0.0269609	0.0177378	0.000395545	0.000476391
v	0.162337	0.627774	0.0180047	0.0540368	0.0352419	0.0134822	0.00826979	0.0257934	0.0454831	0.00774257	0.00183454
ú	0.0467269	0.539139	0.0507959	0.154339	0.0583265	0.017836	0.0263668	0.070074	0.0215958	0.0122035	0.00259591
ε	0.0342337	0.669044	0.0909764	0.0319289	0.0236589	0.00510851	0.0416693	0.0513517	0.023691	0.00592791	0.0224093
ó	0.197034	0.34119	0.15014	0.0317747	0.0409548	0.0302632	0.0213153	0.0265063	0.0283112	0.0024704	0.130039
y	0.191956	0.166193	0.409055	0.0225319	0.0832296	0.083625	0.0145356	0.0110275	0.00675091	0.00191675	0.00917871
ε	0.284032	0.0179386	0.542781	0.0519254	0.0298812	0.0215523	0.0039261	0.00133109	0.00483848	0.00642963	0.0353646
i	0.0462752	0.0586859	0.441259	0.0599305	0.0645801	0.0207535	0.0213886	0.0100614	0.0436023	0.0229955	0.210468
n	0.0701984	0.0301915	0.403891	0.32782	0.0986418	0.01485	0.00815777	0.00950525	0.0137715	0.00175867	0.0212147
g	0.508502	0.00229	0.0294473	0.425519	0.0071641	0.00093496	0.0012252	0.00123687	0.00578109	0.00774086	0.0101587
á	0.307682	0.00450244	0.0467987	0.54565	0.0184237	0.00319492	0.00309545	0.00102365	0.00369161	0.052584	0.0133531
l	0.0224788	0.0146078	0.244054	0.224408	0.294569	0.0346448	0.0694227	0.0262952	0.0502901	0.00481902	0.0144105
i	0.0411099	0.00839138	0.0854147	0.0913657	0.146252	0.216444	0.0483982	0.0188805	0.0216778	0.0119888	0.310077
b	0.0177353	0.0139835	0.166256	0.0460414	0.168895	0.168555	0.230987	0.0328235	0.0295301	0.0295587	0.0956356
ε	0.049971	0.0563986	0.141205	0.0525227	0.11805	0.187411	0.276866	0.0623689	0.0123424	0.00763172	0.0352332
ε	0.00373714	0.00983095	0.0299778	0.0115326	0.0437415	0.123968	0.28915	0.114065	0.0444261	0.0233352	0.306237
l	0.00105147	0.00304901	0.0189342	0.0159098	0.0937726	0.113008	0.386255	0.190812	0.0805262	0.00989298	0.0867893
á	0.00633023	0.00745386	0.0200104	0.0325171	0.0724559	0.192269	0.253169	0.138561	0.0479332	0.0322821	0.197018
n	0.0116497	0.00264733	0.0147281	0.0823692	0.0278789	0.0534839	0.137634	0.183759	0.230502	0.164432	0.0909154
g	0.135618	0.00101186	0.00533267	0.167001	0.00623544	0.0138962	0.0343674	0.0281205	0.0398455	0.526736	0.0418364
ω	0.00688092	0.000218387	0.0013308	0.0467235	0.00346815	0.00466965	0.0128913	0.0106903	0.0110812	0.883639	0.0184065
s	0.000232116	2.85723e-05	0.000309789	0.00392538	0.000494661	0.00053858	0.00442781	0.00238393	0.00361834	0.948649	0.0353915
í	0.000746089	0.000323663	0.00146894	0.00212483	0.00251663	0.00516728	0.0741153	0.0628408	0.0610222	0.188629	0.601045
</S>	0.00555946	0.00164302	0.00781927	0.0176787	0.0372668	0.0280949	0.044053	0.0952808	0.332964	0.0856468	0.343993
