 	il	est	venu	hier	après	midi	</S>
w	0.609611	0.318433	0.0417156	0.00176489	0.0232214	0.00438336	0.000870684
a	0.420556	0.428265	0.0990782	0.000599094	0.0141918	0.0367383	0.000571348
á	0.112922	0.370196	0.464362	0.00823181	0.0213715	0.0126053	0.010311
y	0.0287821	0.330978	0.459388	0.0751994	0.0190807	0.014593	0.0719792
ε	0.00312445	0.103662	0.394669	0.1447	0.0328688	0.0110322	0.309943
ε	0.0559164	0.161874	0.359084	0.107238	0.0305658	0.0335585	0.251764
l	0.0357434	0.125933	0.47794	0.171032	0.0483809	0.0517371	0.0892334
a	0.0946466	0.176146	0.236922	0.240706	0.0927678	0.0402387	0.118573
a	0.197708	0.107929	0.335466	0.131319	0.0676192	0.0467364	0.113223
p	0.00614102	0.0462066	0.164224	0.434038	0.141285	0.0722927	0.135812
ó	0.00131041	0.0212616	0.0156375	0.818798	0.0347105	0.0397979	0.068484
a	0.00850542	0.036896	0.123955	0.64009	0.0690505	0.0258855	0.0956179
l	0.0120624	0.0306338	0.0987321	0.141633	0.446671	0.102279	0.167988
a	0.00391214	0.00901631	0.0640697	0.0606836	0.247105	0.09663	0.518583
ε	0.0379982	0.01158	0.0529115	0.0352447	0.354549	0.273666	0.23405
k	0.000981719	0.0116715	0.01182	0.157962	0.21549	0.452953	0.149121
a	0.000782054	0.0117316	0.00262825	0.170308	0.264423	0.283313	0.266815
l	0.000143442	0.00162776	0.000638738	0.073163	0.127723	0.194024	0.602679
á	0.000845398	0.00309783	0.00241377	0.0341894	0.565323	0.158228	0.235903
a	0.00663986	0.00851718	0.0141921	0.028991	0.184965	0.390725	0.36597
</S>	0.00126098	0.011567	0.0082572	0.0231024	0.121965	0.549975	0.283872
