 	il	y	a	un	bloc	de	pierre	sur	la	route	</S>
é	0.334838	0.474792	0.129486	0.0297114	0.00203155	0.0081262	0.0118028	0.00267214	0.00618248	0.000286837	7.07385e-05
d	0.0520447	0.579543	0.175415	0.125239	0.0272811	0.0101212	0.00909947	0.00835804	0.0118878	0.000751342	0.000259533
í	0.0406093	0.204961	0.150469	0.274324	0.198524	0.0261632	0.00748552	0.0227386	0.0101291	0.000217848	0.0643772
l	0.00613348	0.0425573	0.171526	0.180943	0.087486	0.0484493	0.014543	0.0563755	0.0188014	0.00258701	0.370598
a	0.0584333	0.0365841	0.256421	0.273189	0.0488077	0.047604	0.00442485	0.0425836	0.0258344	0.0017307	0.204388
o	0.0923872	0.0370179	0.166077	0.279614	0.208052	0.0574567	0.0104663	0.0482082	0.0121677	0.00486924	0.0836835
t	0.00293462	0.00236718	0.0208437	0.152947	0.711977	0.0386848	0.0266942	0.0241783	0.0013452	0.0014713	0.0165562
ú	0.0013958	0.00985182	0.0151709	0.158685	0.674892	0.0599171	0.0369916	0.0168157	0.00193264	0.00545954	0.0188887
ú	0.000565453	0.0074361	0.00302328	0.0365256	0.879622	0.03769	0.010456	0.00583917	0.0021065	0.00119298	0.0155434
g	0.00119249	0.00122457	0.0139634	0.0597257	0.343381	0.380427	0.0910742	0.0361937	0.0187954	0.00135736	0.0526657
h	0.00321741	0.00082141	0.0134299	0.0775207	0.155191	0.39715	0.0920792	0.121785	0.0730061	0.00164975	0.0641501
á	0.0067838	0.00399504	0.0273168	0.111411	0.249651	0.372133	0.076381	0.0786266	0.0430003	0.00114428	0.0295568
m	0.00484653	0.0012061	0.0172956	0.0696225	0.07245	0.336185	0.199828	0.170821	0.0915141	0.0231337	0.0130978
á	0.0172813	0.00182477	0.0064329	0.016069	0.0278458	0.207872	0.184781	0.176266	0.0757297	0.00243276	0.283465
i	0.0045963	0.00232259	0.00862954	0.0136356	0.00978061	0.0888625	0.380484	0.217792	0.102309	0.161523	0.0100645
b	0.000387655	0.00174634	0.00149468	0.00711053	0.016777	0.0302625	0.431282	0.239322	0.049203	0.204783	0.0176311
v	0.00249266	0.00338353	0.00962121	0.00956196	0.00217077	0.0163083	0.734784	0.126784	0.0255083	0.0477943	0.0215908
e	0.000171902	0.000113219	0.000541646	0.00251138	0.000571017	0.00822323	0.761983	0.133438	0.0573102	0.00717357	0.0279629
m	0.000236201	0.00015375	0.000926433	0.00284374	0.0122192	0.0648343	0.244037	0.291914	0.150759	0.0091237	0.222953
ó	0.0206498	0.00375014	0.00468097	0.0101608	0.0200376	0.190874	0.137609	0.215366	0.11279	0.000773298	0.283308
k	0.0078395	0.00186255	0.00678832	0.00998767	0.00649982	0.0587825	0.139612	0.207194	0.15537	0.303457	0.102607
ó	0.000387243	0.00126619	0.00135861	0.00359134	0.00625277	0.0113225	0.111768	0.0664268	0.0388973	0.707595	0.0511349
ó	2.74521e-05	0.000110937	7.67434e-05	0.00025608	0.000585522	0.0030046	0.0155037	0.0120317	0.00821369	0.926853	0.0333367
</S>	0.000505415	0.00156411	0.00313333	0.00462777	0.00228557	0.0175608	0.0343533	0.100534	0.18565	0.0387334	0.611053
