 	l'	oiseau	a	pondu	des	oeufs	dans	son	nid	</S>
n	0.635967	0.161378	0.128349	0.0105736	0.024209	0.00837418	0.0202316	0.00574721	0.0042495	0.000921617
y	0.158838	0.832566	0.00521998	1.7113e-05	0.000463236	0.000277568	0.000738441	0.00123654	0.00059463	4.8371e-05
ω	0.0138729	0.95473	0.00216931	0.00173427	0.00697204	0.011072	0.000961484	0.002121	0.0050888	0.00127795
s	0.033771	0.955304	0.00287634	0.000517391	0.000235925	0.000304519	0.000133781	0.000462939	0.000592574	0.00580149
í	0.0427725	0.108332	0.0317127	0.00372549	0.0233337	0.0615964	0.030205	0.0450789	0.0450007	0.608243
á	0.103185	0.0113865	0.704127	0.122333	0.0340775	0.00487326	0.00797592	0.00281229	0.000505554	0.00872481
m	0.00528886	0.00892303	0.105159	0.507862	0.200967	0.120796	0.0279208	0.0101116	0.00160712	0.0113642
i	0.00470495	0.000602243	0.0695232	0.37163	0.367924	0.0498111	0.0783959	0.0287627	0.00165102	0.0269944
t	0.000390922	0.000556651	0.00364144	0.671667	0.131339	0.174618	0.00913178	0.00349478	0.00091325	0.00424716
έ	0.000434787	0.000293588	0.00171378	0.527207	0.0985075	0.353996	0.00767412	0.00352463	0.00143381	0.00521433
a	0.0267677	0.00497936	0.0647046	0.121683	0.307272	0.218549	0.0972243	0.06201	0.036739	0.0600711
k	0.00318721	0.000498934	0.0131832	0.0156511	0.138025	0.245513	0.310454	0.139066	0.0711354	0.0632861
y	0.000391025	4.19181e-05	0.000115819	0.023304	0.0761313	0.420859	0.043414	0.0588766	0.329666	0.0471996
e	0.000492985	5.74052e-05	0.0001111	0.00722537	0.0280554	0.258834	0.0418328	0.0732735	0.556052	0.0340651
s	0.000109675	4.6976e-05	0.000418879	0.00574876	0.0360942	0.359724	0.206549	0.0880632	0.252857	0.0503879
á	0.00030284	9.47305e-05	0.000115567	0.00142411	0.0245684	0.205115	0.0911	0.126743	0.436364	0.114172
d	0.00314677	0.000158997	0.00647429	0.00549529	0.0347811	0.0262652	0.326742	0.212891	0.114715	0.26933
z	0.000483968	5.86276e-05	0.000104336	0.000134102	0.00223986	0.0156992	0.053231	0.170606	0.553074	0.204369
ú	0.000587416	0.000337591	9.86724e-05	1.9517e-05	0.00077123	0.00707191	0.0273463	0.105785	0.779223	0.0787589
m	0.000959274	0.000285574	0.000263561	0.000100477	0.00224746	0.0240514	0.0263735	0.0371868	0.717472	0.191059
b	0.00141363	0.000338193	0.000633064	0.0013805	0.00715235	0.0118023	0.113535	0.155692	0.597293	0.110759
u	0.00169802	9.52478e-05	0.00010743	4.40446e-05	0.00169995	0.00370177	0.0216816	0.0218796	0.864728	0.0843645
</S>	0.000392886	0.000146128	0.00123227	0.00054885	0.00580587	0.00537166	0.123139	0.144161	0.085892	0.633311
