 	ils	ont	beaucoup	d'	amitié	l'	un	pour	l'	autre	</S>
b	0.91886	0.0198393	0.00213164	0.0203779	0.0130603	0.0138133	0.00342344	0.00240744	0.00394278	0.00125281	0.000890735
á	0.904565	0.0225394	0.00510426	0.0466511	0.0103326	0.00589336	0.00158974	0.00133584	0.00176084	0.000176659	5.10025e-05
a	0.976004	0.0114113	0.00306523	0.00509943	0.00110509	0.0015126	0.000436654	0.000363122	0.000449633	0.000107126	0.000445709
a	0.0501115	0.603672	0.240805	0.0275872	0.00558531	0.00321134	0.00427626	0.0074523	0.00452807	0.000392908	0.0523782
d	0.0244228	0.467378	0.338654	0.039644	0.0246502	0.0149422	0.0261139	0.0259098	0.0130424	0.00184978	0.0233927
í	0.000920591	0.145857	0.696177	0.0289205	0.0195008	0.00736744	0.00930359	0.0120666	0.0057216	0.000859302	0.0733051
l	0.00248843	0.0488914	0.288652	0.18566	0.0821232	0.0511001	0.0378098	0.035049	0.0239072	0.00966292	0.234655
o	0.00565403	0.115293	0.359044	0.128351	0.166294	0.0768958	0.0217124	0.0215806	0.0157087	0.00564525	0.0838211
n	0.00113979	0.0367772	0.153789	0.20055	0.43541	0.0588944	0.0234053	0.0138524	0.00739141	0.0189785	0.0498126
d	0.000124545	0.00334508	0.0348296	0.0559727	0.79901	0.052833	0.0150057	0.00798457	0.00450299	0.0119199	0.0144723
ú	0.000306901	0.00290595	0.0327737	0.0439294	0.793576	0.0833967	0.0131379	0.00499234	0.00392345	0.00518809	0.0158692
ú	2.47067e-05	9.30671e-05	0.00140453	0.00418431	0.888013	0.0320315	0.00826645	0.00463674	0.003944	0.054212	0.00319013
m	2.14796e-05	0.000645164	0.00860543	0.0767456	0.232063	0.403229	0.143715	0.0512614	0.0276847	0.0108648	0.0451639
á	7.10241e-05	0.000614984	0.00545197	0.0369628	0.444606	0.280713	0.110914	0.0431219	0.0189678	0.0465935	0.011982
m	0.00181012	0.00589059	0.0196016	0.0296586	0.0864639	0.0915159	0.382971	0.184152	0.0745816	0.109303	0.014052
b	0.000481931	0.00845705	0.0135805	0.027929	0.0140661	0.0444247	0.27602	0.315298	0.0999684	0.0540227	0.145751
v	0.000778839	0.000790908	0.00444625	0.0287259	0.0844588	0.0566598	0.357815	0.190784	0.108708	0.129194	0.0376387
a	0.000803721	0.000919866	0.00384404	0.022269	0.050818	0.0419073	0.2265	0.162041	0.102643	0.0625747	0.325679
m	0.000104073	0.000387305	0.00238572	0.0109036	0.069573	0.0430503	0.19808	0.194522	0.0692017	0.0814933	0.330298
b	0.000457495	0.00149267	0.0029854	0.0155954	0.0393505	0.0784353	0.245685	0.336997	0.11391	0.0753134	0.0897771
v	0.00175001	0.000460284	0.00220516	0.0180343	0.149597	0.0672661	0.185188	0.134372	0.0879781	0.244279	0.10887
a	0.000273533	0.000557051	0.00310504	0.0135239	0.148773	0.0611432	0.16427	0.140981	0.0935296	0.207659	0.166186
</S>	4.27444e-05	0.000180087	0.00144205	0.00583299	0.0244822	0.0135194	0.0667908	0.127172	0.0880397	0.105872	0.566626
