 	dans	le	partage	du	gibier	de	chasse	un	gigot	revient	de	droit	au	notable	de	la	localité	</S>
s	0.351446	0.379964	0.13419	0.0289272	0.0287186	0.05009	0.00867057	0.00274305	0.000796215	0.00195212	0.00237412	0.00267828	0.00410782	0.000341318	0.00118406	0.00172098	3.15218e-06	9.26904e-05
á	0.101525	0.504912	0.0829638	0.0261644	0.163412	0.01021	0.00262344	0.00116203	0.000405711	0.000513355	0.0035497	0.00992187	0.0105617	0.00677892	0.0136431	0.0544296	0.000664067	0.00655939
n	0.0564371	0.554392	0.0781209	0.14647	0.0992453	0.0113402	0.00230898	0.002459	0.00113721	0.000127316	0.00411083	0.0167438	0.0102286	0.00754771	0.00164941	0.00467521	0.00219987	0.000806249
y	0.0137511	0.103056	0.0569663	0.0609098	0.611006	0.0143958	0.00509955	0.00427692	0.000851118	0.000780612	0.0056091	0.00668706	0.0138716	0.00579483	0.00776643	0.00832249	0.025314	0.0555411
a	0.00926812	0.0591999	0.0401039	0.0887493	0.671078	0.019234	0.00842031	0.00735091	0.00103418	0.000911811	0.0030843	0.00970458	0.00778267	0.0104103	0.0106502	0.00492133	0.0272608	0.020835
m	0.0180012	0.043426	0.0580313	0.0583661	0.109104	0.208452	0.18811	0.122946	0.0264199	0.0270843	0.0201785	0.00399353	0.0221991	0.00228482	0.0128101	0.00576755	0.00955451	0.0632717
a	0.186513	0.0666268	0.093877	0.306194	0.177505	0.0660939	0.00795481	0.00700204	0.000868478	0.000609594	0.00635394	0.0217046	0.0140042	0.0142588	0.00492165	0.00373215	0.000118221	0.0216604
y	0.0309547	0.00694683	0.090398	0.156013	0.0705049	0.414172	0.0902693	0.044219	0.0138885	0.0145764	0.00914664	0.00532372	0.00381349	0.0025562	0.00725107	0.00700331	0.00024768	0.032715
o	0.0451577	0.0177384	0.0446165	0.171734	0.560702	0.0957098	0.0114961	0.0134206	0.000350836	0.000105456	0.00269108	0.00510041	0.00339385	0.00289555	0.00252391	0.0100481	0.00288043	0.00943426
k	0.0557473	0.0240721	0.0313405	0.342715	0.157686	0.189811	0.0712066	0.0604515	0.00371019	0.000698079	0.0059661	0.0139725	0.00834652	0.00687134	0.00260457	0.00507432	0.0087813	0.0109454
i	0.010068	0.00601166	0.0121547	0.0457831	0.012609	0.263259	0.356734	0.195777	0.0376308	0.00710994	0.00392832	0.0120476	0.0111941	0.010026	0.00699264	0.000368569	0.00105492	0.00725053
a	0.00142502	0.0026536	0.0160081	0.0255478	0.00578543	0.127393	0.307663	0.327346	0.101104	0.0232646	0.00307158	0.00506472	0.00532938	0.0136695	0.00946806	0.0011501	0.000271329	0.0237843
e	0.00931064	0.0035861	0.0121053	0.0498746	0.0790831	0.318998	0.118435	0.199972	0.0711557	0.0518641	0.0300902	0.0159088	0.0140897	0.00645117	0.00773111	0.0050759	0.000177738	0.00609108
k	0.00666466	0.000935005	0.00756011	0.00643887	0.00548547	0.0555104	0.177841	0.224251	0.239766	0.165687	0.0551217	0.0131148	0.00948458	0.00701813	0.0122881	0.00305615	0.000681631	0.0090954
o	0.00032505	0.000110296	0.000540111	0.00147789	0.000236667	0.0163377	0.264827	0.141402	0.269574	0.237957	0.0282245	0.0112224	0.0102678	0.00337323	0.00990075	0.000457459	0.000165123	0.00360119
o	9.9588e-05	4.11835e-05	0.000193249	0.000862913	0.000180478	0.0128171	0.141587	0.14613	0.411821	0.272608	0.00633412	0.000889734	0.00234285	0.000513498	0.00211561	0.000195417	0.000125195	0.00114373
é	0.0103181	0.00136956	0.00330982	0.0130692	0.0042183	0.0213638	0.0153365	0.0785691	0.092268	0.0933338	0.399346	0.114568	0.0860246	0.029727	0.0245588	0.00775102	0.000256935	0.00461187
d	0.00720287	0.000684661	0.00991772	0.00481581	0.00142552	0.0123285	0.0116609	0.0239385	0.0560148	0.0805977	0.371444	0.13524	0.107113	0.0442085	0.0900077	0.0223766	0.00429959	0.0167247
i	0.00747193	0.000169989	0.0017405	0.00294684	0.00160288	0.00581974	0.0061796	0.010883	0.0162048	0.0140185	0.251168	0.0821637	0.0373376	0.0174386	0.0883149	0.0631858	0.0123337	0.38102
e	0.00222776	0.000101101	0.000410824	0.00153263	0.000521144	0.00379162	0.00673467	0.0271471	0.137853	0.257294	0.332997	0.0686755	0.0669044	0.0221552	0.029543	0.0128842	0.00463651	0.0245905
b	0.00196532	0.000341547	0.000752573	0.000858846	0.000225922	0.000876154	0.00403022	0.0123258	0.0365994	0.0548828	0.219887	0.124484	0.125963	0.123195	0.13146	0.0248636	0.0614803	0.0758087
é	0.00210806	0.0011479	0.00292706	0.00464741	0.0014338	0.00588145	0.00363622	0.00393676	0.0130341	0.0251378	0.0737544	0.116374	0.254078	0.144742	0.219363	0.0106263	0.00353777	0.113634
é	0.000280468	0.00012895	0.000266208	0.000626404	8.59034e-05	0.000752737	0.0013634	0.00182063	0.0127169	0.0142518	0.0429992	0.170343	0.153673	0.148448	0.175568	0.0280583	0.00483491	0.243782
n	0.000567471	0.000107931	0.000513268	0.000867338	0.000122283	0.00118233	0.00141985	0.00252642	0.00354831	0.0129892	0.185658	0.213033	0.17331	0.0564244	0.157745	0.112782	0.0070386	0.0701644
g	0.00188088	0.000583188	0.00107636	0.00147879	0.00146196	0.00239553	0.00184841	0.00260765	0.00078813	0.000940475	0.104507	0.153449	0.164901	0.0872706	0.172003	0.1318	0.0505971	0.120411
á	0.000206907	0.00126733	0.0023936	0.00186228	0.00877859	0.0019946	0.000482591	0.00119661	0.000132309	0.000142095	0.0118988	0.0191796	0.0854837	0.0290622	0.11238	0.104691	0.571	0.0478478
y	0.000236956	6.49051e-05	0.000153876	0.000363034	4.08727e-05	0.000214114	0.00030142	0.00141218	0.00100415	0.000603444	0.0547037	0.130145	0.180039	0.109294	0.171441	0.209809	0.0415466	0.0986272
á	0.00827309	0.00619801	0.0132356	0.0118828	0.00465943	0.00686119	0.00202222	0.00537396	0.000773511	0.000419196	0.0179704	0.0529733	0.0729417	0.0571112	0.0771521	0.127606	0.443078	0.0914685
n	0.00173257	0.00180805	0.00345932	0.00869856	0.00122054	0.0020492	0.000477357	0.00146383	0.000931322	0.000503611	0.0272005	0.134401	0.155681	0.0443943	0.0854155	0.192546	0.224817	0.113201
d	0.000357885	0.000307726	0.000552902	0.00107941	0.00434289	0.000363339	0.000167213	0.00030506	3.40873e-05	6.07423e-05	0.00388504	0.0199623	0.0398054	0.00965676	0.0363839	0.0860911	0.72408	0.0725647
i	1.30938e-05	0.000138747	0.000230176	0.000184326	0.00142249	0.000116762	7.14015e-05	0.000131649	2.72553e-05	5.32391e-05	0.000471087	0.000685401	0.00296071	0.00156673	0.0076504	0.0213893	0.89773	0.0651572
n	2.86094e-06	9.00005e-06	3.63883e-05	7.23537e-05	0.000110246	4.79662e-05	9.4056e-05	0.000243229	8.04774e-05	0.000108322	0.00199339	0.00416584	0.0191796	0.00412303	0.0323846	0.0517639	0.484138	0.401447
g	0.000239847	0.000196733	0.000247788	0.000362897	0.000333128	0.000148958	0.00020912	0.000843032	8.20375e-05	3.85501e-05	0.00269872	0.0151326	0.0138165	0.0258276	0.0455139	0.139841	0.339873	0.414594
a	4.17513e-05	0.000118463	0.000163735	0.000172503	0.000168329	0.000108841	0.000180604	0.000411879	5.2412e-05	4.42955e-05	0.000977919	0.0033082	0.0100812	0.00800434	0.0233223	0.0557221	0.610417	0.286704
</S>	0.000241127	0.000330323	0.000883227	0.000713126	0.000173378	0.00102768	0.00108182	0.00239144	0.00047876	0.000627974	0.0104252	0.0189908	0.0582758	0.0219079	0.0911983	0.202591	0.088442	0.500221
