 	les	mouches	se	ruent	sur	les	selles	</S>
a	0.615895	0.348693	0.0315919	0.000738271	0.00188243	0.00111621	7.21769e-05	1.09389e-05
k	0.0244803	0.957929	0.00979031	0.00390673	0.00054892	0.000559785	0.00225365	0.000531104
i	0.00260433	0.993047	0.00162297	0.000824856	0.000276964	0.000242556	0.00093505	0.00044637
n	0.0131165	0.950157	0.0149334	0.0133221	0.00226442	0.000687332	0.000671232	0.00484831
y	0.117674	0.860788	0.00501539	0.00768542	0.00119004	0.000335029	0.000409698	0.00690299
i	0.06519	0.84144	0.0155291	0.0174103	0.0049863	0.00132281	0.00160256	0.0525192
m	0.208661	0.0936554	0.622719	0.0199707	0.0354798	0.00565031	0.000632078	0.0132325
á	0.521648	0.0136788	0.22616	0.0408146	0.119422	0.044911	0.0119764	0.0213904
a	0.541372	0.0308296	0.278859	0.0764821	0.0470407	0.00895865	0.00332501	0.0131326
b	0.0212093	0.0162533	0.127494	0.543817	0.225457	0.0330309	0.00577214	0.0269654
h	0.00406702	0.00995708	0.0205836	0.932373	0.0212886	0.00566958	0.00211825	0.00394272
i	0.0019449	0.00942816	0.00406527	0.969058	0.00780672	0.00151699	0.000781263	0.00539919
n	0.0115422	0.0089372	0.0395927	0.818594	0.0572797	0.0131324	0.00591644	0.0450059
g	0.0422286	0.0378799	0.170169	0.218158	0.43602	0.0580179	0.00587297	0.0316531
á	0.134652	0.115338	0.268754	0.0985519	0.184918	0.0356605	0.0219555	0.140169
a	0.00618433	0.001866	0.0334822	0.014152	0.359314	0.509272	0.054853	0.0208765
m	0.00921793	0.00968813	0.0141321	0.0162343	0.0630468	0.263705	0.592025	0.0319512
b	0.00515141	0.00129999	0.00895715	0.0201706	0.0164591	0.127888	0.664055	0.156018
í	0.000845807	0.00267441	0.00577922	0.148447	0.0180738	0.0388091	0.706962	0.0784083
</S>	0.000437282	0.000256873	0.00147367	0.0386322	0.0238345	0.0711748	0.253616	0.610574
