 	on	fabrique	le	tam-tam	avec	le	bois	de	l'	arbre	osongo	</S>
i	0.366975	0.358096	0.174962	0.0642632	0.0187682	0.00392371	0.00238012	0.00143264	0.00128074	0.00763467	0.000146648	0.000136952
s	0.0111451	0.0969172	0.0302198	0.849304	0.00491748	0.000423607	0.0011463	0.000439982	0.000513272	0.000353244	0.00420829	0.000411147
i	0.0279684	0.0761731	0.286529	0.534867	0.0150307	0.00436739	0.00151238	0.0013765	0.00111851	6.90263e-05	0.0435506	0.00743733
m	0.0079972	0.0165564	0.115761	0.785007	0.0227594	0.00487665	0.00476927	0.00371412	0.00284412	0.000286022	0.00924662	0.0261819
b	0.0381234	0.0140008	0.268118	0.58787	0.0667128	0.0126053	0.000760279	0.00101558	0.000692272	0.000201224	0.00029378	0.00960659
a	0.0965132	0.0679986	0.221171	0.411118	0.12107	0.0118592	0.00181071	0.00272155	0.00605103	0.000303104	0.00446669	0.0549175
b	0.0733023	0.0482625	0.541687	0.0525663	0.177296	0.0556353	0.0198509	0.0118272	0.00552354	0.00198062	0.00115364	0.0109149
á	0.171488	0.100581	0.100291	0.0177758	0.241302	0.14683	0.0982761	0.0378717	0.0237285	0.00339389	0.0016012	0.0568603
a	0.217564	0.0412952	0.22302	0.0328493	0.23084	0.133402	0.0503503	0.0200065	0.00996889	0.00387049	0.00108843	0.0357434
p	0.00635723	0.0131674	0.0335693	0.138902	0.201369	0.198044	0.242737	0.0413423	0.013679	0.00200439	0.0888919	0.0199371
á	0.00255072	0.0138436	0.0151665	0.0259782	0.165457	0.135001	0.422935	0.0838186	0.0146343	0.00216342	0.0823209	0.036131
á	0.00213921	0.0212317	0.0418582	0.0201238	0.1603	0.183925	0.425275	0.0794816	0.02459	0.00268732	0.0152028	0.0231855
m	0.00750719	0.00387812	0.0179318	0.00278201	0.0484945	0.446681	0.145395	0.178685	0.0673209	0.0473979	0.0169884	0.0169379
ó	0.049866	0.00137402	0.0200958	0.0476435	0.0816474	0.258666	0.046202	0.0967688	0.0634894	0.0256504	0.0557092	0.252888
s	0.0153461	0.00547299	0.0206164	0.00463878	0.0179054	0.0721198	0.106134	0.115857	0.0293673	0.0885626	0.512941	0.0110396
ω	0.00344142	0.000396688	0.0199828	0.00842818	0.00903873	0.0336685	0.0347408	0.0851952	0.0936117	0.0317957	0.629645	0.0500554
n	5.44992e-05	3.06797e-05	0.000575596	0.000114827	0.00135968	0.00867754	0.0113207	0.0194215	0.018453	0.0244622	0.885531	0.0299985
g	0.000388802	0.00100415	0.00071105	0.000270417	0.0019195	0.0103069	0.0345168	0.0879156	0.138696	0.117247	0.52463	0.0823934
ώ	0.00326647	0.0049135	0.00495741	0.000511653	0.00799186	0.0444714	0.0297777	0.0681463	0.128098	0.111048	0.377064	0.219754
</S>	0.0023618	0.0020493	0.00493503	0.000536454	0.0101237	0.0385362	0.0354434	0.119967	0.176585	0.159915	0.072027	0.37752
