 	ses	cheveux	sont	brillants	</S>
w	0.655961	0.322937	0.0185029	0.0021741	0.000424782
a	0.77363	0.15535	0.0653614	0.00545361	0.000204678
s	0.452318	0.441072	0.0781161	0.00751002	0.0209842
u	0.0171863	0.947172	0.00858827	0.00246414	0.0245897
é	0.0410504	0.860718	0.0379843	0.00363018	0.0566174
y	0.0767055	0.0444361	0.728493	0.0951182	0.0552468
é	0.116487	0.186879	0.391067	0.142676	0.16289
e	0.139095	0.111722	0.157757	0.410836	0.18059
b	0.00964411	0.00608433	0.109189	0.35198	0.523103
á	0.014904	0.00361478	0.124041	0.702452	0.154988
l	0.00573148	0.0059254	0.0639914	0.446587	0.477764
a	0.0028039	0.00137237	0.0630692	0.512387	0.420367
</S>	0.00488403	0.00114945	0.145152	0.151832	0.696983
