 	c'	est	son	arrière	grand-père	maternel	</S>
e	0.685923	0.234213	0.049378	0.0140421	0.0151806	0.00103307	0.000230419
d	0.197587	0.719616	0.0603216	0.00848251	0.00931095	0.0030089	0.00167312
í	0.371345	0.551644	0.0335488	0.00582906	0.0118101	0.00084054	0.0249824
k	0.120261	0.336542	0.0850608	0.0125101	0.0192156	0.00455477	0.421856
a	0.0253825	0.275908	0.231926	0.141642	0.0600163	0.0662398	0.198885
a	0.0184527	0.357923	0.121362	0.0924793	0.0813793	0.0721768	0.256227
g	0.0659427	0.0772933	0.259869	0.138406	0.341096	0.0101371	0.107256
h	0.00640968	0.017383	0.244044	0.174794	0.298877	0.0173723	0.24112
á	0.0107981	0.0179759	0.232433	0.188057	0.395321	0.0621122	0.0933026
y	0.028934	0.0139709	0.10646	0.120438	0.671765	0.0233184	0.0351138
a	0.00942475	0.00138328	0.016928	0.129843	0.624037	0.191008	0.0273761
n	0.00835197	0.000519276	0.00658457	0.06359	0.70751	0.209534	0.00391033
g	0.000690015	0.000147321	0.00185628	0.393523	0.177314	0.42078	0.00568941
ó	0.000170559	4.98009e-05	0.00117334	0.198365	0.103695	0.672232	0.0243152
o	0.000110117	0.000136225	0.00481231	0.0541362	0.0374249	0.827134	0.0762457
y	0.00830449	0.00476238	0.048671	0.0635324	0.234034	0.218748	0.421948
a	0.0237582	0.0121418	0.0455408	0.0627972	0.515844	0.171446	0.168472
w	0.00394066	0.00401208	0.034583	0.0293546	0.726808	0.0762523	0.125049
a	0.0224175	0.0207377	0.126402	0.0880385	0.499051	0.0593571	0.183996
</S>	0.00299968	0.00186016	0.0637725	0.0309453	0.222881	0.0880613	0.58948
