 	le	bras	est	cassé	</S>
e	0.616985	0.375059	0.00687748	0.000943683	0.000134983
b	0.147856	0.717719	0.0959528	0.0340967	0.00437493
ώ	0.0745624	0.734999	0.0119039	0.170284	0.00825057
ω	0.0744198	0.745906	0.0516227	0.0411902	0.0868619
é	0.335865	0.0783434	0.55789	0.00209	0.025812
m	0.0615786	0.00877833	0.882048	0.0216597	0.0259354
i	0.0447582	0.0087508	0.296822	0.253729	0.39594
b	0.00165517	0.00172657	0.0691166	0.85908	0.0684216
v	0.00202016	0.00383777	0.0135627	0.956868	0.0237115
ú	0.000935558	0.00316678	0.0219973	0.957822	0.016078
n	0.00639141	0.00283332	0.0274721	0.776337	0.186967
y	0.0110767	0.00194006	0.0147278	0.685022	0.287233
a	0.0127245	0.000660005	0.0215666	0.553467	0.411582
</S>	0.113156	0.00719813	0.30833	0.0979668	0.473349
