 	on	commença	à	brasser	la	bière	</S>
w	0.978666	0.00955867	0.00476651	0.00323904	0.00323924	0.000462799	6.80381e-05
a	0.968748	0.00323888	0.00900148	0.0101909	0.00804761	0.000738399	3.49481e-05
a	0.757016	0.182199	0.0375001	0.00218103	0.0107362	0.0015918	0.00877597
b	0.130069	0.678508	0.106945	0.0175159	0.0212852	0.00260488	0.0430733
á	0.0846706	0.605145	0.162724	0.106066	0.0168312	0.00366382	0.0208991
á	0.0339625	0.567093	0.183953	0.053694	0.0318049	0.0190762	0.110417
n	0.0588304	0.157559	0.647388	0.0731595	0.0386279	0.00439293	0.0200421
d	0.0606782	0.197057	0.334475	0.260039	0.0570005	0.00984235	0.0809081
í	0.0590828	0.211739	0.428182	0.21903	0.0247663	0.0102345	0.0469651
i	0.163874	0.0669165	0.407444	0.142723	0.115363	0.00850776	0.0951709
b	0.00841085	0.0918933	0.394237	0.397532	0.0665407	0.0210152	0.0203712
ω	0.00312509	0.0273206	0.157334	0.748449	0.041391	0.0171401	0.00524026
n	0.000841962	0.00784016	0.120446	0.675379	0.0886953	0.0985836	0.00821374
g	0.0225695	0.0321412	0.271929	0.268589	0.288035	0.0330099	0.083726
ω	0.0304525	0.00961112	0.17973	0.465695	0.251298	0.0207639	0.0424506
l	0.0019948	0.00141931	0.0456424	0.115864	0.716568	0.0907535	0.0277578
á	0.0108991	0.0118412	0.0585237	0.0601983	0.259608	0.314126	0.284804
l	0.00288	0.00222778	0.0116627	0.0181311	0.0965158	0.854469	0.0141132
ω	0.00132073	0.00522469	0.0162379	0.0149848	0.0356045	0.896469	0.0301585
i	0.000624261	0.00195895	0.00548516	0.0121576	0.028725	0.944697	0.00635238
</S>	0.0028121	0.0016617	0.0187595	0.00768486	0.0935306	0.450268	0.425283
