 	le	chasseur	a	tué	une	fouine	</S>
o	0.904665	0.0930868	0.00153863	0.000191949	0.00033351	0.000154478	2.99875e-05
b	0.0786799	0.907241	0.00761586	0.00346623	0.00146793	0.00130664	0.00022231
e	0.312354	0.685845	0.000385746	0.000869387	0.000247268	0.000233121	6.53957e-05
n	0.187922	0.805471	0.000765303	0.00327451	0.00097397	0.00074964	0.000843499
g	0.86567	0.0603951	0.0481263	0.00646997	0.00337515	0.00165317	0.0143105
i	0.723246	0.163968	0.0760986	0.0203071	0.0057054	0.00146955	0.00920517
á	0.115726	0.000428881	0.774977	0.064935	0.0233189	0.000925855	0.0196876
m	0.00953767	0.000523279	0.398459	0.452682	0.100563	0.0104504	0.0277847
i	0.0353072	0.000522178	0.279672	0.383831	0.267541	0.0073104	0.0258157
b	0.00044542	0.000443918	0.050591	0.822518	0.10713	0.0119945	0.00687664
o	0.00101181	0.00202744	0.0328082	0.897318	0.0573175	0.00279306	0.00672431
m	0.000125803	0.000104285	0.0189219	0.866428	0.0882114	0.0173573	0.00885121
á	0.00725032	1.85363e-05	0.0215416	0.101311	0.379038	0.090941	0.399899
o	0.00652378	0.000104151	0.0168991	0.0344684	0.201417	0.640001	0.100587
t	0.000760616	0.000849816	0.000690961	0.035004	0.087857	0.831494	0.0433434
ú	0.000235338	0.00029235	0.00431349	0.138915	0.0877256	0.715678	0.0528403
n	0.000615849	1.24207e-05	0.00126121	0.0196465	0.0588397	0.733174	0.18645
á	0.000618012	2.21034e-05	0.00145376	0.00782874	0.0792552	0.782229	0.128594
</S>	0.0116469	5.97021e-05	0.0077277	0.0071767	0.105635	0.261473	0.606282
