 	comment	t'	appelles-tu	</S>
d	0.665958	0.324851	0.00479501	0.00439572
í	0.220018	0.560776	0.070214	0.148993
n	0.539167	0.325271	0.0900379	0.0455243
a	0.0265249	0.313945	0.139663	0.519867
l	0.059005	0.407911	0.133607	0.399477
á	0.0842485	0.152193	0.0917701	0.671788
n	0.0736825	0.377372	0.531403	0.0175421
ώ	0.0292332	0.824526	0.112602	0.0336395
n	0.0365087	0.188769	0.371575	0.403147
d	0.0605331	0.125162	0.142441	0.671863
a	0.0585622	0.0677951	0.197605	0.676038
</S>	0.0482291	0.0181531	0.073276	0.860342
