 	il	y	a	des	grondements	de	tonnerre	qui	accompagnent	la	pluie	</S>
m	0.256484	0.257191	0.101409	0.0721453	0.0231753	0.0228193	0.0055329	0.0467119	0.0528841	0.159817	0.000846439	0.000984897
v	0.0653463	0.0164302	0.0631216	0.136757	0.194954	0.047149	0.0563779	0.148753	0.0872652	0.0491076	0.090066	0.0446725
ú	0.0116423	0.028527	0.0779205	0.124258	0.152762	0.0287959	0.26607	0.0480737	0.0476095	0.00397602	0.207911	0.00245511
á	0.0284789	0.150356	0.157814	0.114649	0.0566321	0.0134893	0.0841521	0.0480188	0.00404488	0.0167144	0.273948	0.0517019
b	0.0520459	0.127727	0.334146	0.286166	0.0905655	0.0405468	0.0048129	0.00678317	0.000590487	0.00542009	0.00194421	0.0492526
ó	0.0598229	0.133222	0.243733	0.159079	0.168115	0.0859201	0.00919544	0.0334307	0.00258217	0.0148918	0.0107772	0.0792312
l	0.0110937	0.0721811	0.131583	0.280534	0.140862	0.195958	0.0155243	0.0419682	0.00579277	0.0754805	0.00395842	0.0250641
á	0.0288403	0.0449572	0.0914668	0.0517334	0.0124425	0.193011	0.0452658	0.0473319	0.0595354	0.0586934	0.0153871	0.351336
a	0.0461215	0.0581783	0.132238	0.10052	0.0241057	0.169198	0.118942	0.101317	0.0825592	0.0734254	0.0485977	0.0447972
d	0.00090264	0.00842788	0.0238168	0.00798934	0.0187058	0.276722	0.464341	0.0304723	0.0149487	0.0133045	0.0455016	0.0948673
u	0.00035729	0.00199499	0.00935761	0.00975899	0.00900096	0.107996	0.585747	0.0213524	0.00577188	0.00735244	0.140907	0.100402
m	0.000977646	0.00602696	0.0129946	0.00844488	0.00278044	0.115962	0.670192	0.0768268	0.025222	0.0487098	0.0106007	0.0212622
u	0.000565972	0.00485576	0.0082187	0.0060655	0.00207299	0.124637	0.485737	0.158698	0.0304366	0.0959741	0.0239598	0.058779
n	0.000327836	0.00294185	0.00801556	0.011641	0.00623094	0.0415345	0.0807554	0.200028	0.178818	0.241653	0.140299	0.0877552
a	0.000227386	0.000406153	0.0005236	0.00319799	0.000773954	0.00796382	0.0510446	0.0902557	0.557071	0.129382	0.0841796	0.0749742
</S>	0.00038157	0.00217301	0.00248789	0.00362453	0.00176993	0.028026	0.0199526	0.121459	0.109711	0.410342	0.044121	0.25595
