 	nous	avons	vu	un	singe	vert	qui	traversait	la	route	</S>
b	0.941648	0.0325906	0.00105357	0.00146786	0.00501583	0.00769921	0.00656138	0.000725945	0.00164793	0.00144772	0.000141818
í	0.848933	0.0300878	0.0174219	0.015564	0.0159315	0.00774659	0.0326273	0.00898432	0.0219994	0.0004968	0.000207834
s	0.988132	0.0094431	0.000794011	0.000376189	0.00019544	2.18749e-05	0.000576665	0.000194673	0.000183521	7.08678e-06	7.53708e-05
í	0.475657	0.225847	0.0805551	0.0267029	0.0575775	0.00198707	0.0333265	0.0281475	0.0473428	0.000807642	0.0220495
l	0.0181107	0.135188	0.077137	0.0217865	0.00746413	0.0158411	0.0360606	0.0423678	0.062941	0.00766816	0.575435
é	0.00430213	0.130618	0.421377	0.0486521	0.0103619	0.0101058	0.0389176	0.141791	0.0516253	0.000954448	0.141295
t	0.000830874	0.324845	0.620474	0.0264757	0.00941147	0.0025232	0.00250184	0.00453708	0.00415926	0.000269233	0.00397162
ε	0.000450952	0.0992797	0.563535	0.199289	0.0981959	0.0186879	0.00169914	0.00544359	0.00190791	0.00622375	0.00528743
i	0.0290575	0.058092	0.24641	0.282327	0.212895	0.0494043	0.0212053	0.0194904	0.0169234	0.0123822	0.0518139
p	0.013642	0.0525708	0.0623766	0.247297	0.386939	0.072105	0.0811298	0.0257423	0.024628	0.00760538	0.025964
f	0.00139695	0.00231998	0.011523	0.057096	0.548884	0.245939	0.0435914	0.0555748	0.00475916	0.0192741	0.00964119
e	2.17018e-05	0.000768566	0.00791222	0.252514	0.559491	0.151007	0.0137301	0.00921305	0.00133439	0.00247289	0.00153538
n	0.000227018	0.000673765	0.0064585	0.0798922	0.373757	0.394408	0.056504	0.0378421	0.0136463	0.0134911	0.0231004
d	0.000195958	0.000855173	0.0136123	0.0530613	0.614127	0.131783	0.0647393	0.0575838	0.0136883	0.00286084	0.0474932
é	0.000459036	0.000539416	0.00747725	0.0144806	0.629142	0.0932762	0.0628343	0.123061	0.0124819	0.000935592	0.0553126
l	0.000244973	0.00124212	0.0216395	0.0593394	0.0915598	0.344407	0.261505	0.144622	0.0589272	0.0028238	0.0136891
á	0.000947015	0.00157674	0.0136034	0.0402344	0.0453656	0.179156	0.230951	0.264515	0.108904	0.00809711	0.10665
a	0.00219298	0.00186112	0.00235166	0.0139775	0.0309471	0.166535	0.239928	0.375904	0.0782731	0.0783943	0.00963549
k	7.66328e-05	0.00329759	0.0083852	0.0503631	0.0109049	0.194508	0.0486448	0.417271	0.119856	0.132064	0.0146284
y	5.22026e-06	0.000469378	0.0034453	0.0538017	0.0100676	0.460488	0.0260093	0.123597	0.0481683	0.192141	0.081807
é	3.33719e-05	0.000256328	0.00248058	0.0364218	0.0516277	0.295111	0.0487797	0.162882	0.0617892	0.187395	0.153223
n	3.44032e-05	0.000343078	0.00272261	0.0154123	0.0223628	0.108522	0.041845	0.090679	0.12324	0.238328	0.356512
á	5.52688e-05	0.000245152	0.00166216	0.00536554	0.0201584	0.0305716	0.124541	0.420556	0.216508	0.0750027	0.105334
k	0.000222476	0.000599382	0.000928597	0.00580008	0.00742069	0.022502	0.160848	0.0753705	0.241136	0.228882	0.25629
ó	9.04389e-05	6.06231e-05	0.000148115	0.00124637	0.00167506	0.0912372	0.0211442	0.0395012	0.0522077	0.720278	0.0724115
ó	6.81154e-05	3.06871e-05	0.000129731	0.000701238	0.000744125	0.049941	0.0073801	0.0227909	0.0297169	0.761262	0.127235
</S>	4.68868e-05	0.000376766	0.00111873	0.00661517	0.00185479	0.00899747	0.0446987	0.0355479	0.304705	0.0942039	0.501835
