 	le	fou	lui	a	donné	un	coup	de	bâton	sur	la	tête	</S>
e	0.830543	0.119761	0.0331348	0.00854753	0.00322978	0.00216781	0.000260018	0.000763018	0.000305293	0.000391532	0.000682552	0.000157663	5.64724e-05
b	0.0475417	0.934699	0.00213855	0.00205326	0.00632197	0.00152781	0.00204638	0.00028602	0.000290338	0.000428683	0.000492305	0.00202351	0.000150895
h	0.00959132	0.986165	0.000940326	0.000591605	0.000509243	0.000215999	3.97244e-05	3.27897e-05	0.000585839	6.14581e-05	9.9963e-05	0.00109951	6.71256e-05
ó	0.0112526	0.974383	0.00140893	0.00117027	0.00128605	0.00136757	0.000334326	0.000445524	0.00328448	0.000736818	0.00163137	0.00224458	0.000454298
a	0.285423	0.652471	0.0328086	0.0100438	0.00260699	0.00403653	0.000722277	0.00199656	0.00178334	0.00160916	0.00328945	0.00149303	0.0017166
é	0.315442	0.0472222	0.34255	0.149905	0.0696028	0.0373098	0.00690301	0.0092788	0.00115631	0.00398085	0.00152306	0.000244061	0.0148822
p	0.0172824	0.0190894	0.0328573	0.186941	0.443779	0.143043	0.0825018	0.0167202	0.00892705	0.0133136	0.0135243	0.00617108	0.0158505
í	0.00205983	0.0283091	0.0273173	0.111543	0.233326	0.26239	0.295148	0.0135604	0.00356578	0.00647247	0.00178259	0.00330315	0.0112235
m	0.00558017	0.0102866	0.0578478	0.139575	0.278479	0.235067	0.17169	0.0234311	0.0112051	0.0127693	0.00632657	0.00690383	0.0408387
b	0.0118587	0.00399545	0.0498794	0.159299	0.169488	0.288644	0.231721	0.0478319	0.0014613	0.0124439	0.0062658	0.00055558	0.0165556
i	0.0298089	0.00832728	0.112535	0.12456	0.10649	0.211036	0.160636	0.126768	0.00542014	0.0483296	0.0169581	0.00168066	0.0474498
w	0.00757614	0.00203519	0.139368	0.16352	0.12865	0.216342	0.169171	0.104121	0.0113365	0.0170141	0.0115255	0.00320452	0.026135
á	0.0175418	0.00971719	0.132059	0.0947644	0.133707	0.150865	0.108064	0.152767	0.0116202	0.0718382	0.0244792	0.00906797	0.0835097
i	0.0303522	0.00207664	0.0852515	0.0559757	0.0730408	0.0877318	0.139073	0.250028	0.0619368	0.0625883	0.0395991	0.0295319	0.0828143
b	0.00188377	0.0089432	0.00239346	0.00505221	0.022339	0.0516196	0.206782	0.102788	0.448257	0.0568596	0.0234494	0.0453203	0.0243122
v	0.00360521	0.0111858	0.00071918	0.00294582	0.00512026	0.0180694	0.02303	0.0411042	0.606405	0.0235162	0.00632806	0.25391	0.00406011
ú	0.00010598	0.000693852	2.27695e-05	0.000191806	0.000572562	0.00428523	0.00675651	0.015278	0.912928	0.00875991	0.00250633	0.046473	0.00142646
a	0.000874753	0.000390155	0.000564926	0.00163908	0.00591925	0.0252226	0.0424712	0.204347	0.517967	0.0977426	0.0472384	0.0401238	0.0154998
s	0.000400582	0.000152939	0.000815165	0.00101505	0.00173193	0.00864101	0.00869257	0.244734	0.180846	0.266791	0.209759	0.020825	0.0555968
í	0.00591048	0.0030545	0.00249563	0.00557114	0.00788548	0.0197944	0.0446847	0.180345	0.0206078	0.27449	0.241519	0.0239717	0.169671
b	0.00678163	0.0019018	0.0107504	0.00972373	0.0102756	0.00916211	0.0143574	0.105141	0.0186871	0.196617	0.297967	0.198053	0.120582
o	0.007799	0.00541173	0.0026883	0.00665909	0.00613857	0.00405558	0.00308832	0.0313497	0.0368187	0.0634396	0.07021	0.747695	0.0146461
ó	0.000100136	0.000824262	9.31242e-05	0.000281301	0.000303312	0.00108726	0.00187807	0.00503384	0.0511357	0.01653	0.0100938	0.856256	0.0563829
</S>	0.00512625	0.00128741	0.00429824	0.00452446	0.00476046	0.00857458	0.00449922	0.0636914	0.0377232	0.128814	0.27332	0.0568386	0.406542
