 	il	n'	est	pas	venu	travailler	à	cause	de	la	pluie	</S>
w	0.417387	0.106854	0.072569	0.160509	0.126143	0.0091369	0.0318912	0.0217794	0.0252801	0.0268991	0.00117909	0.000371674
a	0.519481	0.127888	0.0243656	0.146527	0.0381566	0.00355722	0.0285555	0.00308419	0.00704004	0.020349	0.0809033	9.31176e-05
á	0.0685231	0.222311	0.116695	0.160115	0.233061	0.0296906	0.0722051	0.0170691	0.0307899	0.0344569	0.00616781	0.00891483
d	0.0309016	0.255643	0.109281	0.0222637	0.16224	0.230422	0.0454149	0.0329355	0.0242413	0.0219601	0.0122141	0.0524834
z	0.00246785	0.132898	0.157905	0.0204341	0.0406024	0.249979	0.029648	0.0188736	0.0226805	0.00637807	0.00745932	0.310674
e	0.193151	0.134545	0.235152	0.191663	0.0370837	0.150557	0.0162747	0.00790274	0.00461751	0.00160173	0.00877901	0.0186731
i	0.00283525	0.0395369	0.259661	0.232965	0.172982	0.0559548	0.0208301	0.00722668	0.0192538	0.0258505	0.00601408	0.156889
s	0.0157202	0.0817063	0.18684	0.0825714	0.216073	0.130433	0.0537144	0.0651142	0.0481722	0.0186023	0.0367206	0.064332
á	0.00121942	0.0748633	0.13678	0.0279256	0.0367363	0.519437	0.0444065	0.0270894	0.0256327	0.0189415	0.0218659	0.0651025
l	0.00358063	0.0198437	0.0984833	0.130819	0.0801467	0.0825283	0.0594768	0.0285665	0.051954	0.0357344	0.0282494	0.380618
a	0.0176887	0.0526834	0.142466	0.084001	0.115204	0.103189	0.0724706	0.0413316	0.0919026	0.0401525	0.0311354	0.207776
o	0.0142329	0.0329243	0.108396	0.154559	0.148544	0.0613803	0.165751	0.0612533	0.0617026	0.060291	0.0440018	0.0869643
y	0.000923923	0.0104116	0.0159178	0.00479361	0.00937826	0.536448	0.0960923	0.270179	0.0202736	0.00602984	0.0146331	0.0149196
a	0.000484499	0.0150002	0.0326766	0.042597	0.0208574	0.638335	0.0751731	0.0390647	0.0202841	0.0177165	0.0255376	0.0722737
a	0.00104073	0.00365125	0.0294772	0.0724186	0.0146131	0.237139	0.0736572	0.0410496	0.0397453	0.0324936	0.037075	0.417639
k	0.000614725	0.00241258	0.0254794	0.0900298	0.0386981	0.0427008	0.24301	0.156576	0.162028	0.0794316	0.0127118	0.146307
a	0.00150212	0.00544009	0.0233647	0.187143	0.0571119	0.0666949	0.123434	0.166355	0.190018	0.0805468	0.00282107	0.0955685
á	0.000783418	0.00336612	0.0151021	0.0703313	0.0410494	0.0492539	0.06015	0.184272	0.0911204	0.0184719	0.00611798	0.459981
e	0.00492846	0.00445585	0.0228227	0.0213108	0.0230434	0.0269851	0.142791	0.0899696	0.235028	0.204477	0.0152616	0.208926
k	0.002144	0.0174147	0.0331225	0.00764696	0.01217	0.0418568	0.0864504	0.102059	0.185308	0.305862	0.109366	0.0965996
í	0.000143204	0.00212302	0.00849708	0.00461209	0.00358003	0.0154594	0.0885222	0.262494	0.277213	0.21207	0.0250043	0.100281
i	0.00045556	0.00249313	0.00744816	0.00869287	0.00793232	0.0518679	0.0440237	0.26034	0.141028	0.0587241	0.0179703	0.399024
d	0.00058245	0.00160629	0.00847763	0.0111214	0.00503416	0.0038967	0.0727249	0.0749889	0.234535	0.418981	0.0653672	0.102684
z	0.000174845	0.000728066	0.00346037	0.000879084	0.000202256	0.00610602	0.0144751	0.0171923	0.0982812	0.110911	0.0668362	0.680753
a	0.00179096	0.00250108	0.0112385	0.00454318	0.000499008	0.025336	0.034006	0.0545985	0.0776266	0.104247	0.320436	0.363177
a	0.000250584	0.000184732	0.00223253	0.00510534	0.000587305	0.0062009	0.0199735	0.0337736	0.103084	0.167247	0.129217	0.532144
m	0.000773096	0.00232867	0.0134865	0.0165126	0.00452375	0.00354682	0.036097	0.0169166	0.129126	0.337197	0.144524	0.294968
b	0.0150612	0.0200138	0.0242235	0.00768934	0.000906267	0.000909853	0.0205065	0.0119019	0.0454418	0.180398	0.52396	0.148988
v	0.00130473	0.00102888	0.00735232	0.0051893	0.00010766	0.00031538	0.016759	0.0157655	0.0652504	0.0546874	0.77411	0.0581294
ú	0.000871518	0.000299253	0.000900517	0.000789769	2.85789e-05	0.000211878	0.00429236	0.00720887	0.0275471	0.0129864	0.818347	0.126517
á	0.000569314	0.00156021	0.00482807	0.0119328	0.00478129	0.00260532	0.0283679	0.00993423	0.0593584	0.07031	0.400766	0.404986
</S>	0.00259175	0.00214248	0.00711358	0.0107523	0.00282391	0.00150995	0.03739	0.0184664	0.127327	0.237506	0.175336	0.377041
