 	son	père	lui	a	défendu	de	boire	directement	de	la	bouteille	</S>
t	0.396372	0.574908	0.0163869	0.00445999	0.000883867	0.0013938	0.000299598	0.00339095	0.000899949	0.000880328	4.66515e-05	7.82283e-05
á	0.0082872	0.984379	0.00350931	0.00121755	0.000209688	0.000136957	8.84715e-05	0.000221924	0.000190658	0.000486907	0.00121246	5.99949e-05
á	0.0201287	0.893643	0.0501731	0.0223963	0.0022127	0.000850237	0.000637234	0.00123513	0.000790975	0.000566937	0.00113369	0.00623186
á	0.178597	0.129615	0.365294	0.196259	0.061755	0.023993	0.00236711	0.000600639	0.00724052	0.00709588	0.000530422	0.0266522
s	0.00623085	0.00487736	0.0399895	0.0863302	0.787828	0.0211846	0.0295585	0.00819876	0.00301313	0.00275002	0.00300331	0.00703587
i	0.00212892	0.000635465	0.0157346	0.039535	0.858038	0.015424	0.0528618	0.00194301	0.0010092	0.00228696	0.00317675	0.00722598
m	0.0136982	0.00291428	0.0973709	0.0618489	0.645972	0.0543791	0.0889036	0.00483112	0.00182083	0.00220489	0.00277558	0.0232802
b	0.0227515	0.0023314	0.0928373	0.112501	0.600426	0.0848568	0.0684414	0.00144034	0.00228554	0.0030674	0.00180732	0.00725345
i	0.120283	0.00482864	0.064726	0.0585041	0.22521	0.233334	0.118349	0.067564	0.0490158	0.0177711	0.00881581	0.0315985
w	0.0848024	0.0291358	0.349156	0.166075	0.0313173	0.260171	0.0208838	0.00573907	0.0183867	0.0186686	0.00289595	0.0127676
a	0.126088	0.0735497	0.215471	0.130958	0.0493969	0.109705	0.155323	0.0589998	0.027171	0.0220381	0.0104453	0.0208542
o	0.044586	0.0280684	0.267116	0.178796	0.0230211	0.287603	0.0509504	0.0216259	0.0350223	0.0264925	0.0122635	0.0244562
b	0.000477124	2.65951e-05	0.00108078	0.0040989	0.0346797	0.0212254	0.334379	0.41481	0.0222023	0.0106869	0.143131	0.0132014
v	7.43561e-05	4.03287e-06	0.000197212	0.000271888	0.00224685	0.00445707	0.165651	0.746448	0.0149208	0.00440832	0.0553708	0.00594969
u	2.33383e-05	3.21431e-06	0.000114248	0.00031993	0.0021975	0.00483552	0.169986	0.801448	0.0115391	0.00319667	0.00321308	0.00312337
b	0.00615192	0.00397927	0.0204601	0.013812	0.00803803	0.0453098	0.0977509	0.469123	0.0943952	0.0360451	0.107034	0.0979007
h	0.0128566	0.00139272	0.00980532	0.00575342	0.0106722	0.0448627	0.098061	0.142362	0.289244	0.205234	0.0156935	0.164063
á	0.0116972	0.0016004	0.0252276	0.0122622	0.00969413	0.106427	0.0531637	0.0889295	0.255328	0.223195	0.0248897	0.187585
o	0.00112959	7.90554e-05	0.00573293	0.00393997	0.00269056	0.0158841	0.00847659	0.0179086	0.20524	0.377397	0.128387	0.233135
l	0.0004531	2.08058e-05	0.000234858	0.000249418	0.00195423	0.000659856	0.0106473	0.0195786	0.00812435	0.0179817	0.917525	0.0225712
a	0.000356171	3.63664e-05	0.00220334	0.00348335	0.0730305	0.00598191	0.0312392	0.0076802	0.00583043	0.0296669	0.810268	0.0302236
n	4.85587e-05	4.38202e-05	0.0014713	0.00109473	0.0108601	0.00641632	0.0151322	0.00451751	0.0120294	0.0420713	0.712193	0.194122
g	0.00284671	0.000477741	0.0051467	0.00567391	0.0135414	0.0119056	0.022602	0.00756398	0.0752205	0.219415	0.392219	0.243388
i	0.00626311	0.0233275	0.0118113	0.00376783	0.00193091	0.00469472	0.00615425	0.00331241	0.0281814	0.0804841	0.379606	0.450467
</S>	0.0134158	0.000655654	0.0129684	0.0067402	0.00324077	0.020382	0.00447636	0.00593262	0.148237	0.376149	0.0346465	0.373155
