 	il	s'	est	blessé	avec	un	couteau	</S>
w	0.912168	0.0716719	0.00917636	0.00221895	0.00322973	0.00125474	0.000246262	3.37304e-05
á	0.805116	0.13305	0.0181125	0.000717545	0.0212893	0.014567	0.00710452	4.27486e-05
á	0.105386	0.380231	0.25412	0.188241	0.0127992	0.0106213	0.0111984	0.0374034
k	0.0296324	0.237196	0.376179	0.28258	0.0076501	0.0124708	0.0169802	0.0373108
ώ	0.00334564	0.0108735	0.0372311	0.922069	0.0157951	0.00171656	0.00134639	0.00762264
s	0.00237703	0.0411066	0.0361846	0.890477	0.0233147	0.0032585	0.00103547	0.00224584
i	0.012724	0.0551368	0.0966334	0.731816	0.0639585	0.0213068	0.000776063	0.0176487
m	0.0804425	0.178319	0.269905	0.0989411	0.215416	0.089224	0.0246571	0.0430945
í	0.198335	0.099487	0.0247816	0.00263077	0.3578	0.211889	0.0787564	0.0263197
b	0.0211716	0.0255354	0.0250344	0.000867213	0.175622	0.0622711	0.68021	0.00928884
á	0.00519962	0.00440205	0.00522195	0.00823728	0.116591	0.0613951	0.785978	0.0129749
á	0.00154686	0.00251558	0.00396646	0.00322405	0.070613	0.0317342	0.859019	0.0273808
</S>	0.00328951	0.0115435	0.0227639	0.00153441	0.181103	0.317805	0.218208	0.243752
