 	il	va	fréquemment	chez	le	chef	coutumier	</S>
w	0.857388	0.0646904	0.0224262	0.0110888	0.0355695	0.00730394	0.00145574	7.7378e-05
a	0.808907	0.0382518	0.0112578	0.0283195	0.0740968	0.00287574	0.0362452	4.59066e-05
l	0.382782	0.34916	0.152792	0.0311826	0.0564284	0.00308182	0.0146986	0.00987496
á	0.151039	0.166484	0.159202	0.0740796	0.042062	0.0070017	0.0290785	0.371053
a	0.311371	0.25368	0.183623	0.052727	0.0471935	0.0122499	0.025425	0.113731
d	0.0260963	0.847966	0.0780951	0.00771341	0.00357923	0.00588035	0.0008081	0.0298617
z	0.00979492	0.859512	0.0868574	0.00500775	0.00622638	0.000906565	0.00021837	0.0314766
w	0.0575819	0.675851	0.217444	0.00745958	0.00844713	0.00162031	0.00156395	0.0300323
a	0.0224387	0.158008	0.561469	0.11655	0.0458341	0.000809583	0.00664618	0.0882437
á	0.0223277	0.0419791	0.55982	0.160202	0.164076	0.00375979	0.00082695	0.0470086
m	0.0278856	0.0229749	0.311116	0.26313	0.32364	0.0256119	0.00152721	0.0241146
b	0.0142545	0.0348221	0.245634	0.529295	0.0899001	0.00895713	0.0307937	0.046344
v	0.000562405	0.0038468	0.0282737	0.932055	0.015304	0.00405164	0.0136425	0.00226412
á	0.00471876	0.00487297	0.0310829	0.926202	0.0125449	0.00178796	0.00944924	0.00934157
a	0.0545858	0.0133966	0.132888	0.652273	0.0451968	0.00855737	0.0121368	0.0809659
m	0.00923785	0.0058933	0.133774	0.148155	0.598945	0.0560505	0.00571629	0.0422284
w	0.0267531	0.0150538	0.0536546	0.131958	0.0468883	0.0155105	0.467175	0.243007
ε	0.000806836	0.000884466	0.00314193	0.0618254	0.00220805	0.0131407	0.913347	0.00464594
n	0.00192392	0.00433266	0.0314126	0.1689	0.0681263	0.0205563	0.493931	0.210817
έ	0.00174716	0.0025404	0.0575654	0.239271	0.50039	0.140902	0.0183161	0.0392669
s	0.012339	0.00228178	0.0642787	0.080691	0.572922	0.0511202	0.0475576	0.168809
i	0.0212455	0.0185185	0.0894477	0.0478888	0.560021	0.125634	0.0420208	0.0952231
í	0.0203538	0.00489803	0.0393534	0.0274846	0.512687	0.150681	0.157121	0.0874209
s	0.0272311	0.0494697	0.0739919	0.0737855	0.205839	0.0878893	0.223057	0.258736
i	0.0161074	0.016986	0.0359288	0.0139321	0.290366	0.009982	0.149527	0.467171
í	0.0010501	0.00261747	0.014097	0.0145452	0.177516	0.0223682	0.130498	0.637307
</S>	0.00250205	0.00277269	0.0348315	0.0195828	0.115663	0.0115696	0.0231775	0.789901
