 	le	malade	a	pris	le	médicament	</S>
o	0.597878	0.371809	0.0210496	0.00189703	0.00432616	0.00271317	0.000326785
k	0.0394277	0.930059	0.0213222	0.00694036	0.00116132	0.000604459	0.000484702
ω	0.00366231	0.990919	0.000599165	0.00301546	0.000330828	0.000903325	0.000569846
n	0.000757191	0.99732	0.000954251	0.000385931	0.000210402	0.000186927	0.000185785
í	0.0840389	0.860466	0.0107559	0.00943167	0.00366179	0.000990765	0.0306546
ó	0.464327	0.0284548	0.454976	0.0150623	0.015395	0.00137472	0.0204108
m	0.0450136	0.00483157	0.600858	0.263584	0.0436255	0.00284774	0.0392396
i	0.217906	0.00126731	0.227653	0.159146	0.152823	0.0124334	0.22877
n	0.00919177	0.0032364	0.0825154	0.823112	0.0398187	0.00574522	0.0363807
y	0.0117222	0.00365318	0.111526	0.571167	0.141002	0.0159811	0.144949
w	0.118391	0.00606258	0.133452	0.473637	0.125557	0.0167912	0.12611
á	0.0186724	0.00535407	0.0437911	0.507537	0.208885	0.0399388	0.175822
b	0.040781	0.000313881	0.049698	0.0774306	0.348679	0.246163	0.236934
v	0.00817442	0.000568589	0.00471449	0.0584433	0.0673877	0.786273	0.0744387
e	0.000199367	7.62709e-06	0.000166259	0.00378466	0.0262047	0.957026	0.0126108
r	0.00150711	0.000141327	0.0025221	0.0404604	0.210812	0.597415	0.147142
é	0.00274614	0.00129073	0.00228062	0.0164109	0.132255	0.187485	0.657532
</S>	0.0067643	0.00346322	0.0365211	0.0240336	0.273402	0.0631742	0.592642
