 	la	manière	dont	elle	frotte	la	marmite	contre	le	sol	la	blanchira	</S>
e	0.533227	0.244327	0.115546	0.0202308	0.013339	0.0133135	0.0369165	0.0131068	0.00530742	0.00107404	0.00188376	0.0013679	0.000360387
k	0.00052912	0.00016521	8.07477e-05	0.0013505	0.988219	0.00654729	0.000827876	0.000707738	0.000404954	0.000337015	0.000333798	0.000420298	7.63765e-05
ú	0.00372829	0.00634296	0.00168226	0.0129747	0.848886	0.0395754	0.0102681	0.0311964	0.0106086	0.0233227	0.00283197	0.00658803	0.00199445
r	0.000164762	0.00147606	0.000247991	0.00033719	0.978854	0.00589931	0.00754016	0.00110786	0.000739548	0.00215582	0.000355704	0.000852038	0.000269827
ú	0.0186672	0.00551561	0.00046095	0.0069325	0.885826	0.054987	0.0117262	0.0035281	0.00490748	0.00210989	0.00144274	0.00241107	0.00148523
r	0.0182473	0.00815263	0.00498689	0.0393265	0.378366	0.189958	0.163375	0.0210244	0.0177199	0.0806499	0.0145343	0.0117419	0.0519175
ú	0.0774548	0.00588293	0.00604171	0.0757243	0.332383	0.134436	0.0139804	0.0135923	0.0307286	0.0237932	0.0573992	0.0234125	0.205172
y	0.252198	0.0911371	0.226539	0.102734	0.112614	0.0644664	0.0353002	0.0147255	0.0206245	0.0256354	0.0152327	0.00630454	0.0324891
é	0.113568	0.0553007	0.302844	0.0351654	0.103166	0.0495509	0.0183743	0.00746692	0.0202894	0.0125074	0.0607987	0.0274892	0.19348
é	0.0359408	0.015769	0.133797	0.100879	0.425941	0.0648386	0.0955101	0.0232102	0.019433	0.0218913	0.0160731	0.0121011	0.0346154
k	0.00453172	0.00207586	0.00954947	0.0593384	0.734054	0.0517686	0.0498734	0.02104	0.00670136	0.01367	0.0108695	0.00677063	0.0297568
ú	0.00315199	0.001268	0.00196746	0.0425054	0.781743	0.0938095	0.00758164	0.0244465	0.0170382	0.0063364	0.00905177	0.000506188	0.0105937
r	0.000845233	8.73635e-05	0.000531233	0.00411934	0.911804	0.045254	0.0245665	0.00390467	0.00138074	0.00229555	0.000767934	0.000452802	0.00399016
ú	0.0079869	0.000453741	0.00313338	0.0103623	0.744299	0.112942	0.0880319	0.00480011	0.00943729	0.00678066	0.00399132	0.000701484	0.00708011
r	0.00442362	0.00344299	0.0144901	0.196535	0.229497	0.24101	0.226452	0.018907	0.0134027	0.0140345	0.00888783	0.00251519	0.0264022
á	0.0111825	0.00250693	0.0201302	0.052148	0.343855	0.21675	0.277705	0.01258	0.0138793	0.0203873	0.00645679	0.00755985	0.0148592
w	0.00268598	0.00307171	0.0167702	0.11602	0.0995547	0.464105	0.203044	0.0374947	0.0172988	0.027477	0.00667152	0.00246678	0.00334012
a	0.0154698	0.0119587	0.046733	0.3217	0.0751079	0.172293	0.0120954	0.10782	0.138483	0.0403134	0.0307874	0.00346089	0.023778
n	0.0034831	0.0018865	0.0110832	0.178231	0.0242782	0.629318	0.0466948	0.0407947	0.0320289	0.00893922	0.0124629	0.00123394	0.00956541
d	0.0124431	0.00276087	0.0182351	0.014589	0.0864627	0.293793	0.500124	0.02191	0.00758932	0.0278222	0.00208381	0.00174878	0.0104383
z	6.51035e-05	9.36682e-05	0.00109791	0.00107246	0.0105919	0.0768316	0.886642	0.00981291	0.00167304	0.00995188	0.000361744	0.000652697	0.00115312
ú	0.000206889	0.00016953	0.000745303	0.00195836	0.028921	0.114514	0.801588	0.0123021	0.00522048	0.0302068	0.000874165	0.0010361	0.00225745
n	0.000267954	0.000195718	0.00461923	0.00149393	0.0377624	0.030508	0.907801	0.00889081	0.00143201	0.00587451	0.000203186	0.000226127	0.000725318
g	0.00238074	0.000691644	0.000954898	0.00897815	0.191866	0.258784	0.383288	0.0681298	0.0343265	0.0328687	0.00507812	0.00180727	0.0108466
u	0.000793598	0.000413623	0.000716401	0.00211093	0.140113	0.131319	0.635574	0.016517	0.0138368	0.0486465	0.00162754	0.00190742	0.00642393
ó	0.00122456	0.000419141	0.00276937	0.0312881	0.0402977	0.132511	0.0784045	0.183164	0.267469	0.105883	0.106613	0.00879481	0.0411617
t	0.00259959	0.000489741	0.00366876	0.0157279	0.0493395	0.0814484	0.0085308	0.31149	0.177214	0.109032	0.196895	0.0303938	0.0131695
s	0.000508077	0.000709971	0.00110983	0.00404743	0.0147337	0.0170156	0.0055155	0.202794	0.098014	0.329278	0.134515	0.112402	0.0793564
ε	0.000481864	0.000353709	0.00033372	0.00229686	0.00710386	0.0208196	0.00602822	0.249331	0.121047	0.390417	0.104453	0.0591671	0.0381666
n	0.00280433	0.000858219	0.00152322	0.00385947	0.0133316	0.0619714	0.0214266	0.262607	0.152165	0.167136	0.119497	0.0513137	0.141507
g	0.00130301	0.00045971	0.000600779	0.00362224	0.0193741	0.0572924	0.0676973	0.225762	0.10107	0.388107	0.0448134	0.0458113	0.0440868
ε	0.00095569	0.000949842	0.00122995	0.00221079	0.0205874	0.0432837	0.198643	0.100588	0.0657268	0.507834	0.00706747	0.0221938	0.0287296
y	0.0014028	0.000249139	0.00100645	0.00458117	0.00840786	0.038844	0.00386726	0.0854338	0.204285	0.0798855	0.429223	0.0620538	0.08076
é	0.0146407	0.00199034	0.00708801	0.0051707	0.0107743	0.0660546	0.00565689	0.0642203	0.145794	0.200481	0.158917	0.171327	0.147886
e	0.00524617	0.00121946	0.00709167	0.0048504	0.00333221	0.0282858	0.00577484	0.0585585	0.147731	0.0643572	0.307323	0.227757	0.138473
t	0.000630774	0.000230888	0.000537283	0.00376525	0.00732638	0.0116912	0.000798353	0.021549	0.0244795	0.041644	0.276018	0.406048	0.205282
s	7.13694e-05	0.000279285	0.000344283	0.000662447	0.00282299	0.00456563	0.000643806	0.0370035	0.0280847	0.0809453	0.102595	0.598177	0.143805
y	0.000209507	0.000139565	7.98559e-05	0.000185776	0.00109398	0.00253432	0.000642785	0.0245849	0.0243649	0.119105	0.0559963	0.670641	0.100421
έ	0.000459541	0.000610755	0.000540906	0.00108844	0.00456226	0.0110309	0.00378433	0.0772958	0.0854348	0.220512	0.0698758	0.422004	0.1028
m	0.000223161	0.000124953	0.000158596	0.000190818	0.0025823	0.0124748	0.00172669	0.0218434	0.0302542	0.0841607	0.126414	0.290883	0.428963
í	0.00417508	0.00065432	0.000463108	0.00113558	0.0013002	0.0120911	0.00026702	0.0169429	0.0983396	0.0495651	0.238443	0.143223	0.433399
s	0.00911109	0.000566913	0.00282672	0.00449707	0.00359558	0.015057	0.00177159	0.0052332	0.0329065	0.00513515	0.176474	0.0786794	0.664146
έ	0.0050286	0.00113805	0.00814263	0.00766451	0.00970786	0.0640939	0.00889333	0.0217643	0.0342797	0.0170456	0.154697	0.360298	0.307247
y	0.00261269	0.000385642	0.00380041	0.00172544	0.00176304	0.0145875	0.0029907	0.0118064	0.0204979	0.00636662	0.0843618	0.217341	0.631761
í	0.00170034	0.00193518	0.00882351	0.00452919	0.00495259	0.0130697	0.00461505	0.00876616	0.0151938	0.0149569	0.0604011	0.55863	0.302426
a	0.0011984	0.000558233	0.00464828	0.00141513	0.00117039	0.00682949	0.000851982	0.00561288	0.00919416	0.00359058	0.0551032	0.260222	0.649606
</S>	0.00274235	0.000559947	0.00498116	0.00721873	0.00975547	0.0194812	0.00235185	0.00529467	0.0162001	0.00296859	0.176172	0.116949	0.635326
