 	mon	grand-frère	travaille	comme	cuisinier	chez	les	prêtres	</S>
o	0.710162	0.242997	0.0198575	0.0232813	0.00121103	0.00174423	0.000512777	0.000135335	9.88179e-05
n	0.048418	0.912235	0.0192985	0.00241275	0.00867001	0.00136553	0.00231371	0.00305742	0.00222922
y	0.0409067	0.662799	0.0858704	0.0475147	0.128954	0.014677	0.00487515	0.00398577	0.0104179
ε	0.144532	0.637831	0.0232051	0.0811099	0.064791	0.0280978	0.00469661	0.00152325	0.0142132
b	0.0527837	0.829027	0.00490352	0.0183271	0.0249103	0.0138832	0.00169837	0.00134507	0.0531217
h	0.54571	0.141252	0.0190068	0.0234004	0.00239698	0.00778455	0.0140274	0.0125553	0.233866
í	0.235232	0.324105	0.0361152	0.0417695	0.00393387	0.0185055	0.0188677	0.00702896	0.314443
y	0.634066	0.183867	0.0986086	0.0490128	0.00315233	0.00398133	0.0108429	0.00148926	0.0149798
a	0.81222	0.0908358	0.0209241	0.0432512	0.00757842	0.00425125	0.00587187	0.000499437	0.0145678
n	0.903515	0.00742658	0.0190964	0.0557146	0.00607785	0.00291848	0.00287588	0.000229825	0.00214539
g	0.985419	0.00795279	0.000706911	0.00361284	0.000615245	0.00068375	0.000220667	1.63376e-05	0.00077245
á	0.262929	0.276985	0.0400104	0.130765	0.182284	0.0545235	0.00557487	0.00182205	0.0451054
a	0.0827356	0.0512183	0.434897	0.319113	0.0296181	0.0093825	0.0438118	0.00539999	0.0238239
d	0.00965563	0.0124757	0.658107	0.13229	0.0957874	0.0102029	0.0436841	0.0132011	0.0245952
í	0.0113467	0.00243302	0.802811	0.0993292	0.0272589	0.00264279	0.0141112	0.00167258	0.0383946
o	0.0740458	0.00400389	0.524149	0.219638	0.0373968	0.0121468	0.0395787	0.0184058	0.0706351
l	0.00557449	0.0151275	0.0968453	0.124311	0.642935	0.0362151	0.00556545	0.0675434	0.00588302
á	0.000868427	0.0194472	0.17445	0.043657	0.591577	0.01208	0.00441993	0.123406	0.0300946
m	0.01472	0.00420194	0.18193	0.0998884	0.292907	0.0415456	0.0450739	0.193654	0.126079
b	0.00928004	0.00946755	0.131541	0.149495	0.309473	0.125758	0.139693	0.0483528	0.0769392
i	0.0168829	0.00789923	0.0340411	0.216165	0.0630596	0.202022	0.0443932	0.0221624	0.393375
m	0.00574872	0.00354287	0.0182865	0.211497	0.0786543	0.250512	0.295502	0.0372723	0.0989846
b	0.0110759	0.00315408	0.00676775	0.095467	0.0259824	0.627445	0.0791333	0.0157781	0.135196
v	0.00078377	0.00025814	0.000877616	0.020299	0.00392236	0.941127	0.00464316	0.00422181	0.0238667
á	0.00187023	0.00273755	0.00334798	0.0818103	0.0073569	0.803121	0.00776184	0.00610785	0.0858863
a	0.0197967	0.00120323	0.0250062	0.222165	0.0137885	0.13864	0.0607003	0.0550717	0.463629
a	0.00411508	0.00313597	0.0108527	0.047771	0.00856478	0.0379233	0.560583	0.103048	0.224006
p	0.0110336	0.0076881	0.0781679	0.0519297	0.0479864	0.0486479	0.337634	0.302316	0.114596
ε	5.53248e-05	0.00044934	0.00539947	0.00326428	0.00263997	0.00208822	0.0574043	0.881377	0.0473224
l	0.00253937	0.00292793	0.00597604	0.0270782	0.00998272	0.0290553	0.0726958	0.67361	0.176134
e	0.000748273	0.00136797	0.0078756	0.0313405	0.00400224	0.018148	0.14301	0.682998	0.110509
</S>	0.00926849	0.000986867	0.00916146	0.0413599	0.00458081	0.0407585	0.18697	0.0960633	0.61085
