 	elenga	appuyait	sur	l'	abcès	pour	le	crever	</S>
e	0.876376	0.0587964	0.0293001	0.0236985	0.00820739	0.00280608	0.000768658	3.53454e-05	1.15438e-05
l	0.892716	0.0605335	0.0250076	0.00760477	0.0110722	0.00138761	0.000531803	0.000161587	0.000984933
e	0.657824	0.167894	0.120819	0.0317208	0.00414509	0.00202789	0.00146491	0.000674745	0.01343
n	0.886563	0.0609372	0.0335874	0.0128736	0.00312447	0.000817242	0.0009689	0.000172216	0.000955679
g	0.58451	0.135648	0.0953413	0.0426839	0.0258964	0.0231382	0.00847475	0.0066868	0.077621
á	0.944205	0.0126847	0.00992839	0.00819507	0.000610315	0.0034314	0.00439257	0.00171739	0.0148349
á	0.310969	0.31086	0.0840148	0.0583351	0.0273016	0.0824233	0.059179	0.0103262	0.0565907
d	0.599141	0.269742	0.0558767	0.0186842	0.00536252	0.0104933	0.0108684	0.00468576	0.0251458
z	0.174987	0.48852	0.105853	0.0454284	0.00797015	0.0143104	0.0133262	0.0055714	0.144034
e	0.0511147	0.83942	0.0539088	0.0303973	0.00379535	0.00461111	0.00260795	0.000605044	0.0135396
l	0.100196	0.256787	0.272179	0.0933999	0.0341347	0.0521551	0.0567461	0.0245083	0.109893
á	0.0221996	0.128095	0.100787	0.0818844	0.04324	0.0720359	0.0421704	0.0566274	0.452961
a	0.0217575	0.236148	0.207639	0.201847	0.076933	0.057913	0.0421321	0.0353824	0.120248
b	0.032552	0.434558	0.285491	0.124486	0.0673145	0.0114018	0.00902583	0.0162798	0.0188909
h	0.00330025	0.36021	0.266598	0.103698	0.201938	0.0225424	0.00388186	0.0176494	0.0201834
í	0.0028899	0.336885	0.335166	0.0848236	0.178413	0.0157268	0.00618001	0.0101808	0.0297343
í	0.00684809	0.129087	0.295901	0.124335	0.153712	0.0399087	0.0126083	0.0128488	0.22475
n	0.00201674	0.0271263	0.314918	0.372903	0.162845	0.0554903	0.027088	0.00629736	0.0313151
á	0.0175738	0.0335691	0.398448	0.316836	0.020667	0.0395097	0.0289916	0.0198225	0.124583
i	0.00160026	0.0109926	0.164848	0.384626	0.212561	0.114517	0.0531437	0.0243244	0.0333877
p	0.00305754	0.0150688	0.154084	0.247761	0.471753	0.0396779	0.0146925	0.0421971	0.0117078
i	0.00132855	0.00701839	0.117339	0.0931837	0.684657	0.031536	0.00663035	0.0365322	0.0217746
a	0.0003088	0.00439129	0.181079	0.138087	0.487497	0.0670387	0.0158996	0.0206	0.0850995
b	0.00123143	0.00387838	0.0452602	0.0825395	0.138593	0.441853	0.210839	0.0343449	0.0414606
a	0.000961405	0.0150906	0.110714	0.0764563	0.239912	0.262811	0.077943	0.107078	0.109034
á	0.00362777	0.00742974	0.0798343	0.0811371	0.224298	0.203107	0.0323125	0.135344	0.23291
d	0.00699358	0.0057082	0.0172516	0.0264202	0.0229596	0.304891	0.388853	0.0673469	0.159576
í	0.0077119	0.013877	0.0265683	0.0245516	0.0165203	0.099651	0.184588	0.0765092	0.550023
a	0.0016106	0.000974066	0.0111054	0.0193524	0.0262881	0.211379	0.389153	0.146005	0.194132
í	0.0234253	0.0198653	0.0305023	0.0223876	0.0231507	0.0705732	0.249619	0.491475	0.069001
t	0.00881219	0.0499151	0.0456506	0.0319518	0.0284232	0.0454554	0.149804	0.559033	0.0809552
ú	0.000563566	0.00288107	0.0224532	0.0141653	0.0671818	0.065261	0.118239	0.535533	0.173722
b	0.0006298	0.00043686	0.0207872	0.0178514	0.0335934	0.0886891	0.144811	0.321854	0.371347
h	0.00107713	0.000743771	0.0385502	0.0191402	0.0460971	0.134112	0.112982	0.318638	0.32866
u	0.000250162	0.000343962	0.0251318	0.02477	0.0157563	0.167077	0.281975	0.264574	0.220122
m	8.62916e-05	0.000166436	0.00525185	0.00883242	0.00536532	0.136353	0.284726	0.21548	0.343738
a	0.000136454	0.00377229	0.0157016	0.0299643	0.037366	0.253289	0.107146	0.356909	0.195715
</S>	0.000413597	0.00167804	0.00676286	0.0119581	0.0166312	0.129739	0.17787	0.282727	0.37222
