 	la	chèvre	est	sortie	de	la	forêt	avec	les	épis	de	l'	herbe	bongi	sur	l'	échine	</S>
m	0.809892	0.0846202	0.0364232	0.000955112	0.00696614	0.00614555	0.0116912	0.007822	0.0134563	0.00548768	0.00662987	0.00155466	0.00113657	0.00274586	0.00070859	0.00251824	0.00122763	1.90181e-05
b	0.0272987	0.928909	0.0163889	7.60491e-05	0.00147948	0.00272198	0.00100073	0.00206563	0.00229723	0.000610911	0.00114852	0.00248974	0.00179047	0.00172294	0.00290784	0.00352095	0.00285597	0.000714544
ó	0.0346795	0.937373	0.00139406	1.78788e-05	0.00021478	0.00170212	0.000214521	0.0015625	0.00103334	0.00150041	0.000271334	0.000586812	0.000380871	0.00459129	0.000517763	0.000689769	0.0129095	0.000360394
s	0.0388153	0.955953	0.00123661	1.56633e-05	4.0515e-05	0.000167368	3.74647e-05	0.000238536	0.000175516	0.000201281	5.13081e-05	9.76292e-05	5.42848e-05	0.00065381	9.49935e-05	6.16344e-05	0.00181036	0.000294722
i	0.367414	0.447797	0.0557971	0.00352689	0.0173992	0.012137	0.00829124	0.0115909	0.00713314	0.0337299	0.0065582	0.00639235	0.00412901	0.00306402	0.0020601	0.00208923	0.00235192	0.00853816
á	0.110219	0.0643838	0.515161	0.178563	0.0565116	0.010477	0.00886926	0.0111917	0.0104429	0.00264361	0.0123273	0.00543245	0.00241412	0.00069954	0.00316966	0.00231619	0.000119951	0.00505847
p	0.0176158	0.00289364	0.0758974	0.563167	0.125745	0.0620272	0.0168434	0.0198681	0.00992558	0.0129013	0.0217516	0.0388288	0.0125035	0.00206483	0.00596444	0.00590043	0.00040267	0.00569884
f	0.00253207	0.000416413	0.0277065	0.58673	0.0858917	0.0870033	0.0543299	0.0177879	0.00603002	0.0647613	0.0199807	0.0247168	0.0117732	0.00157471	0.00225804	0.00178262	0.000340201	0.00438441
ú	0.00167829	7.96106e-05	0.00625536	0.809319	0.0739403	0.0308921	0.0223764	0.00718958	0.00297287	0.0153386	0.0126993	0.0101257	0.00500511	0.000326483	0.000625506	0.000464885	8.45598e-05	0.000626285
u	0.00113129	0.00041694	0.0244118	0.232377	0.172924	0.157606	0.0974743	0.0528461	0.0681159	0.0842884	0.0402611	0.0221391	0.0136279	0.00498806	0.00593195	0.00703248	0.00401032	0.0104175
s	0.000827791	0.000184484	0.00591165	0.0100184	0.169446	0.1172	0.0770961	0.163911	0.21156	0.0391552	0.105451	0.0562205	0.0195625	0.00840363	0.00518915	0.005316	0.00109931	0.00344757
ó	0.00302973	0.000290214	0.00995759	0.00685028	0.17583	0.169309	0.054462	0.148566	0.115358	0.0244073	0.0874205	0.0896602	0.054669	0.0135685	0.015511	0.0213957	0.00199622	0.00771852
k	0.00169744	0.00344825	0.00540772	0.0094471	0.0291151	0.0450394	0.0384942	0.0959266	0.106521	0.140128	0.0836556	0.0724435	0.0834998	0.174083	0.0336443	0.0101011	0.0440188	0.0233286
o	0.000433647	0.000270483	0.000334878	0.00422584	0.00427584	0.0356226	0.138008	0.0526044	0.0216916	0.424941	0.0484131	0.0435721	0.123751	0.0743031	0.0103326	0.00121068	0.0101281	0.00588111
n	0.000277609	0.00227877	0.00323795	0.0120548	0.00583019	0.0249691	0.145942	0.051465	0.0253252	0.308827	0.100339	0.0581004	0.097712	0.12698	0.00812767	0.00362978	0.0139612	0.0109423
d	0.00330424	0.00212108	0.00751274	0.00279304	0.0129129	0.0335938	0.0886561	0.109016	0.0429543	0.375716	0.0937523	0.0871514	0.0584002	0.0259793	0.0088933	0.00271688	0.00486654	0.03966
a	0.00217767	0.000974773	0.00779106	0.00183401	0.00959163	0.0231248	0.0414766	0.0815894	0.0413018	0.322144	0.097411	0.129846	0.0943971	0.0426415	0.0110926	0.00290959	0.00703111	0.0826654
l	0.000631927	9.79511e-05	0.00418421	0.00411206	0.0282375	0.0277332	0.0452236	0.141103	0.101983	0.0233952	0.175182	0.231067	0.135775	0.0314986	0.0281812	0.0127479	0.00276748	0.00608002
a	0.00342842	0.000297116	0.00399637	0.00417523	0.0272713	0.0159988	0.0207484	0.0363831	0.029439	0.0086478	0.0826548	0.189324	0.246299	0.039326	0.087186	0.0779319	0.00792692	0.118966
b	0.000734726	0.000304517	0.00131097	0.00102046	0.0103764	0.00628841	0.00649027	0.0151251	0.0215735	0.0129759	0.0522529	0.100621	0.211522	0.177326	0.142044	0.0839954	0.124149	0.0318895
ó	0.00460062	0.0067104	0.00238681	0.000339742	0.00818456	0.0194431	0.00728389	0.026935	0.0559484	0.0109531	0.0678312	0.0715575	0.129714	0.27508	0.129429	0.0694462	0.102539	0.011617
n	0.000218081	0.00177351	0.000644245	0.000468288	0.000874378	0.00217084	0.00499291	0.00653899	0.00424134	0.00697518	0.0156231	0.0280635	0.0765148	0.610338	0.0476882	0.00991442	0.146382	0.0365788
g	0.0030011	0.0066368	0.00572796	0.000669474	0.0023638	0.00533252	0.018072	0.0295609	0.0192342	0.0460296	0.084985	0.099698	0.156615	0.20661	0.116546	0.0268755	0.0697758	0.102266
