 	a	obongui	on	pratique	encore	la	chasse	au	gros	gibier	</S>
o	0.931982	0.022058	0.0178365	0.0170528	0.00268952	0.00250878	0.00269364	0.0011229	0.00174732	0.000253173	5.56275e-05
b	0.197839	0.673022	0.0132013	0.002911	0.0449948	0.0128119	0.00660336	0.00677001	0.0151625	0.020811	0.00587299
o	0.129578	0.830078	0.00360507	0.00316088	0.0026364	0.00317061	0.0116181	0.0017989	0.0016164	0.0117918	0.000944894
n	0.0114853	0.968327	0.00110078	0.000631942	0.000211184	0.00177814	0.00197428	0.00203253	0.00181074	0.00386561	0.00678291
g	0.653317	0.201653	0.0206363	0.0127846	0.00385847	0.0130376	0.00142675	0.0070679	0.032983	0.0205876	0.0326477
í	0.657085	0.256002	0.0322025	0.00879072	0.00564521	0.00820415	0.00599416	0.007182	0.00520515	0.00552574	0.00816338
á	0.477213	0.021964	0.359055	0.0583505	0.053912	0.0108997	0.00259575	0.00528154	0.00266104	0.000477601	0.00758911
s	0.00942773	0.0240018	0.0930913	0.054613	0.639327	0.0711019	0.0387839	0.0232027	0.00477065	0.00201041	0.0396695
a	0.00407617	0.0109731	0.00725263	0.0229171	0.926153	0.0125867	0.00221093	0.00401445	0.00234859	0.000952548	0.00651517
a	0.0904887	0.0385671	0.0622408	0.166286	0.258305	0.152294	0.00762276	0.0419965	0.0316086	0.0208627	0.129728
b	0.00640103	0.000320484	0.195937	0.455129	0.142579	0.152435	0.00779479	0.0112801	0.0136883	0.00415148	0.0102831
á	0.00295033	0.000661487	0.125722	0.443374	0.0185566	0.0729336	0.108168	0.039722	0.0109815	0.140871	0.0360594
a	0.0138856	0.000109038	0.185387	0.602108	0.0166985	0.0414412	0.0373325	0.00991798	0.0175655	0.0316264	0.0439283
b	0.00138192	0.000411742	0.0355758	0.0655514	0.0877849	0.477504	0.186801	0.0907246	0.0139567	0.00663774	0.0336697
e	0.00386755	0.000690336	0.0150228	0.0369203	0.00606659	0.0658305	0.725421	0.0676872	0.00528518	0.0564594	0.0167496
n	0.000684634	0.000305742	0.010832	0.0214185	0.012287	0.149813	0.508505	0.176539	0.0118862	0.0351764	0.0725524
g	0.00227462	0.00231525	0.00671832	0.0216932	0.0252093	0.313817	0.108532	0.169401	0.0989033	0.0676686	0.183468
á	0.00452611	0.00280902	0.0141703	0.107338	0.0903913	0.198835	0.0340034	0.180866	0.0904758	0.146112	0.130473
p	0.00190742	8.34022e-05	0.0123489	0.0177262	0.00523825	0.181147	0.0956207	0.409203	0.127701	0.0649608	0.084063
f	0.00567623	8.28676e-05	0.00797441	0.0203808	0.000635044	0.0798059	0.24184	0.174809	0.0315276	0.268793	0.168476
ú	0.000583992	0.000143152	0.00123986	0.00107541	0.000170151	0.0753248	0.263006	0.438013	0.016011	0.0831165	0.121317
e	0.00467936	0.000127259	0.00109449	0.00482259	0.000335931	0.057022	0.155186	0.522288	0.054348	0.107075	0.093021
e	0.000269024	3.22561e-05	0.00091443	0.000452698	0.00038789	0.031001	0.0337645	0.345671	0.264558	0.0645415	0.258408
</S>	0.000976149	0.000186927	0.00308575	0.000948493	0.00102233	0.0471185	0.0444309	0.314848	0.11881	0.0713043	0.397268
