 	notre	parcelle	est	au	centre	du	vil	lage	</S>
l	0.408304	0.339024	0.0670583	0.0532001	0.0523676	0.0616566	0.01488	0.00319497	0.000313894
e	0.0217292	0.917482	0.0170245	0.0170331	0.00293801	0.0127056	0.0105352	0.00015662	0.000395798
p	0.0455796	0.742747	0.0355924	0.0476766	0.00580329	0.0216865	0.0917857	0.000633301	0.00849519
á	0.0120118	0.73441	0.0925844	0.0249887	0.0018673	0.00798798	0.0187163	0.0215173	0.0859159
n	0.0356256	0.413555	0.0926261	0.0349269	0.0339534	0.0229908	0.0901097	0.0112883	0.264925
g	0.228092	0.448291	0.099883	0.0574394	0.0168925	0.0500011	0.0527439	0.00154955	0.0451075
e	0.299759	0.404473	0.0515742	0.0658683	0.00962159	0.0190441	0.0708264	0.00640706	0.072427
l	0.206246	0.183987	0.322898	0.125651	0.0233445	0.0575041	0.0390605	0.00364238	0.0376666
á	0.268684	0.283416	0.188578	0.046346	0.00632626	0.031467	0.0233396	0.00239146	0.149453
b	0.755024	0.0293464	0.0525671	0.0869202	0.0209469	0.0169325	0.028392	0.00241308	0.00745793
í	0.81793	0.0114545	0.0735592	0.0609657	0.0277732	0.00469417	0.00301649	9.16673e-05	0.000515023
s	0.922366	0.00440391	0.0221474	0.0177076	0.0111977	0.00596993	0.0119262	0.000166564	0.00411431
í	0.198918	0.0219859	0.0734989	0.100999	0.0747873	0.213813	0.194791	0.000225091	0.120982
í	0.010549	0.0499595	0.514594	0.293181	0.0274805	0.0533416	0.0282411	0.000151126	0.0225026
d	0.0062799	0.0509598	0.287853	0.385182	0.0180981	0.118909	0.0501383	0.00186843	0.0807113
i	0.00309927	0.004904	0.0489095	0.145645	0.0940168	0.266909	0.0456218	0.000228545	0.390667
ó	0.00289859	0.0103368	0.0836212	0.441023	0.0817516	0.277716	0.0461075	0.00314949	0.0533949
s	0.0151015	0.0251977	0.0585587	0.235868	0.112176	0.33433	0.179783	0.0152526	0.0237325
w	0.020541	0.0330891	0.0188499	0.153819	0.263678	0.206649	0.225165	0.00282164	0.0753866
έ	0.00557034	0.0265018	0.0173596	0.3113	0.318159	0.112963	0.145675	0.010164	0.0523067
b	0.00024784	0.00442146	0.0261335	0.129678	0.0306498	0.306327	0.176138	0.00797915	0.318426
h	0.0633649	0.00441087	0.0374199	0.0717535	0.0351421	0.212913	0.504139	0.0062143	0.0646428
έ	0.0038759	0.00125377	0.0143871	0.0858806	0.0231033	0.249729	0.550534	0.00721942	0.0640174
y	0.00148747	0.000878219	0.00274929	0.0195512	0.0736939	0.327526	0.517012	0.0200062	0.0370952
á	0.0223884	0.0100851	0.0119918	0.0439881	0.045309	0.189064	0.479224	0.0936322	0.104317
p	0.0115501	0.000964733	0.00122967	0.00885834	0.0329782	0.0666481	0.200765	0.663999	0.0130068
o	0.000571528	0.000229195	0.000771227	0.00145919	0.00157959	0.00609794	0.0111174	0.97041	0.00776423
o	0.00335403	0.000561614	0.000674008	0.00579382	0.00312625	0.00983314	0.0624983	0.894888	0.0192707
</S>	0.0136846	0.00437913	0.0148705	0.025893	0.0270772	0.15603	0.117234	0.112134	0.528698
