 	donne-moi	une	tranche	d'	avocat	</S>
p	0.861913	0.114489	0.00827531	0.00367163	0.011454	0.00019673
έ	0.959381	0.0194018	0.0114849	0.00218358	0.00717908	0.000369862
n	0.553588	0.357343	0.018341	0.0179013	0.00174304	0.0510837
g	0.847665	0.106465	0.00654431	0.0371209	0.000806451	0.00139839
á	0.670237	0.131476	0.00185811	0.0496982	0.00605253	0.140678
e	0.156551	0.494314	0.174525	0.115083	0.0310049	0.0285218
p	0.0990438	0.127578	0.696412	0.0232628	0.0310784	0.0226252
a	0.0126273	0.00720834	0.959695	0.00266945	0.010108	0.00769152
s	0.0201839	0.00903032	0.938111	0.0130129	0.00899123	0.0106705
i	0.0438467	0.0434173	0.763219	0.048473	0.0229421	0.0781023
y	0.0202224	0.181226	0.123364	0.473643	0.0237958	0.177749
á	0.0217934	0.126656	0.282228	0.287538	0.0556845	0.2261
s	0.017851	0.0324519	0.0320509	0.562203	0.296369	0.0590744
a	0.0105615	0.055195	0.0758388	0.387769	0.244381	0.226254
b	0.000890426	0.00514433	0.0124023	0.452051	0.344424	0.185088
o	0.0146179	0.00536171	0.00288991	0.355454	0.471475	0.150201
k	0.00313565	0.00827972	0.0608158	0.152086	0.530022	0.245661
á	0.0170921	0.0131864	0.108586	0.280282	0.140137	0.440716
</S>	0.00157807	0.00221171	0.017982	0.105317	0.0603185	0.812592
