 	je	dors	sur	une	natte	</S>
n	0.617328	0.359856	0.010915	0.0095442	0.00217007	0.000187371
g	0.985268	0.0128635	0.000511364	0.0011837	3.2729e-05	0.000140173
á	0.923732	0.0624957	0.00889086	0.00392909	0.000825761	0.00012629
l	0.183997	0.18137	0.181741	0.187515	0.144108	0.121268
í	0.517986	0.0621389	0.0617912	0.0368341	0.0488362	0.272414
i	0.211301	0.0452895	0.227139	0.302654	0.0473487	0.166268
b	0.00785395	0.166216	0.729909	0.0258991	0.0306441	0.0394788
v	0.00126589	0.697877	0.23229	0.00841911	0.0567885	0.00335962
á	0.000585147	0.538214	0.413759	0.0132065	0.0277848	0.00645057
f	0.00264054	0.0237108	0.46834	0.160092	0.0642148	0.281001
u	0.00195481	0.0435466	0.404697	0.268505	0.168444	0.112853
l	0.00220828	0.019041	0.117538	0.24327	0.439325	0.178617
ú	0.0106639	0.0279972	0.24422	0.464918	0.12031	0.131891
m	0.00351548	0.00267929	0.0541857	0.336226	0.192194	0.4112
í	0.00175541	0.00127121	0.0516691	0.132516	0.104913	0.707875
t	0.00367195	0.00465427	0.0623449	0.210186	0.439107	0.280036
ω	0.00194383	0.00217914	0.0308512	0.107137	0.77959	0.0782988
ώ	0.000228821	0.00161491	0.0131767	0.0753313	0.785036	0.124612
</S>	0.00224819	0.0128924	0.037723	0.0943852	0.128296	0.724456
