 	le	ballon	est	dégonflé	</S>
d	0.601085	0.270781	0.127206	7.5968e-05	0.000852658
i	0.203437	0.747361	0.0349808	1.57132e-05	0.0142054
n	0.143849	0.802584	0.0236407	0.000209569	0.029717
g	0.308422	0.631845	0.0195492	0.000353529	0.03983
a	0.466708	0.483248	0.0159222	5.55497e-05	0.0340663
í	0.15163	0.153021	0.44172	0.00380031	0.24983
b	0.101196	0.0509045	0.550201	0.169635	0.128064
h	0.0442706	0.0268594	0.13537	0.168444	0.625056
í	0.0997044	0.0216294	0.0698176	0.174917	0.633931
e	0.00855395	0.0222118	0.147265	0.10986	0.712109
p	0.0244312	0.01933	0.0266135	0.772893	0.156732
ω	0.00126861	0.00101854	0.00395144	0.955105	0.0386562
</S>	0.00526367	0.00890886	0.0250182	0.711799	0.24901
