 	il	se	promène	dans	le	village	</S>
w	0.889952	0.102284	0.000531158	0.00312116	0.00299759	0.000996294	0.000117731
a	0.740349	0.235802	0.00144661	0.0125593	0.00913231	0.00062428	8.63031e-05
l	0.239855	0.711837	0.020375	0.0197035	0.00507704	0.000112482	0.00304017
á	0.227019	0.312864	0.0817259	0.101797	0.0434997	0.000612611	0.232482
a	0.416913	0.422242	0.0807078	0.0228747	0.0325333	0.000305137	0.0244251
b	0.036647	0.162403	0.771377	0.0152146	0.00287809	0.0018566	0.00962415
h	0.0770844	0.383949	0.527376	0.00908203	0.00153607	0.000118627	0.000853781
é	0.0119918	0.0259837	0.955808	0.00513884	0.00064424	1.78493e-05	0.000415814
m	0.0657385	0.158913	0.737613	0.0226295	0.00680846	0.00267131	0.00562634
b	0.0575381	0.296344	0.410581	0.147991	0.0166929	0.00113163	0.0697214
á	0.0551573	0.0936688	0.614169	0.135286	0.0378665	0.00172028	0.0621326
s	0.0186189	0.030215	0.0552469	0.455636	0.425021	0.00819925	0.0070634
á	0.0195976	0.0237455	0.18576	0.202159	0.519042	0.00688702	0.0428086
p	0.0213341	0.0173656	0.015013	0.232221	0.546017	0.128229	0.039821
o	0.0027016	0.00320939	0.0237999	0.0412281	0.0620277	0.852894	0.0141394
o	0.00190859	0.0025074	0.0226774	0.0142276	0.0171505	0.92977	0.0117582
</S>	0.00130283	0.00187917	0.004794	0.0916667	0.191458	0.0940883	0.614811
