 	les	hommes	avancent	péniblement	dans	la	forêt	</S>
s	0.802091	0.17491	0.00509312	0.0137314	0.00253621	0.0013373	0.000286824	1.48964e-05
á	0.860531	0.0654503	0.0194332	0.0028607	0.0146892	0.0235906	0.00141192	0.0120332
k	0.835769	0.0633137	0.0782434	0.00670646	0.00541664	0.00303406	0.0059309	0.00158611
ώ	0.0605179	0.239688	0.346578	0.122209	0.0578244	0.0237925	0.0876752	0.0617157
a	0.340406	0.338958	0.0754972	0.0421995	0.0440146	0.0447528	0.0297835	0.0843884
b	0.356184	0.318384	0.114943	0.0212816	0.0636488	0.0409573	0.00594377	0.0786577
a	0.320702	0.50265	0.0511241	0.0294728	0.0344198	0.0288868	0.0058347	0.0269106
a	0.490767	0.178752	0.158437	0.0159624	0.036586	0.0200225	0.00367531	0.0957985
b	0.102215	0.125791	0.600968	0.0493576	0.0590585	0.0253335	0.0029032	0.0343731
á	0.156988	0.289411	0.265899	0.17173	0.0578553	0.0299187	0.00736062	0.0208368
a	0.147656	0.0281171	0.556162	0.0454815	0.0413819	0.043787	0.0117461	0.125669
d	0.01365	0.00832092	0.754246	0.151507	0.0328639	0.0137925	0.00274962	0.0228697
z	0.00368446	0.00597303	0.81253	0.0897829	0.0491015	0.00782211	0.00215769	0.0289481
w	0.0086954	0.00050437	0.930901	0.0345398	0.0201094	0.00152444	0.000412055	0.00331356
á	0.0329278	0.000883299	0.454603	0.230064	0.150225	0.0385785	0.00858526	0.0841337
l	0.0406539	0.00142227	0.386739	0.339701	0.120194	0.0453019	0.0236979	0.0422897
a	0.00518135	0.00072317	0.236257	0.114658	0.107145	0.0887323	0.0283966	0.418907
b	0.00700798	0.00131502	0.245291	0.549469	0.109195	0.0241044	0.0332647	0.0303529
o	0.00930784	0.0176781	0.0128197	0.914932	0.0359022	0.0040469	0.0041985	0.00111424
s	0.000199119	0.00068887	0.0788603	0.819468	0.0775916	0.00906123	0.00742504	0.00670627
ó	0.00298407	0.000468222	0.112751	0.559709	0.217988	0.0240724	0.0163874	0.0656396
m	0.00383984	0.000541218	0.0243676	0.116342	0.622011	0.169711	0.0157388	0.0474485
ó	0.00923032	0.000340012	0.0211835	0.106319	0.209889	0.202166	0.0767999	0.374072
p	0.00347478	0.00117389	0.0160022	0.06309	0.189298	0.148182	0.545644	0.0331353
á	0.00120846	0.00211966	0.0319738	0.0999344	0.194653	0.17623	0.449405	0.0444765
s	0.00152803	0.000904169	0.0260828	0.151793	0.197654	0.144769	0.353303	0.123966
i	0.000456221	0.000210945	0.0225307	0.0953991	0.31625	0.298465	0.18697	0.0797182
l	0.000682126	0.000130565	0.00758795	0.0175561	0.222321	0.330037	0.211442	0.210243
a	0.00283683	0.000333824	0.0145586	0.01183	0.12735	0.247036	0.278872	0.317183
p	0.00376199	0.000154386	0.00624615	0.00445745	0.0845952	0.178383	0.559693	0.16271
á	0.00166758	0.00180674	0.0185347	0.0227728	0.0698669	0.164015	0.593086	0.12825
s	0.0015278	0.00111171	0.0186677	0.0562999	0.10398	0.120942	0.491886	0.205584
i	0.000641424	0.000161054	0.00879504	0.016045	0.0708537	0.208085	0.494848	0.200571
</S>	0.00014872	2.1023e-05	0.00388714	0.00366618	0.0835652	0.203497	0.218803	0.486413
