 	on	l'	a	grondé	car	il	a	fait	une	bêtise	</S>
á	0.800582	0.119429	0.0525643	0.00647576	0.00949458	0.00196664	0.0026041	0.00182138	0.0044237	0.000110958	0.000527759
n	0.0146574	0.143201	0.311359	0.478861	0.0122661	0.00405004	0.0102608	0.0103817	0.00847959	0.00596075	0.000522127
g	0.00601424	0.0434324	0.0390099	0.87962	0.004958	0.00411487	0.00514407	0.00390042	0.00295424	0.00168251	0.00916977
a	0.0022921	0.0170764	0.00679615	0.967375	0.00233819	0.000798945	0.00073406	0.00057073	0.000392946	0.000329716	0.00129606
l	0.00582309	0.133919	0.123507	0.458799	0.0216441	0.0114728	0.0155608	0.00856549	0.0101425	0.00555316	0.205014
i	0.0225998	0.152096	0.0864019	0.328514	0.0668633	0.0362803	0.0347199	0.0345826	0.0152562	0.00904694	0.213639
w	0.056118	0.217217	0.111923	0.103728	0.207661	0.175382	0.0522628	0.0241803	0.018416	0.00403467	0.0290775
a	0.0428809	0.0947726	0.0448642	0.015047	0.362157	0.276878	0.0841054	0.0322783	0.00694564	0.000237209	0.0398338
t	0.021242	0.0345974	0.0365416	0.0152335	0.344609	0.371189	0.0772388	0.023159	0.00832792	0.00154495	0.0663169
í	0.0120032	0.0634685	0.125659	0.0995038	0.283994	0.141865	0.132792	0.0731823	0.00977028	0.0145791	0.043183
n	0.004631	0.0126335	0.0446441	0.03519	0.281432	0.269835	0.107379	0.0537076	0.0104507	0.020216	0.159881
a	0.00756598	0.00967393	0.0119028	0.108266	0.392665	0.285981	0.0721618	0.0232941	0.00265916	0.000877515	0.0849525
á	0.00255406	0.0286302	0.0423679	0.00999967	0.280401	0.231448	0.26606	0.0865035	0.0343432	0.00444202	0.01325
k	0.000911339	0.0119529	0.0197675	0.0071907	0.0136618	0.0668471	0.340616	0.36988	0.125465	0.0284172	0.0152908
y	0.000181923	0.00247332	0.0103605	0.00489218	0.0133651	0.0421469	0.153727	0.50661	0.193819	0.0270282	0.0453955
e	0.00052572	0.00330068	0.0230147	0.0213088	0.0363229	0.0785123	0.186404	0.416012	0.158324	0.0422935	0.0339826
o	0.000728298	0.00411923	0.0152057	0.00795018	0.089507	0.0965567	0.149621	0.318452	0.169435	0.105625	0.0427991
d	0.000176848	0.00155171	0.00118374	0.00252799	0.00363002	0.0156607	0.0578091	0.320874	0.342791	0.162432	0.0913619
í	3.42443e-05	0.00478377	0.00422518	0.00425648	0.00123159	0.00291962	0.043617	0.152638	0.18555	0.366342	0.234402
b	7.50891e-05	0.00105274	0.000900255	0.000553531	0.00472733	0.00862939	0.0196392	0.0594491	0.298877	0.438055	0.168041
h	0.00102888	0.00111419	0.00198956	0.00184059	0.0600033	0.0878163	0.108849	0.294024	0.165919	0.0800385	0.197377
i	0.000333974	0.00113594	0.00188199	0.00478233	0.0659259	0.0736609	0.0453545	0.0940044	0.0300276	0.134493	0.5484
l	7.32564e-05	0.000520014	0.000428407	0.000391336	0.00909153	0.00991265	0.0224693	0.0931319	0.11177	0.219555	0.532657
i	0.000289148	0.00086621	0.00112398	0.00244426	0.0194583	0.0223513	0.0596651	0.166402	0.0594646	0.252107	0.415828
</S>	0.000807282	0.00235644	0.00169612	0.000698654	0.0302149	0.0436104	0.0414041	0.0435807	0.12391	0.11082	0.600901
