 	les	visiteurs	s'	arrêtent	en	aval	du	village	</S>
a	0.758652	0.203492	0.0244271	0.000647267	0.00408513	0.00129546	0.00718202	0.000134352	8.46334e-05
b	0.10558	0.849932	0.0188857	0.0158594	0.00181039	0.00360731	0.000661855	0.00333051	0.000332529
v	0.0269938	0.959029	0.00331179	0.00597601	0.00231744	0.00163982	0.000436992	6.66852e-05	0.000228459
ú	0.0774088	0.860964	0.0250092	0.0193227	0.00816667	0.00192361	0.00667304	6.07603e-05	0.000471504
r	0.248652	0.640554	0.0226574	0.00734064	0.0135554	0.0107801	0.00851769	0.000654689	0.0472879
u	0.276278	0.503536	0.0308496	0.00956383	0.0295896	0.0124806	0.00754352	0.00293501	0.127224
á	0.124465	0.156486	0.558059	0.0714376	0.0255631	0.0120223	0.0274039	0.000912496	0.0236504
s	0.0617209	0.0742229	0.230659	0.530274	0.0560292	0.0148297	0.00895251	0.0038728	0.0194387
ú	0.00761094	0.00940062	0.0444999	0.912518	0.013896	0.00498743	0.00109323	0.000238665	0.00575547
u	0.0133637	0.0122283	0.0319909	0.822293	0.0866149	0.0186022	0.00348377	0.000769091	0.0106538
m	0.0358557	0.0320063	0.132793	0.131742	0.464912	0.0735168	0.0955549	0.00729347	0.0263251
ó	0.0156219	0.0131239	0.126109	0.098724	0.390251	0.0826027	0.024871	0.031241	0.217455
t	0.0120616	0.0223646	0.0166424	0.0616878	0.214177	0.382131	0.0672318	0.205884	0.0178199
s	0.00269308	0.00775301	0.00270197	0.0187907	0.129619	0.534128	0.0228483	0.270162	0.0113034
i	0.000492865	0.00888985	0.00169221	0.0392185	0.15601	0.580985	0.148849	0.0527943	0.0110679
a	0.000972646	0.00113016	0.00387094	0.0143258	0.173186	0.403268	0.194434	0.0560568	0.152757
p	0.00636516	0.00267776	0.0156311	0.00438685	0.108466	0.11333	0.631724	0.0180506	0.0993689
o	0.00747504	0.00355057	0.00178888	0.00185995	0.05429	0.313091	0.152219	0.375349	0.0903769
o	0.000938093	0.00370946	0.00144152	0.00569247	0.0450708	0.187032	0.154375	0.473007	0.128733
</S>	0.00313813	0.00240664	0.00295328	0.00649754	0.0326538	0.0682434	0.32317	0.0296884	0.531249
