 	j'	ai	attrapé	une	grenouille	dans	la	petite	nasse	</S>
n	0.960724	0.0313493	0.000125759	0.00163822	0.00278843	0.00105717	0.000615096	0.00114579	0.000488146	6.78028e-05
g	0.984078	0.0141536	3.54654e-06	0.000265713	0.000262157	0.000324609	0.000218477	0.000272796	0.000407768	1.31396e-05
á	0.962252	0.0350898	9.65508e-05	0.000681695	0.000315295	0.0001021	0.000115436	7.54723e-05	0.00124776	2.34388e-05
í	0.108034	0.505214	0.0262685	0.0291028	0.0145655	0.00679527	0.0127731	0.0182344	0.0448362	0.234176
p	0.00616808	0.27848	0.686409	0.0171911	0.00392224	0.00161798	0.00156302	0.00128894	0.000908474	0.00245034
i	2.03058e-05	0.0231825	0.94864	0.0201638	0.00247433	0.00073465	0.000715708	0.000363997	0.00203226	0.00167207
i	0.000420923	0.0352627	0.81826	0.136568	0.00548236	0.00203705	0.000581514	0.000236223	0.000709042	0.000441672
i	0.00598904	0.0223647	0.00641463	0.290043	0.254898	0.256863	0.0861539	0.0481866	0.00717724	0.0219092
m	6.50602e-05	0.00195751	0.0345494	0.25029	0.549131	0.0826154	0.0416005	0.0104149	0.0183682	0.011008
b	0.000154578	0.000595101	0.000781265	0.0202557	0.781697	0.103966	0.0537251	0.0105986	0.00541736	0.0228098
a	1.80942e-05	7.29483e-05	0.00057696	0.0125691	0.916538	0.0410914	0.0164329	0.00147153	0.00701377	0.00421511
m	2.20368e-05	0.000181974	0.000306894	0.0305211	0.772558	0.151359	0.0310097	0.00273675	0.00107689	0.0102281
b	0.000174015	0.00020091	0.000213962	0.0124511	0.639683	0.203862	0.0890062	0.0171733	0.00233898	0.034896
a	0.000413902	0.000179893	7.55025e-05	0.011802	0.372079	0.34993	0.151247	0.0363006	0.0199608	0.0580111
m	8.44523e-06	0.000346215	0.000264369	0.0448988	0.0725803	0.391946	0.290157	0.109279	0.0286153	0.0619047
ó	0.000111377	0.000158458	6.39326e-05	0.00743369	0.0423897	0.124801	0.238595	0.143461	0.0262932	0.416693
n	0.000472428	0.00124837	0.000195313	0.0029494	0.00482329	0.0383301	0.103942	0.0923266	0.731257	0.0244555
y	0.00858406	0.00102675	3.01109e-05	0.00231515	0.00900788	0.0666332	0.204138	0.0949174	0.474735	0.138612
έ	0.0237062	0.000448277	1.62203e-05	0.00245621	0.00588996	0.0512456	0.211948	0.123819	0.505917	0.0745543
n	0.000432365	0.000177115	2.55207e-05	0.00391549	0.00467416	0.0351798	0.123161	0.0436816	0.637903	0.15085
y	2.4327e-05	2.54531e-05	2.07891e-05	0.00736308	0.012965	0.0397543	0.173583	0.133016	0.461273	0.171975
έ	9.87827e-05	3.05046e-05	1.59211e-05	0.00354533	0.00960193	0.0482502	0.182963	0.127779	0.403515	0.224201
</S>	0.000113358	0.00046999	1.11734e-05	0.00681708	0.00509686	0.0424812	0.124233	0.392835	0.0561554	0.371787
