 	avec	la	manière	dont	il	remblaie	les	trous	il	peut	en	remplir	cent	par	jour	</S>
e	0.177106	0.0707087	0.0904378	0.539481	0.045527	0.0140278	0.00971381	0.00261221	0.00512636	0.0138087	0.00657291	0.00945389	0.00673504	0.00243724	0.00410957	0.00214188
k	0.00127281	0.00351546	0.00239457	0.00179848	0.00194835	0.834129	0.0369932	0.0181869	0.00378987	0.0664281	0.00460341	0.00890428	0.00655457	0.00385385	0.00515702	0.0004706
í	0.000436726	0.000159951	0.000125414	0.000382674	0.000222259	0.935986	0.00801202	0.00149372	0.00174386	0.0184891	0.00273087	0.017252	0.00629361	0.00132697	0.00488924	0.000455435
í	4.16995e-05	7.85681e-05	0.000409039	0.0025887	0.000443391	0.941216	0.00887424	0.00393653	0.00110769	0.0113757	0.00300083	0.0219367	0.00286224	0.00103964	0.000996473	9.27186e-05
s	0.00217063	0.00248553	0.0048616	0.0209177	0.0175598	0.516341	0.349894	0.0251154	0.00730411	0.0197731	0.0150686	0.00550963	0.00754583	0.00262436	0.000804738	0.00202386
í	0.000269862	0.000188204	0.000127459	0.000500849	0.00518579	0.654575	0.0803874	0.0175333	0.013607	0.0632392	0.0307701	0.0103547	0.0256868	0.0129388	0.00603008	0.0786059
l	0.336052	0.292039	0.0430103	0.0530031	0.0235828	0.0746247	0.0708027	0.0112553	0.0118747	0.00884196	0.0123378	0.00391694	0.00977013	0.00974944	0.00208228	0.0370564
í	0.102338	0.0628992	0.0251298	0.0986254	0.123452	0.221127	0.0272592	0.0148554	0.0239947	0.00381474	0.00503214	0.00396174	0.00964729	0.00760935	0.00323596	0.267017
y	0.026143	0.0558428	0.136092	0.433302	0.0747861	0.143406	0.0527625	0.0110121	0.00729028	0.00410175	0.0123392	0.0024592	0.00987204	0.00938033	0.00210276	0.0191084
é	0.0273385	0.029567	0.0684371	0.584551	0.0654669	0.123653	0.0201795	0.0180617	0.00656535	0.00131996	0.00340785	0.00097912	0.00470154	0.00578432	0.000930115	0.039057
é	0.0171525	0.0325304	0.121229	0.592199	0.0349988	0.0980019	0.0317158	0.00518142	0.00297241	0.00169442	0.0040541	0.00147834	0.00659365	0.00685114	0.00182037	0.041527
k	0.00358363	0.00119003	0.000562474	0.00577893	0.0570087	0.724578	0.0532828	0.051415	0.016795	0.0130641	0.00539162	0.0163573	0.0108208	0.00660521	0.00488171	0.0286845
í	0.000904662	0.000445245	0.0001053	0.000464974	0.00654259	0.896057	0.0287484	0.0149461	0.0136002	0.0111076	0.0059671	0.00335907	0.00564236	0.00243665	0.00137766	0.00829491
í	3.4231e-05	4.51406e-05	9.61195e-05	0.000864571	0.0145145	0.951226	0.00964939	0.00616139	0.0026413	0.00420156	0.00115895	0.00419094	0.00103786	0.000372889	0.000482271	0.0033229
s	0.000473559	0.0012103	0.00352741	0.0145884	0.455618	0.147493	0.285079	0.0291675	0.0159591	0.0089067	0.00966509	0.0072279	0.00596006	0.00524457	0.00145259	0.0084268
á	0.00166868	0.000737749	0.000859009	0.0075617	0.0368054	0.577413	0.279121	0.0443833	0.0109381	0.00399535	0.00419633	0.00365898	0.00675699	0.00439751	0.00162639	0.0158814
w	0.0263274	0.0182483	0.0178065	0.0233248	0.40609	0.0191261	0.270447	0.130972	0.0395615	0.00612263	0.0151253	0.00107012	0.0052802	0.00799679	0.00434096	0.00816038
a	0.01112	0.00646551	0.00452951	0.0040883	0.606556	0.0190644	0.200106	0.0838853	0.0374317	0.0036891	0.00821463	0.000379576	0.00420462	0.00401926	0.00294879	0.0032981
a	0.00272365	0.0018421	0.00142033	0.00268926	0.196555	0.00941713	0.435966	0.184492	0.0966466	0.0144355	0.0232172	0.00170055	0.00689886	0.0104289	0.00469526	0.00687045
b	0.0012882	0.000743541	0.000644415	0.00256116	0.0111754	0.187333	0.271865	0.311766	0.12011	0.0373566	0.0180583	0.0169981	0.0085593	0.00396493	0.00297174	0.00460461
é	0.00121618	0.000859826	0.000272687	0.000208522	0.00492102	0.116037	0.200253	0.298844	0.190991	0.0864822	0.0589019	0.014482	0.0136025	0.00528949	0.00450686	0.0031318
á	0.000331126	0.000557091	0.000512577	0.000178236	0.0130004	0.081961	0.118841	0.188632	0.214973	0.166558	0.0752468	0.0263657	0.0223037	0.016396	0.00905718	0.0650863
l	0.00225128	0.00223272	0.0015151	0.00563529	0.0220389	0.0440697	0.194108	0.192944	0.14681	0.136138	0.174809	0.0446624	0.0142297	0.00975952	0.00259117	0.00620588
á	0.00418047	0.00213855	0.00132754	0.00906391	0.0139569	0.0573129	0.112083	0.108093	0.16517	0.055232	0.0853077	0.0283775	0.0500196	0.0356604	0.0130064	0.25907
a	0.00708518	0.0121532	0.00263533	0.0024267	0.0164014	0.00152671	0.234788	0.0780917	0.169899	0.113401	0.213237	0.0328148	0.0387166	0.0352494	0.0105933	0.0309805
b	0.000805131	0.00122626	0.000268981	0.00105483	0.00101516	0.0490183	0.0339917	0.100378	0.133553	0.351783	0.0628564	0.238224	0.011565	0.00352168	0.00798714	0.00275171
h	0.000126	0.000527852	4.76771e-05	2.21918e-05	0.000603456	0.0428075	0.0410997	0.0693972	0.104346	0.504585	0.0762378	0.12267	0.0156711	0.0053841	0.0116588	0.00481532
e	5.48743e-05	9.18771e-05	1.07237e-05	6.95308e-06	1.39998e-05	0.0393722	0.0185731	0.0255049	0.0374925	0.739664	0.0349934	0.0842458	0.00917477	0.00194401	0.00397138	0.00488567
r	9.41301e-06	1.61079e-05	1.03653e-05	5.49927e-05	0.000164541	0.00655625	0.0085989	0.0121094	0.0283542	0.816172	0.0481525	0.0619423	0.00590363	0.00233945	0.00125252	0.00836286
á	0.00381843	0.00222081	0.000269952	0.00040706	0.000296527	0.00803546	0.0238926	0.030058	0.0960246	0.40368	0.0831534	0.0831743	0.0713398	0.0212603	0.0205324	0.151837
o	0.00129251	0.00075964	0.000648495	0.00153971	0.00796624	0.000975614	0.0744696	0.0415892	0.0854656	0.167516	0.310441	0.129605	0.0932208	0.0618092	0.0121127	0.0105891
k	0.000255212	0.000546297	5.40148e-05	0.000216067	0.000328207	0.00528587	0.0132931	0.0202654	0.0580521	0.216558	0.128739	0.438948	0.0617003	0.0192885	0.0311108	0.00535845
í	2.83306e-05	5.27901e-05	8.12205e-06	1.02748e-05	1.26005e-05	0.00329517	0.00150093	0.00162193	0.00930764	0.175927	0.0247583	0.693909	0.0306538	0.00702392	0.045546	0.00634407
í	1.35194e-05	7.1247e-06	9.15407e-06	4.78139e-05	5.2736e-05	0.00527415	0.00198457	0.00364077	0.0152426	0.220837	0.0228528	0.691884	0.0145248	0.00323234	0.0102037	0.0101927
s	7.21908e-05	5.60655e-05	7.2905e-05	0.00056946	0.000992041	0.00157049	0.0129401	0.00266366	0.017365	0.0386912	0.132088	0.202427	0.305469	0.201442	0.0421561	0.0414244
á	0.000804771	0.00079708	0.000100306	0.000471922	0.000159577	0.00514457	0.0128783	0.00396948	0.0207853	0.0339679	0.0571754	0.126101	0.156942	0.133712	0.160934	0.286057
o	0.0109786	0.0213933	0.00947219	0.00768674	0.00916043	0.00146085	0.0229338	0.00370057	0.00832634	0.00830523	0.040119	0.0334214	0.167393	0.201881	0.40406	0.0497071
k	0.000323584	0.000945187	0.000134268	0.000353736	0.000949117	0.00428525	0.0157084	0.00846726	0.0067127	0.0229968	0.0223551	0.124681	0.163685	0.0943289	0.475167	0.058907
á	2.28778e-05	4.58384e-05	1.14696e-05	2.59036e-05	1.49213e-05	0.00275473	0.00115013	0.00122472	0.00347346	0.0415545	0.0106481	0.271017	0.120182	0.0599611	0.452278	0.0356355
m	4.91001e-05	4.0814e-05	4.72508e-05	0.000120967	7.63791e-05	0.000989312	0.00314007	0.00169115	0.00735489	0.0667892	0.0241437	0.231799	0.147442	0.0702057	0.374873	0.0712373
á	0.000181474	0.000134595	4.106e-06	2.40044e-06	2.25088e-05	9.70691e-05	0.00152629	0.00186956	0.00915996	0.0386239	0.0349903	0.0064938	0.0985957	0.163411	0.188	0.456888
m	0.0129119	0.00241634	0.000867902	0.00296724	0.0137061	0.00102542	0.018983	0.00843043	0.0129234	0.00781866	0.0399634	0.0104274	0.134607	0.245725	0.162752	0.324474
ó	0.00488075	0.0171116	0.000991238	0.000156105	0.0126212	0.000302002	0.0204477	0.0261297	0.0462053	0.0226114	0.0537342	0.00117791	0.0505967	0.21014	0.160045	0.372849
k	0.00302617	0.0130151	0.00322739	0.00184655	0.00337844	0.000737369	0.0140598	0.00118904	0.00423521	0.00373023	0.0224179	0.00813286	0.0984553	0.181327	0.478334	0.162887
ω	5.84905e-05	0.000194177	5.40611e-05	0.000127296	0.000427581	0.000858456	0.00726103	0.00109032	0.00374438	0.00817166	0.0147719	0.0574357	0.166892	0.0637464	0.593701	0.0814654
ω	0.000171651	6.21577e-05	0.000142131	0.000251419	0.000445719	0.000658536	0.00269767	0.00253646	0.00590899	0.0257175	0.0140939	0.0336613	0.0788373	0.0602606	0.730564	0.0439907
</S>	0.00204673	0.000602963	7.34161e-05	0.000168094	0.000218884	0.000138609	0.00235973	0.000830834	0.00448614	0.00679818	0.0228928	0.00578565	0.158102	0.201029	0.146581	0.447886
