 	la	branche	du	manguier	est	flétrie	</S>
e	0.576716	0.370825	0.0452212	0.00390871	0.0017149	0.001476	0.000138185
t	0.212033	0.743398	0.0212078	0.00323596	0.00620436	0.010786	0.00313499
á	0.0606068	0.878326	0.0487891	0.000693359	0.00484579	0.00302144	0.00371699
b	0.0641953	0.735874	0.113728	0.00113345	0.0191973	0.0280786	0.0377928
h	0.176389	0.655647	0.128884	0.0016063	0.00760309	0.0101204	0.0197507
e	0.290793	0.626174	0.0536947	0.0074277	0.00357594	0.00913334	0.00920111
y	0.121557	0.105088	0.713026	0.00871558	0.0305386	0.00304004	0.0180353
ó	0.261608	0.0302102	0.472674	0.041189	0.0634843	0.0130715	0.117763
m	0.14668	0.0255082	0.520416	0.188524	0.0553118	0.0317741	0.0317862
b	0.0124555	0.00207073	0.0365857	0.870898	0.0638775	0.000459441	0.0136532
á	0.00377801	0.00596694	0.0195882	0.957455	0.008651	0.00183502	0.00272552
n	0.0269951	0.0114731	0.0429307	0.887115	0.0178466	0.00340022	0.0102394
g	0.0310219	0.0231365	0.124534	0.747549	0.0421271	0.00941849	0.0222127
é	0.0318963	0.0384327	0.0939992	0.774817	0.0404609	0.0123865	0.00800747
é	0.0101551	0.00391963	0.114428	0.0159607	0.749762	0.0387458	0.0670293
d	0.00937093	0.00490469	0.047772	0.0018324	0.616748	0.261262	0.0581105
í	0.00190785	0.000842334	0.0037294	0.00326781	0.347599	0.0727634	0.56989
e	0.00307987	0.000621342	0.0125519	0.00165251	0.169715	0.527533	0.284846
n	0.00533762	0.00414313	0.00466152	0.00716271	0.0723122	0.749606	0.156777
y	0.00175906	0.00154625	0.00555604	0.00874477	0.0899473	0.667035	0.225411
i	0.00449887	0.00258846	0.00502136	0.00594524	0.0484011	0.833694	0.0998509
r	0.000169992	0.000279882	0.00186246	0.000226344	0.0272077	0.713006	0.257248
á	0.000818833	0.00154121	0.00424825	0.000892152	0.118589	0.288665	0.585245
n	0.000472667	0.000329124	0.00574793	0.000347036	0.0492136	0.140207	0.803683
y	0.00407194	0.00554359	0.00943275	0.00222212	0.0492244	0.732866	0.196639
i	0.00277288	0.00275919	0.00867106	0.00119621	0.0328855	0.552167	0.399548
r	0.000473439	0.000600605	0.00235899	0.000319397	0.0223466	0.384983	0.588918
a	0.00211169	0.00359732	0.00743214	0.00160535	0.0609406	0.226744	0.697569
</S>	0.00235957	0.00115014	0.0118265	0.000509014	0.038842	0.125403	0.81991
