 	j'	ai	maintenant	des	calosités	à	la	main	à	cause	des	travaux	champêtres	</S>
n	0.511078	0.116467	0.145569	0.0856092	0.0895389	0.015259	0.0102435	0.0100078	0.00617858	0.00206832	0.00159642	0.00558283	0.000235871	0.000565323
g	0.965246	0.0207069	0.00169989	0.00833799	0.00113734	0.000748195	0.000503354	0.000118247	0.000141759	2.3183e-05	7.11635e-05	0.000836198	0.000419767	1.00831e-05
á	0.878351	0.0979827	0.00453301	0.0106272	0.00456802	0.00050436	0.00129921	0.000383309	0.000311078	0.000195498	0.000147958	0.000412309	0.000671506	1.29998e-05
í	0.104689	0.242338	0.10978	0.127216	0.0191441	0.0352899	0.0313571	0.0110136	0.0142357	0.0190049	0.0374559	0.0461634	0.00998428	0.192328
b	0.0110306	0.436599	0.49636	0.0150984	0.00317033	0.00697095	0.00775396	0.0078559	0.00188431	0.00386098	0.00281542	0.00114832	0.000528096	0.00492373
h	0.00415888	0.097605	0.755111	0.0282603	0.0125418	0.00696388	0.0116524	0.0624591	0.00640436	0.00788452	0.00202153	0.000282103	0.000179865	0.00447515
í	0.00306474	0.081791	0.831707	0.052426	0.00194299	0.00472266	0.0068066	0.00742277	0.00189278	0.00478715	0.00175	0.000354683	5.31996e-05	0.00127801
l	0.00214541	0.0439418	0.519318	0.134438	0.0723515	0.0516277	0.0264621	0.0320415	0.0124299	0.0268578	0.031247	0.00695174	0.00694066	0.0332472
a	0.00341894	0.0529891	0.404008	0.241578	0.0817664	0.0443965	0.0307357	0.0122519	0.0170421	0.0178616	0.0159376	0.0154089	0.00216815	0.0604368
t	0.00269664	0.0468826	0.0993098	0.355348	0.206528	0.136964	0.0369691	0.0111397	0.0147428	0.00501924	0.0171002	0.0203611	0.00742026	0.0395186
ω	0.000233741	0.00402365	0.0467051	0.0629765	0.828395	0.0265556	0.0107077	0.00465511	0.00240329	0.00506936	0.00265199	0.000560145	0.00287723	0.00218574
n	0.000191143	0.00372915	0.032573	0.0813431	0.794346	0.0181636	0.00999471	0.0239268	0.0144118	0.00814811	0.00425483	0.00086065	0.0034557	0.00460112
d	0.00141716	0.0126475	0.0650715	0.113174	0.714018	0.0280511	0.0132703	0.00876058	0.00544468	0.00420534	0.007419	0.00538369	0.00309605	0.0180411
ω	0.000309422	0.00231637	0.0125282	0.0820591	0.767557	0.0464186	0.0133718	0.00441826	0.00525354	0.00136868	0.0095141	0.0081438	0.00865741	0.038084
m	0.000347912	0.00854687	0.0281378	0.208119	0.129977	0.485592	0.0703787	0.0263826	0.0212123	0.00344455	0.006726	0.00245294	0.000431304	0.00825044
í	0.00280841	0.00140369	0.00610966	0.0498502	0.0195711	0.158237	0.149789	0.150575	0.260238	0.0308805	0.0213158	0.00108512	0.00105449	0.147082
n	0.00109162	0.00567626	0.00796348	0.112139	0.0362674	0.393524	0.204879	0.0831948	0.0603831	0.0414008	0.0166084	0.00359447	0.0199472	0.0133306
g	0.0170784	0.0162524	0.00564016	0.0450505	0.012999	0.301851	0.255442	0.0232923	0.0472879	0.00502744	0.0365591	0.102196	0.0976412	0.0336824
á	0.00259489	0.00685168	0.00171355	0.0371231	0.105365	0.221937	0.198755	0.0888635	0.0441471	0.0126826	0.0202502	0.0129511	0.24153	0.00523481
á	3.21809e-05	0.000445304	0.00111482	0.0221734	0.0201202	0.345912	0.213454	0.114208	0.180766	0.0450381	0.0271291	0.00647291	0.0105479	0.0125857
m	0.00017876	0.00543155	0.00892673	0.0107422	0.00149562	0.111001	0.225864	0.110769	0.225265	0.121084	0.0888998	0.0544719	0.0163539	0.0195175
b	2.44485e-05	0.00445287	0.0140981	0.032712	0.00094782	0.0784285	0.12869	0.0871108	0.132895	0.247558	0.0981533	0.00859263	0.0169188	0.149417
é	2.80123e-05	0.000531645	0.00488628	0.00424456	0.00202427	0.0189949	0.0987421	0.326925	0.0839163	0.362612	0.0702543	0.00278568	0.0112421	0.0128134
á	5.33871e-05	0.000182578	0.00922644	0.00787257	0.00189363	0.0497317	0.120649	0.205862	0.0994369	0.299611	0.0969117	0.00435904	0.00346359	0.100748
l	0.000465739	0.00877137	0.00909062	0.0135888	0.000669848	0.0571606	0.0897997	0.041059	0.180426	0.105651	0.210198	0.191101	0.0209994	0.07102
i	0.000825864	0.00237677	0.00315902	0.00657471	0.00197522	0.0225857	0.0300809	0.0223777	0.0525215	0.0914402	0.191627	0.100312	0.124631	0.349513
s	8.98788e-05	0.00143499	0.00156781	0.0200664	0.00230751	0.0165178	0.0302898	0.0118925	0.0712957	0.0878232	0.165322	0.149484	0.362062	0.0798466
á	0.000467728	0.00534957	0.00251531	0.0139911	0.000667838	0.0260435	0.0542634	0.00677109	0.0369205	0.0693375	0.15781	0.202087	0.367017	0.0567595
l	0.000116667	0.000802341	0.000494327	0.0118259	0.000892516	0.012666	0.0239311	0.00253047	0.0303637	0.0527387	0.0878249	0.183588	0.527435	0.0647896
a	0.000213396	0.000409363	0.000635468	0.00311436	0.00167516	0.00841432	0.0188828	0.00651064	0.0324434	0.0343308	0.195587	0.251908	0.392084	0.0537913
l	2.11043e-05	0.000113472	0.000274044	0.0030483	0.00140115	0.00893907	0.0123145	0.00799551	0.0472401	0.0561368	0.14818	0.157256	0.403491	0.153589
