 	elle	lui	donne	un	coup	de	bâton	</S>
w	0.892226	0.0976269	0.00636188	0.00183697	0.000256956	0.00125811	0.000231625	0.000202002
a	0.858398	0.122424	0.002357	0.00414224	0.00197321	0.00729893	0.00333253	7.47013e-05
a	0.113195	0.659214	0.168688	0.0387901	0.00705501	0.0072859	0.000529811	0.00524166
w	0.0553726	0.308718	0.430001	0.12413	0.0490066	0.015362	0.00388428	0.0135251
u	0.013928	0.137981	0.244653	0.345419	0.12744	0.026861	0.00355486	0.100163
s	0.0594772	0.114908	0.535044	0.221644	0.0245293	0.00637557	0.00326764	0.0347539
í	0.0177943	0.078437	0.396342	0.463591	0.0268583	0.0122411	0.000196383	0.0045401
w	0.202532	0.239978	0.106076	0.133553	0.107746	0.145178	0.0188912	0.046046
a	0.185312	0.167241	0.197679	0.318266	0.0155659	0.0439323	0.00157254	0.0704319
i	0.0353413	0.0590183	0.103729	0.124084	0.173225	0.424557	0.00419011	0.0758551
b	0.0018218	0.00518615	0.0389637	0.11306	0.13255	0.167518	0.465835	0.0750657
v	0.000845869	0.00175435	0.00914733	0.0234891	0.041224	0.0957325	0.801631	0.0261762
ú	0.000469216	0.00181063	0.015421	0.0507829	0.0990701	0.122047	0.661263	0.0491359
a	0.000293654	0.000617372	0.00268423	0.0127711	0.0189952	0.079551	0.325255	0.559832
</S>	0.00269561	0.00885153	0.0218976	0.0403458	0.0619492	0.330975	0.17532	0.357965
