 	c'	est	donc	cet	imbécile	qui	l'	a	pris	en	mariage	</S>
o	0.370982	0.158805	0.0079572	0.0110812	0.0372015	0.161567	0.0852254	0.072526	0.0489928	0.038341	0.00316684	0.00415379
l	0.0561221	0.129596	0.105529	0.0326299	0.0443944	0.0425745	0.0501287	0.0924993	0.286049	0.0366883	0.0738059	0.0499831
ó	0.00641715	0.023836	0.0101652	0.0164078	0.0460763	0.0268224	0.0247307	0.0201267	0.243563	0.0277454	0.135694	0.418416
m	0.00444656	0.0138358	0.0509296	0.025086	0.0258852	0.0303713	0.0308035	0.034058	0.238996	0.0534737	0.140453	0.351661
i	0.0254815	0.0371126	0.161197	0.216759	0.192471	0.0336695	0.018791	0.00924291	0.0485441	0.0117677	0.0136716	0.231291
y	0.0841799	0.0808726	0.120414	0.142673	0.163472	0.0990867	0.100162	0.0734909	0.0242741	0.0355201	0.00645171	0.0694032
e	0.130706	0.0757589	0.0638922	0.156355	0.258213	0.0552849	0.0632631	0.0405837	0.0184855	0.0259928	0.0445336	0.0669313
é	0.0621444	0.0378498	0.0457571	0.0817655	0.158551	0.145351	0.2235	0.133448	0.00946647	0.0378948	0.0135076	0.050764
k	0.00283667	0.0108196	0.0625773	0.0530487	0.0589312	0.0690163	0.148569	0.24732	0.184401	0.0704908	0.0332293	0.0587612
o	0.000706341	0.0019189	0.00233624	0.00779976	0.020556	0.0631895	0.0737082	0.0996103	0.55897	0.0587988	0.0443073	0.0680984
b	0.00100437	0.00353455	0.00771115	0.0201224	0.0278063	0.186594	0.107074	0.0940677	0.383389	0.111176	0.0166468	0.0408737
h	0.0192427	0.0103851	0.00353308	0.0265261	0.06034	0.0892113	0.12301	0.126315	0.325294	0.0798423	0.024099	0.112203
í	0.0184486	0.0093436	0.004794	0.0437188	0.0991309	0.158271	0.107391	0.0543172	0.117578	0.0809907	0.0362258	0.26979
w	0.00727864	0.00571671	0.00586689	0.0369937	0.0458014	0.078092	0.193074	0.255122	0.0670626	0.267362	0.0198294	0.0178006
a	0.0182553	0.0129178	0.00757432	0.0399364	0.0649385	0.0903895	0.176105	0.197087	0.140703	0.0406405	0.13616	0.0752919
l	0.00332442	0.0017693	0.0030862	0.0127383	0.0181019	0.081757	0.159294	0.233402	0.0962682	0.21694	0.116889	0.0564286
í	0.00959095	0.00588374	0.00280678	0.0158527	0.0184714	0.0209553	0.0545192	0.101202	0.119796	0.107609	0.125654	0.417658
e	0.00596181	0.00506495	0.00522833	0.0279772	0.0257427	0.0543661	0.100519	0.131138	0.074717	0.192705	0.206375	0.170204
d	0.00100978	0.00490993	0.0116343	0.00947422	0.00333973	0.00539175	0.0121814	0.0434322	0.201386	0.167804	0.353969	0.185468
z	0.000261087	0.00147637	0.00585647	0.0146887	0.0149277	0.013241	0.0156968	0.0347595	0.189216	0.330275	0.108684	0.270918
á	0.00164766	0.00599896	0.0243643	0.146267	0.119729	0.0340149	0.063584	0.095355	0.131109	0.102898	0.0984055	0.176626
b	0.00305945	0.00194334	0.0026721	0.0245705	0.0522356	0.0927389	0.0831718	0.090161	0.0696479	0.120578	0.141758	0.317463
h	8.62104e-05	0.000136082	4.06892e-05	0.000721965	0.00346933	0.0117912	0.0150883	0.0291922	0.113291	0.0287185	0.562201	0.235263
á	0.000119028	6.71243e-05	4.61768e-05	0.00142221	0.00737295	0.0242856	0.0356285	0.0272094	0.0967284	0.0470759	0.114745	0.6453
á	0.000130816	0.000126827	0.000123738	0.00218118	0.0070102	0.0167337	0.0333132	0.0482659	0.0669556	0.0651843	0.224476	0.535498
y	0.0044916	0.00378714	0.00573753	0.0276997	0.0268164	0.0230634	0.0448667	0.0667102	0.0384436	0.132592	0.139068	0.486723
é	0.00377979	0.00732021	0.00224695	0.00730033	0.0105644	0.0360714	0.0391298	0.0785172	0.10643	0.0974186	0.485087	0.126134
</S>	0.000333649	0.000453104	0.000536933	0.00238117	0.00376695	0.0131003	0.0236359	0.048959	0.0466708	0.0735477	0.222402	0.564213
