 	le	foufou	cuit	m'	a	collé	aux	mains	</S>
f	0.215583	0.6262	0.139465	0.0102182	0.00473583	0.000471999	0.00299464	0.000200655	0.00012989
u	0.0729772	0.89906	0.0210026	0.00347792	0.00218334	0.000136878	0.000728267	0.000346386	8.74768e-05
f	0.049996	0.716975	0.0599331	0.00390994	0.0164303	0.0976372	0.0027504	0.00428946	0.0480789
ú	0.0734895	0.864963	0.0445704	0.00115241	0.00129465	0.0101517	0.000553326	0.000980693	0.00284425
y	0.371321	0.262784	0.324009	0.00402598	0.00751569	0.0028108	0.00703749	0.00124967	0.0192459
o	0.59388	0.173917	0.148802	0.0183767	0.0252095	0.00522285	0.025085	0.00151174	0.00799489
l	0.428063	0.044486	0.347734	0.119581	0.0295699	0.00556073	0.0153333	0.00202145	0.00765112
á	0.352048	0.0296894	0.11524	0.116557	0.128499	0.0104642	0.0159019	0.00353587	0.228065
m	0.350795	0.0349761	0.204283	0.20418	0.0992736	0.0364389	0.0262001	0.00446999	0.0393843
b	0.140217	0.00911248	0.125902	0.120409	0.529564	0.031971	0.0255531	0.00452095	0.0127495
á	0.0197394	0.0285929	0.101146	0.0592848	0.461894	0.229841	0.0278806	0.0411081	0.0305131
l	0.0405269	0.0210367	0.215161	0.315976	0.226901	0.0923502	0.0228556	0.00875282	0.0564397
a	0.0155829	0.0220782	0.112599	0.334961	0.222201	0.136532	0.02683	0.00551739	0.123699
m	0.00861055	0.0027224	0.095371	0.262322	0.440043	0.0955503	0.0530744	0.0104145	0.0318921
b	0.134703	0.00892174	0.0293117	0.0161673	0.265565	0.305011	0.168362	0.00502063	0.066938
a	0.0319829	0.0246967	0.0513748	0.0290746	0.127487	0.577032	0.101122	0.038824	0.0184061
á	0.0137267	0.0123755	0.0663369	0.0468819	0.173088	0.591197	0.0336689	0.0228273	0.0398977
n	0.0032962	0.00253571	0.0483584	0.201188	0.373515	0.0669495	0.213734	0.0105809	0.0798423
a	0.0135861	0.00517378	0.0274804	0.415233	0.311041	0.0151153	0.142788	0.00495389	0.0646282
b	0.00265512	0.000662724	0.0211742	0.0709352	0.195937	0.066496	0.503089	0.0336616	0.105389
h	0.0114884	0.0204419	0.0703195	0.15812	0.0871479	0.387808	0.0606277	0.161332	0.042715
i	0.0063987	0.0143035	0.0190942	0.0461784	0.0506046	0.458745	0.0960216	0.105622	0.203032
r	0.00206217	0.00183299	0.00814569	0.027375	0.0479461	0.256709	0.277597	0.222822	0.155511
i	0.0124752	0.014994	0.0136834	0.0543859	0.0947711	0.140083	0.247538	0.0336305	0.388439
n	0.00077239	0.000346481	0.00796585	0.0331176	0.0641728	0.0202964	0.550602	0.148799	0.173927
g	0.0169995	0.0079004	0.0190344	0.14041	0.0899066	0.0132097	0.410298	0.0735287	0.228713
á	0.00230642	0.0030221	0.0154967	0.313815	0.0787403	0.0279593	0.336089	0.123579	0.0989926
m	0.00153901	0.000636491	0.00388301	0.0065306	0.0270783	0.0378389	0.459872	0.156176	0.306446
á	0.0202429	0.00539576	0.00397344	0.000671302	0.014452	0.0333117	0.399571	0.0538931	0.468489
b	0.00811705	0.00757374	0.0106531	0.00760673	0.0231077	0.0546601	0.183083	0.290653	0.414545
ώ	0.0034466	0.0120395	0.0253707	0.0206039	0.00999118	0.0650458	0.0582534	0.748246	0.0570026
ω	0.000569629	0.000339328	0.000568269	0.00261734	0.00218777	0.0537497	0.0338859	0.838968	0.0671137
</S>	0.0316536	0.00389363	0.0109149	0.00789765	0.0234899	0.0182526	0.328485	0.165979	0.409434
