 	la	carpe	que	nous	avons	mangée	était	cuit	à	la	braise	la	vôtre	est	cuite	dans	un	bouillon	</S>
m	0.526315	0.300893	0.0624514	0.0300789	0.0366576	0.014797	0.00609564	0.0115689	0.00465347	0.00186174	0.00031333	0.00143004	0.000733801	0.000623731	1.28562e-05	0.000440994	0.00103797	1.11281e-05	2.3007e-05
b	0.0708029	0.739359	0.0444372	0.0167085	0.0438063	0.00999533	0.00431298	0.0134264	0.0138814	0.00659952	0.000886195	0.00461875	0.00486699	0.00352848	0.000465695	0.0035882	0.0034173	0.00127242	0.0140268
ó	0.0185433	0.847382	0.0206406	0.0503806	0.0301139	0.0102753	0.00822273	0.00862483	0.00151305	0.00131397	0.000249114	0.000507676	0.00181947	3.76004e-05	3.6949e-05	2.81359e-05	5.03221e-05	0.000146627	0.00011333
r	0.00971189	0.966	0.00499482	0.00185528	0.00483074	0.00499881	0.00242951	0.00160054	0.000611185	0.0004113	0.00023441	0.000200841	0.000247848	7.46028e-05	2.85396e-05	4.49798e-05	3.45762e-05	0.000236088	0.00145423
ó	0.149972	0.698679	0.0423286	0.00566542	0.00792712	0.0056097	0.00917238	0.00919172	0.00701874	0.00818254	0.00736524	0.0079523	0.00373983	0.00169265	0.00168939	0.00233411	0.00388841	0.00497907	0.0226117
y	0.302892	0.095551	0.326363	0.0338673	0.109713	0.0740582	0.020838	0.00619319	0.00486604	0.00258934	0.00108486	0.00316997	0.00133319	0.00385293	0.00114314	0.00216256	0.00134025	0.000747902	0.00823386
e	0.43284	0.128659	0.230432	0.0251872	0.0438779	0.0154576	0.0103673	0.0118808	0.0138563	0.0119989	0.00466471	0.0264233	0.00612938	0.0120116	0.00406768	0.00410351	0.0109416	0.00249072	0.00461039
e	0.168279	0.0126491	0.537982	0.0759748	0.109118	0.0120905	0.0083756	0.00657891	0.00723785	0.00907977	0.00112091	0.0120466	0.00547382	0.00534117	0.00160384	0.00251108	0.00954658	0.00248464	0.0125061
d	0.0429054	0.0113856	0.0598063	0.0323628	0.0872206	0.355259	0.151494	0.0465396	0.0395423	0.0135246	0.0212949	0.00409285	0.00628107	0.0148448	0.0537959	0.0120198	0.00348329	0.0248411	0.0193059
z	0.0040637	0.000549575	0.00326369	0.00497241	0.0201994	0.803819	0.0698658	0.00659039	0.014855	0.00230004	0.00238178	0.0020992	0.000319506	0.00329204	0.0332979	0.00965459	0.0014864	0.00375766	0.0132315
