 	cette	jeune	fille	est	encore	mineure	</S>
m	0.422081	0.555603	0.00652156	0.0121701	0.00312037	0.000132691	0.000371481
w	0.0604063	0.735501	0.184185	0.00438793	0.00096991	0.00308134	0.0114686
á	0.00480869	0.853602	0.139843	0.000787297	0.000195201	0.000611186	0.000153218
n	0.07122	0.824614	0.0959098	0.00413701	0.000286269	6.43064e-05	0.00376862
a	0.0642511	0.409789	0.224593	0.151683	0.0315712	0.00362433	0.114488
o	0.859555	0.102299	0.0110189	0.011645	0.0074103	0.00243134	0.00564078
y	0.333134	0.115714	0.0824294	0.151165	0.204216	0.0590004	0.054342
u	0.670322	0.112019	0.0924672	0.0137592	0.0541307	0.03959	0.0177124
r	0.936169	0.0198312	0.00822696	0.00246733	0.00393932	0.00779339	0.0215726
ú	0.787147	0.186435	0.0103053	0.0029065	0.000949685	0.0064245	0.00583254
w	0.201013	0.0763663	0.074333	0.42099	0.132897	0.00909629	0.0853039
ó	0.102174	0.0475366	0.0279827	0.393215	0.10394	0.0281039	0.297047
a	0.0722319	0.0105569	0.0400885	0.614414	0.0625347	0.00557317	0.194601
s	0.00848023	0.000694922	0.016124	0.303147	0.40468	0.0141176	0.252756
á	0.013154	0.0047639	0.0592494	0.167614	0.496916	0.0336919	0.224611
a	0.0733123	0.0172441	0.025638	0.242196	0.250853	0.0207828	0.369973
o	0.00648065	0.00142702	0.00968878	0.483394	0.445563	0.0177441	0.0357025
t	0.0110775	0.000118009	0.00548532	0.0154234	0.239259	0.700233	0.0284044
í	0.00424022	0.000795131	0.00712577	0.0147252	0.0647103	0.752398	0.156006
i	0.00366325	0.00316338	0.0105181	0.0869145	0.145264	0.392819	0.357658
s	0.00587955	0.00076282	0.00290472	0.0773451	0.130721	0.413899	0.368488
í	0.00929925	0.000262607	0.000792789	0.0328125	0.0765895	0.451096	0.429148
</S>	0.00227499	0.00120946	0.0020506	0.150167	0.163527	0.0387903	0.641981
