 	grande	brousse	qui	pousse	après	la	plantation	</S>
i	0.401926	0.497841	0.0804634	0.00763714	0.00493441	0.00640821	0.000461856	0.000328131
f	0.0884904	0.89086	0.0133304	0.00163396	0.00242123	0.00202047	0.000467882	0.00077593
u	0.0191232	0.965858	0.00767529	0.00273016	0.00165186	0.000828378	0.000366919	0.00176576
ú	0.0925185	0.85936	0.034131	0.000794379	0.00260828	0.00248531	0.00147175	0.00663094
l	0.263615	0.128229	0.494135	0.0202012	0.00830819	0.012772	0.000318753	0.07242
í	0.493432	0.0719044	0.175661	0.0528056	0.0173418	0.0336586	0.00892228	0.146274
í	0.287808	0.0527223	0.34398	0.17728	0.0696049	0.036741	0.00879108	0.0230733
t	0.0448754	0.0157318	0.109642	0.584489	0.12711	0.0758354	0.00380728	0.0385088
ω	0.00896114	0.0199071	0.051084	0.606905	0.221862	0.0522679	0.00996392	0.0290488
ώ	0.0412857	0.0732762	0.251807	0.237026	0.282334	0.05983	0.0225003	0.0319408
o	0.021884	0.00345509	0.0731323	0.265855	0.153823	0.413134	0.0322473	0.036469
n	0.00290287	0.00680688	0.00318445	0.0720498	0.343736	0.142369	0.394381	0.03457
g	0.00126073	0.00237111	0.0027066	0.0148812	0.498877	0.050055	0.402346	0.0275025
ω	0.000152621	0.000679573	0.00329635	0.00888065	0.403952	0.00597886	0.573709	0.00335144
n	0.000134014	0.00115591	0.003806	0.00277793	0.356506	0.014727	0.612818	0.00807583
g	0.00174531	0.00250759	0.0017689	0.00984666	0.504079	0.178425	0.131062	0.170567
ω	0.00103814	0.00165494	0.00175685	0.00640658	0.498341	0.101967	0.303738	0.0850968
s	0.00183385	0.00166306	0.00444448	0.00668728	0.10452	0.305396	0.259932	0.315523
á	0.0267455	0.0105598	0.0100858	0.00613884	0.0583885	0.248419	0.205963	0.433699
n	0.00686878	0.00809194	0.00618011	0.00343966	0.00645905	0.0959817	0.816116	0.0568626
g	0.000339871	5.18974e-05	0.000315848	0.00059575	0.00954515	0.0144129	0.958363	0.0163751
o	9.06434e-05	0.000415945	0.00108628	0.00107586	0.0412852	0.0118838	0.910735	0.0334268
n	1.09335e-05	4.09632e-05	4.49361e-05	5.55376e-05	0.0133372	0.00435423	0.923972	0.0581847
d	0.000923323	0.00141319	0.00116307	0.00100019	0.0141805	0.0200568	0.0468957	0.914367
a	0.00204669	0.00135831	0.000436735	0.000682879	0.137537	0.01831	0.485088	0.35454
y	0.00256097	0.00166267	0.00240172	0.00835571	0.0999541	0.162416	0.0518951	0.670753
á	0.00742154	0.0185844	0.0540209	0.0198661	0.0852154	0.436602	0.0909843	0.287306
k	0.00857737	0.0247018	0.0886608	0.0550263	0.0535106	0.338462	0.237434	0.193627
a	0.00589917	0.0344881	0.0195621	0.0236268	0.0323389	0.298111	0.246159	0.339816
l	0.00199979	0.0036304	0.00135016	0.00608275	0.00427187	0.0369277	0.0306054	0.915132
a	0.00719526	0.00856228	0.00705257	0.0151919	0.0237671	0.08235	0.104764	0.751117
</S>	0.00719836	0.00195577	0.01339	0.0233817	0.0246355	0.15378	0.0209765	0.754682
