 	ils	ont	cou	vert	la	maison	avec	du	chaume	</S>
b	0.972755	0.0137827	0.0018626	0.000863295	0.00359203	0.000720408	0.00241525	0.00139088	0.00250077	0.000117103
á	0.992088	0.00311395	0.00184564	0.000409232	0.000991391	0.000277868	0.000446612	0.00060204	0.00013565	8.91595e-05
a	0.995677	0.00343618	0.000312854	2.64696e-05	0.000217505	6.84702e-05	0.00010006	5.69601e-05	1.8743e-05	8.60646e-05
á	0.103751	0.804281	0.0380592	0.0225876	0.00599065	0.001966	0.00509725	0.00218158	0.000305661	0.01578
f	0.000474711	0.182792	0.63996	0.131861	0.00807591	0.0163226	0.0097564	0.00639162	0.000513307	0.00385173
ú	0.00060549	0.0841862	0.696367	0.170496	0.0221808	0.0107319	0.00725229	0.00362297	0.000511719	0.00404603
u	0.00112016	0.0276076	0.775766	0.143224	0.04234	0.00224066	0.00313296	0.00233241	0.000987882	0.00124917
n	0.00249385	0.0582649	0.0459863	0.338861	0.398154	0.118693	0.0134051	0.00548425	0.00170379	0.0169547
d	0.000263754	0.00559011	0.00504357	0.0855627	0.5788	0.306435	0.00358585	0.00279374	0.00160446	0.0103204
é	0.000481403	0.00331257	0.0161679	0.173976	0.479481	0.308493	0.00394953	0.00286632	0.00173435	0.00953779
e	0.00014407	0.00534549	0.010637	0.16301	0.539133	0.106464	0.0645181	0.0458441	0.0256437	0.0392606
m	0.000481782	0.00158487	0.00831625	0.0870043	0.255462	0.133857	0.203624	0.132683	0.148345	0.0286414
ó	0.000737727	0.00108206	0.000429668	0.0159951	0.055108	0.00324121	0.149862	0.184228	0.414934	0.174382
t	0.000105575	0.00173256	0.00335239	0.0235902	0.050965	0.0144087	0.129962	0.116078	0.618259	0.041548
s	1.79845e-05	0.000672589	0.0161673	0.0446375	0.0278748	0.00389553	0.0663156	0.0704443	0.741233	0.0287413
ε	7.39772e-06	0.000601257	0.0228608	0.0799073	0.0593786	0.0048614	0.0740926	0.076472	0.654167	0.0276516
s	7.03772e-06	0.000283489	0.00475161	0.0457132	0.0859534	0.0084	0.164045	0.152993	0.379322	0.158531
έ	5.20355e-05	7.08279e-05	0.00241511	0.0135818	0.0274703	0.00672897	0.117924	0.0907696	0.391906	0.349082
</S>	4.78181e-05	0.000621838	0.000608668	0.00401252	0.0201593	0.0149759	0.171636	0.141286	0.0859953	0.560656
