 	j'	ai	loupé	l'	ami	que	je	suis	allé	voir	hier	</S>
b	0.359477	0.153565	0.143599	0.089075	0.08809	0.060245	0.0378728	0.0621164	0.00216746	0.00270879	0.00091458	0.000169331
í	0.0876632	0.169299	0.256726	0.0849197	0.37209	0.0046611	0.0140427	0.00459484	0.0017443	0.00354836	0.000115637	0.000595005
s	0.298935	0.0662062	0.0588003	0.0735716	0.231185	0.0354461	0.187635	0.0165511	0.0122242	0.0114983	0.000501255	0.00744489
í	0.111665	0.171548	0.152596	0.167449	0.0517584	0.0382773	0.191185	0.0701291	0.0271185	0.0129439	0.000141758	0.00518792
l	0.112441	0.229414	0.0716452	0.085545	0.0566614	0.0534646	0.0661133	0.0711619	0.0491074	0.0726988	0.0105123	0.121235
o	0.0915891	0.325636	0.0311173	0.0496863	0.00873224	0.0320469	0.11923	0.0311524	0.0411226	0.135959	0.00169168	0.132037
b	0.0230802	0.336903	0.530045	0.0178249	0.00832132	0.00448458	0.00884734	0.0149975	0.0184352	0.0218185	0.00550754	0.00973526
i	0.0100436	0.176506	0.598001	0.0458843	0.139804	0.0102597	0.00100741	0.00493702	0.00379907	0.00648494	0.000588532	0.00268417
a	0.00179275	0.089011	0.612685	0.125553	0.104194	0.0157977	0.00108654	0.00462597	0.00617985	0.00952607	0.00080007	0.0287473
y	0.0612327	0.212168	0.147857	0.270478	0.0680223	0.1176	0.0224991	0.0539895	0.00725553	0.0154516	0.00296277	0.020483
e	0.0125962	0.108052	0.17537	0.357473	0.031304	0.190508	0.0123284	0.0559227	0.0310784	0.00846535	0.00513949	0.0117624
é	0.0490791	0.0448574	0.0410728	0.246359	0.106629	0.325723	0.0508865	0.0884778	0.0220559	0.00979481	0.00336834	0.0116962
d	0.00511346	0.124639	0.106367	0.0772305	0.124777	0.20751	0.0536948	0.092203	0.125972	0.0549344	0.0169167	0.0106413
z	0.00214291	0.037506	0.0891719	0.0676088	0.0944565	0.213986	0.0200658	0.0843892	0.146823	0.0390162	0.030091	0.174743
w	0.0226706	0.105073	0.119831	0.184463	0.0359985	0.147779	0.0220677	0.0976172	0.226586	0.00697714	0.000566336	0.0303705
e	0.00812843	0.0270038	0.0622894	0.0978798	0.05577	0.194586	0.0342722	0.122877	0.15515	0.027144	0.00580842	0.209091
n	0.0048669	0.0186019	0.00871611	0.100291	0.0583659	0.393488	0.119631	0.241212	0.0224687	0.011601	0.0014476	0.01931
g	0.0454519	0.0227743	0.00411458	0.0441185	0.0133657	0.0877358	0.586656	0.117687	0.00880619	0.00853415	0.00112333	0.0596326
á	0.0159242	0.0190051	0.00476037	0.0534362	0.0301195	0.0234344	0.718598	0.105648	0.0115996	0.0092165	0.000861749	0.00739692
o	0.00131441	0.00724232	0.00161039	0.0245488	0.00682844	0.327176	0.0848799	0.328123	0.123485	0.0451623	0.0103951	0.0392343
t	0.000414218	0.0219724	0.00804693	0.00469539	0.00723059	0.0279867	0.0413707	0.1923	0.529893	0.119892	0.0411895	0.00500874
á	5.94873e-05	0.00639893	0.00723895	0.00611914	0.00698561	0.0298957	0.0198064	0.128092	0.481822	0.164853	0.119549	0.0291795
a	0.00126987	0.00339283	0.00514521	0.0161924	0.00971023	0.107933	0.0555098	0.0907706	0.407536	0.107974	0.0483245	0.146242
l	0.00150851	0.00326078	0.00188046	0.00872402	0.00331536	0.0674794	0.159644	0.189351	0.249553	0.228999	0.0548326	0.0314524
é	0.00409581	0.00457145	0.00282863	0.00558767	0.00324298	0.0307142	0.061669	0.0688329	0.179282	0.342319	0.113051	0.183805
p	0.0102679	0.00271031	0.00231542	0.0263529	0.0134731	0.056772	0.212212	0.168696	0.113125	0.27087	0.0772145	0.0459909
é	0.00456835	0.00313136	0.00136159	0.00756598	0.00594132	0.0399099	0.0611986	0.0775896	0.228057	0.160475	0.371423	0.0387778
s	0.0003361	0.000364466	0.000319079	0.00203605	0.00095412	0.0204846	0.0204182	0.0582412	0.232584	0.252402	0.246614	0.165246
i	0.000753676	0.00371974	0.001635	0.00385217	0.00317187	0.0136831	0.0292544	0.0367708	0.0717319	0.403616	0.218739	0.213072
n	0.0031946	0.00134235	0.000410451	0.00534552	0.00332584	0.0180182	0.0681239	0.122581	0.0390743	0.290828	0.166591	0.281164
i	0.125522	0.00774448	0.00150496	0.00810081	0.00359752	0.00770615	0.452286	0.0577338	0.019534	0.136459	0.0396128	0.140199
l	0.000859976	0.00086945	0.000299005	0.0024567	0.000523675	0.00685427	0.0267033	0.032978	0.0436373	0.421125	0.0856447	0.378049
a	0.00155979	0.00492765	0.0017225	0.00418678	0.00117471	0.0118207	0.0138641	0.0101776	0.0338553	0.233334	0.412413	0.270964
p	0.00066659	0.00166425	0.00297667	0.00917332	0.00254424	0.0199294	0.0358746	0.0415767	0.0365273	0.181703	0.422302	0.245062
ó	0.000141582	0.000392972	0.00235194	0.00204839	0.00182296	0.00782827	0.00998048	0.0171118	0.0381551	0.136003	0.729737	0.0544262
a	0.000109682	0.000184536	0.000154457	0.000211318	7.34535e-05	0.00200831	0.00177841	0.0122498	0.0215215	0.0888819	0.600086	0.272741
</S>	0.00145582	0.00670609	0.000503024	0.00176587	0.000886339	0.0159484	0.00952305	0.0144024	0.00901091	0.12938	0.2372	0.573219
