 	il	a	cassé	sa	bride	</S>
w	0.922192	0.0637608	0.0057337	0.00551001	0.00258728	0.000216233
a	0.919986	0.0231859	0.00317514	0.0503219	0.00318952	0.000141434
á	0.136265	0.759557	0.066094	0.0147841	0.00120527	0.0220955
m	0.0476712	0.647523	0.257493	0.0256552	0.00964252	0.0120148
i	0.017685	0.328855	0.35008	0.0763571	0.0126306	0.214392
k	0.00873265	0.160372	0.736414	0.0289614	0.00371334	0.0618065
y	0.00430569	0.0675175	0.849693	0.0391243	0.000593172	0.0387661
é	0.00115925	0.0507372	0.923056	0.00936935	0.00139027	0.014288
n	0.00965604	0.0785511	0.426578	0.278909	0.0150815	0.191224
á	0.0681906	0.0829439	0.393592	0.275882	0.0263838	0.153008
s	0.0199962	0.0162387	0.0594731	0.427436	0.386517	0.0903393
i	0.00111095	0.00170998	0.00388394	0.0270896	0.927549	0.0386563
n	0.000194311	0.00152911	0.00461532	0.0223945	0.622725	0.348542
g	0.000272726	0.000985848	0.00168405	0.00778498	0.964772	0.0245002
a	0.000222637	0.000348663	0.00172174	0.00479319	0.97174	0.0211737
</S>	0.000802132	0.00561864	0.0339939	0.0984218	0.218443	0.642721
