 	je	noue	le	pan	de	mon	habit	</S>
n	0.680431	0.169985	0.0959064	0.00883976	0.0180275	0.0159862	0.0103427	0.000481651
g	0.986218	0.0046783	0.00178375	1.76444e-05	0.000354134	0.00683813	8.96426e-05	2.06741e-05
á	0.973068	0.0201719	0.00388166	0.000117459	0.000618293	0.00162599	0.000495615	2.13882e-05
l	0.188173	0.262464	0.242396	0.0165506	0.0280168	0.0685457	0.0412147	0.152639
í	0.401585	0.235323	0.101736	0.0262845	0.0487145	0.0342762	0.0100302	0.14205
i	0.0518897	0.20234	0.373048	0.0999792	0.0529372	0.0951564	0.0244643	0.100185
s	0.00436795	0.204076	0.254046	0.479245	0.0162513	0.000431543	0.0129905	0.0285921
ú	0.00223048	0.331692	0.151307	0.475122	0.0210231	0.000594496	0.00551711	0.012513
l	0.0578968	0.321507	0.358548	0.18899	0.0444001	0.00682472	0.00396837	0.0178653
á	0.00180296	0.138804	0.291904	0.224673	0.250823	0.0460055	0.00155876	0.0444285
i	0.0276893	0.102863	0.14973	0.307707	0.236757	0.150042	0.0129894	0.0122225
t	0.00242565	0.0220679	0.10636	0.335892	0.336044	0.0328118	0.14036	0.0240389
ú	0.000113349	0.00369743	0.0648505	0.760967	0.081623	0.00236945	0.0771629	0.00921679
e	0.000121091	0.00676292	0.125895	0.611151	0.196569	0.0136281	0.0344776	0.0113955
l	0.000229154	0.0085687	0.0420974	0.0612563	0.545168	0.255326	0.0431773	0.0441765
ó	0.00103961	0.0167139	0.0475562	0.0931168	0.261989	0.113139	0.158438	0.308007
k	0.00208849	0.00143581	0.0113692	0.0289185	0.0696345	0.122219	0.701115	0.0632204
á	7.33193e-05	0.00070676	0.00315263	0.0057341	0.0357678	0.0109761	0.936119	0.00747023
n	0.00296657	0.0284079	0.0200493	0.0730329	0.168799	0.03551	0.647351	0.0238841
d	0.000469809	0.00561946	0.0165625	0.0186809	0.283302	0.0946709	0.470769	0.109925
á	0.00190877	0.00819529	0.0327182	0.0164536	0.177464	0.0534816	0.606601	0.103177
</S>	0.000815718	0.00459993	0.0188579	0.00908903	0.0853928	0.196791	0.186156	0.498297
