 	ma	femme	est	en	train	de	réchauffer	le	repas	</S>
m	0.878384	0.106901	0.00285533	0.00605472	0.00185037	0.00112109	0.000707189	0.000485838	0.00157996	6.04675e-05
w	0.00584745	0.976117	0.00845029	0.00564537	0.000939912	0.00046815	0.00123125	0.000592663	0.000301622	0.000406237
á	0.0966176	0.891235	0.0052329	0.00164974	0.000501503	0.000966135	0.000786954	0.000231457	0.00273121	4.76174e-05
s	0.772304	0.147153	0.0140309	0.0458738	0.0103743	0.00146634	0.00014721	0.000964461	0.00190892	0.00577697
í	0.655865	0.172226	0.0504878	0.0348391	0.0195933	0.0159072	0.01815	0.00253437	0.00215692	0.02824
y	0.260302	0.0212374	0.294276	0.213458	0.0475307	0.0282501	0.0037806	0.024843	0.0056059	0.100717
a	0.62382	0.0522507	0.187615	0.0331668	0.00960206	0.0512389	0.00687244	0.00852965	0.00378435	0.0231201
n	0.952796	0.00903682	0.0195032	0.00898127	0.00137191	0.00387338	0.000486378	0.000444143	0.00020438	0.00330202
g	0.989864	0.00272384	0.00209251	0.00307132	0.000825899	0.000386194	0.000103287	0.000348515	0.000296677	0.000287829
á	0.147264	0.125771	0.108255	0.235457	0.35046	0.00533357	0.00522447	0.00120366	0.000725419	0.0203069
b	0.00992468	0.00182516	0.317736	0.489776	0.117226	0.04744	0.00329386	0.00633768	0.00130825	0.00513176
ó	0.139733	0.00080893	0.214518	0.127118	0.119824	0.262311	0.00645671	0.0322704	0.0747663	0.0221947
l	0.0546777	0.00241806	0.21157	0.25874	0.201951	0.23112	0.0101405	0.0149149	0.00190816	0.0125596
á	0.35198	0.00309635	0.147044	0.0965329	0.0740955	0.177219	0.0120181	0.0333453	0.012681	0.091988
a	0.0782065	0.0312273	0.338087	0.15179	0.0581374	0.212142	0.0515228	0.0416559	0.0149672	0.0222646
k	0.0112415	0.0033951	0.027574	0.00580031	0.00510956	0.27442	0.657473	0.00527645	0.000748867	0.00896185
u	2.82058e-05	3.45828e-05	0.00429572	0.00150862	0.00110184	0.0692675	0.90266	0.010055	0.00121026	0.00983869
r	0.000805306	2.52465e-05	0.00772447	0.00244924	0.00113931	0.0261867	0.909727	0.016894	0.00169495	0.0333538
ú	0.0285516	8.65288e-06	0.0183033	0.00866799	0.00105727	0.112298	0.604886	0.109856	0.00773862	0.108633
r	0.000751824	2.09927e-05	0.0136449	0.0233131	0.00230671	0.180657	0.388586	0.165554	0.0811607	0.144004
á	0.00821392	9.50441e-06	0.0139861	0.0110969	0.00106184	0.24409	0.188343	0.23355	0.0684096	0.23124
a	0.00607131	0.000331235	0.0057651	0.0071269	0.00294556	0.15328	0.125524	0.520685	0.154805	0.0234651
t	0.000876431	0.000340833	0.00214109	0.00137421	0.0006177	0.0309906	0.476385	0.279089	0.142645	0.0655404
ú	5.19129e-05	4.83931e-05	0.00351549	0.00085563	0.000214223	0.0204947	0.670083	0.142573	0.0483675	0.113796
n	0.000459871	2.17051e-05	0.000639626	0.000366431	7.0816e-05	0.00876388	0.674086	0.16072	0.0180087	0.136863
g	0.00106619	9.39474e-06	0.00209884	0.00120352	0.000103961	0.0301941	0.653211	0.179068	0.0201673	0.112877
u	0.00156937	1.50002e-06	0.00733405	0.00923474	0.00103108	0.042133	0.225203	0.278588	0.315788	0.119117
</S>	0.00112239	7.33559e-06	0.00118534	0.00113629	0.000108072	0.00727364	0.0271982	0.249127	0.0681454	0.644696
