 	nous	étions	en	train	de	t'	attendre	</S>
b	0.83976	0.0246917	0.0300944	0.0831093	0.0106721	0.0099113	0.000830099	0.00093154
í	0.628326	0.0102698	0.032941	0.19661	0.00955693	0.109349	0.0113832	0.00156393
s	0.912311	0.00793296	0.00587027	0.028485	0.00754901	0.0286468	0.00311943	0.00608564
í	0.693027	0.0107087	0.0255768	0.017309	0.0619414	0.113956	0.0600469	0.0174339
l	0.173026	0.0745857	0.0638757	0.0467776	0.0344124	0.0304341	0.0191238	0.557764
é	0.0180773	0.0329155	0.0289504	0.00376658	0.0829584	0.12956	0.0410383	0.662733
d	0.0650072	0.328542	0.239184	0.0767802	0.060195	0.0883663	0.0466419	0.0952838
z	0.0701817	0.438566	0.0757015	0.00355119	0.0707824	0.0104706	0.121274	0.209473
e	0.0168008	0.411889	0.0504488	0.00469585	0.0512621	0.0348693	0.320026	0.110008
l	0.0257523	0.122621	0.310529	0.244023	0.133346	0.0229414	0.0191409	0.121646
é	0.0464703	0.12464	0.216634	0.088832	0.258427	0.0370683	0.0719042	0.156024
e	0.0544534	0.112376	0.219161	0.160566	0.258308	0.0365157	0.0884159	0.0702035
b	0.00615535	0.198741	0.151102	0.0351812	0.19406	0.0106555	0.0997806	0.304324
ó	0.0155868	0.109503	0.415199	0.17341	0.160405	0.00206969	0.0238399	0.0999857
n	0.0017518	0.132247	0.287076	0.254456	0.121992	0.00320883	0.007946	0.191322
d	0.0165443	0.0789151	0.345071	0.142686	0.228535	0.0163896	0.0294877	0.142372
á	0.0153829	0.0302871	0.195519	0.455742	0.133251	0.00594956	0.0252635	0.138606
á	0.0110886	0.00460495	0.0204644	0.0076446	0.245646	0.332049	0.291808	0.0866937
n	0.0185921	0.0245641	0.0182838	0.00173634	0.120044	0.122452	0.624503	0.0698254
ω	0.000571759	0.000465405	0.00120161	0.000143111	0.0188818	0.349036	0.597053	0.0326475
</S>	0.00646597	0.0171778	0.0503262	0.0198257	0.254369	0.0743345	0.0934479	0.484053
