 	qui	a	bouché	cet	étang	</S>
o	0.700629	0.284165	0.0115013	0.00228486	0.00118554	0.000234198
k	0.0380877	0.164163	0.756651	0.00958526	0.0284437	0.0030693
í	0.00190071	0.00887199	0.864562	0.00371026	0.112649	0.00830638
n	0.00179195	0.028294	0.944918	0.00550344	0.0112606	0.00823224
d	0.0460311	0.0920025	0.813361	0.0351432	0.00388312	0.00957894
i	0.160059	0.139371	0.492076	0.0302943	0.0313136	0.146886
s	0.240943	0.218015	0.0715381	0.312906	0.117271	0.0393276
i	0.0218096	0.00836175	0.0369669	0.201481	0.573539	0.157842
e	0.0823745	0.0413306	0.00672207	0.186899	0.613306	0.0693683
t	0.00252729	0.00549356	0.0250154	0.0772966	0.640749	0.248919
ó	0.000616472	0.00398347	0.016231	0.0192045	0.872603	0.0873611
n	0.000548214	0.00228623	0.0413649	0.047724	0.751665	0.156411
g	0.00466737	0.00731254	0.0660799	0.0920613	0.50345	0.326429
o	0.0159598	0.0050738	0.00781129	0.0410096	0.761284	0.168861
y	0.00361946	0.00834107	0.0239395	0.150814	0.167375	0.645911
é	0.111513	0.157721	0.0336479	0.20939	0.230443	0.257285
a	0.0361671	0.0314935	0.0174131	0.113775	0.101836	0.699316
d	0.00995684	0.0322504	0.190035	0.240252	0.0322904	0.495215
z	0.00312631	0.00752455	0.143402	0.30527	0.0121169	0.528561
e	0.00266042	0.00197923	0.0134213	0.660257	0.0121909	0.309491
n	0.0192881	0.00564945	0.0244021	0.357988	0.0228772	0.569795
d	0.00299516	0.00466665	0.011544	0.0548522	0.23498	0.690962
a	0.00290413	0.00176089	0.002389	0.0247565	0.116168	0.852021
</S>	0.000193924	0.000253447	0.00167758	0.00832172	0.191168	0.798385
