 	ce	que	l'	enfant	raconte	à	sa	mère	est	vrai	</S>
p	0.373855	0.540067	0.0491653	0.00798273	0.00619212	0.0125241	0.00791845	0.000446946	0.00114735	0.000589432	0.000111755
ώ	0.268023	0.602044	0.0315373	0.0202023	0.0218655	0.0138313	0.0113698	0.00217041	0.00188133	0.0259433	0.0011318
ω	0.0925242	0.325464	0.216179	0.0220354	0.0621606	0.127019	0.0966273	0.00393924	0.0172433	0.0177998	0.0190073
y	0.104716	0.146015	0.583962	0.0766288	0.0209828	0.0158837	0.00585405	0.00100987	0.0289032	0.00145293	0.0145913
é	0.19802	0.206415	0.360181	0.120639	0.0220828	0.0346327	0.0241954	0.00720519	0.0095787	0.00162234	0.0154268
é	0.0711189	0.0645166	0.374606	0.244975	0.0867825	0.0527221	0.0478574	0.00602446	0.0171218	0.00244833	0.0318271
t	0.0291462	0.0225756	0.330352	0.192593	0.261076	0.0431728	0.00655344	0.0078598	0.0502229	0.00826536	0.0481832
i	0.0184293	0.0821139	0.328618	0.0771374	0.211555	0.0260656	0.00719123	0.0155404	0.0443721	0.0437129	0.145264
á	0.0516384	0.0602914	0.412865	0.185504	0.0707696	0.0469292	0.0123777	0.00662071	0.0250026	0.0158243	0.112177
m	0.00881596	0.0054485	0.132989	0.179277	0.284085	0.239646	0.105725	0.0234509	0.0114186	0.00269981	0.0064439
w	0.00556171	0.00178594	0.00635125	0.868495	0.00121878	0.0516203	0.0229655	0.0152936	0.00916408	0.00107346	0.0164705
á	0.00301126	0.00186231	0.00528654	0.822604	0.0045725	0.0849944	0.0421464	0.0157081	0.00243233	0.00355822	0.0138244
n	0.0467462	0.00515498	0.0147723	0.485203	0.0133644	0.151736	0.193383	0.0261368	0.00629289	0.0155985	0.0416113
a	0.0154204	0.0114257	0.0407759	0.647958	0.0368194	0.0649083	0.0627343	0.0134548	0.00288107	0.00935375	0.0942686
l	0.0260318	0.0195458	0.133164	0.0526637	0.164912	0.253643	0.216756	0.050023	0.0547851	0.017418	0.0110575
a	0.00187674	0.00405369	0.0314074	0.00714487	0.456933	0.193239	0.0397745	0.0221627	0.124528	0.0207643	0.0981154
n	0.00381206	0.00166532	0.0329669	0.0195087	0.169669	0.29579	0.277992	0.0523772	0.0783864	0.0289168	0.0389154
g	0.000198929	0.000484473	0.00277585	0.00440058	0.388067	0.108685	0.084215	0.377816	0.0130664	0.00408548	0.0162057
ó	0.00019573	0.00100625	0.00739981	0.00333658	0.172533	0.0523468	0.046151	0.68347	0.0109958	0.00558855	0.0169767
o	6.43868e-05	0.000349288	0.00311974	0.00237959	0.0330767	0.0189013	0.0191315	0.89026	0.00993012	0.00274432	0.0200431
y	0.00129951	0.0026099	0.00914878	0.0125844	0.0414713	0.185207	0.160834	0.0720411	0.397411	0.0512356	0.066158
í	0.0382493	0.0292696	0.0641651	0.0290932	0.121565	0.224528	0.147801	0.0593644	0.174158	0.063912	0.0478945
i	0.00326791	0.00228281	0.0348552	0.0149427	0.132151	0.184657	0.304883	0.0228044	0.176706	0.0441374	0.0793129
é	0.000576148	0.000422	0.0012047	0.00157663	0.0113517	0.0138083	0.00669922	0.00231502	0.0952412	0.557237	0.309568
d	0.000533326	0.00209174	0.0113649	0.000973766	0.0246894	0.0184971	0.00461879	0.00268485	0.600094	0.225422	0.10903
í	0.00275693	0.00134867	0.0052766	0.00360021	0.0107897	0.0188372	0.00540795	0.000626551	0.295565	0.296437	0.359355
m	0.00543393	0.000509052	0.0160038	0.00292371	0.0124322	0.0645483	0.0182558	0.000461882	0.329932	0.229002	0.320497
b	0.00340816	0.00140436	0.00378255	0.00713466	0.000792615	0.0207925	0.0135784	0.000577607	0.084282	0.616627	0.24762
v	0.000201073	0.000101264	0.000244067	0.000216163	0.000161894	0.00281872	0.000976297	0.000162041	0.0206395	0.624497	0.349982
a	0.000636205	0.000433641	0.000479311	0.000280596	0.000741227	0.00616225	0.00227696	0.000332982	0.0167797	0.599004	0.372873
m	0.000393718	0.000128815	0.000307827	0.000218588	0.000839697	0.00361346	0.00212948	0.000192386	0.0275531	0.367492	0.597131
b	0.00601931	0.00156655	0.00361488	0.00222909	0.00138143	0.0312718	0.0138801	0.000357721	0.107843	0.54629	0.285546
v	0.00894043	0.00165164	0.00170733	0.001033	0.000719359	0.0121207	0.0043614	0.000133604	0.024885	0.607931	0.336516
a	0.00481058	0.0015833	0.00143119	0.0019748	0.00240011	0.00956625	0.00373141	0.000759518	0.020368	0.328006	0.625369
</S>	0.000966471	0.000215155	0.000410878	0.000352827	0.000867132	0.00394246	0.0025698	0.000278311	0.0247984	0.389945	0.575653
