 	les	femmes	fouillent	les	arachides	dans	la	terre	</S>
a	0.656388	0.321102	0.00351234	0.015329	0.000223491	0.00149484	0.00170974	0.000121673	0.000119236
y	0.0654692	0.860309	0.0688635	0.00137679	0.00134693	0.000554545	0.00108303	0.000813185	0.000184086
ú	0.461667	0.50066	0.0194021	0.00340279	0.00622751	0.00122686	0.0012383	0.00437054	0.00180476
r	0.401593	0.561152	0.00890172	0.00228082	0.00784736	0.00478779	0.00331472	0.00323584	0.0068871
u	0.832718	0.15131	0.00502992	0.00199997	0.00400681	0.00102098	0.000743772	0.000899431	0.00227078
b	0.450521	0.0819698	0.260285	0.0884828	0.0140563	0.0324952	0.0251646	0.00361969	0.0434056
á	0.317581	0.0204488	0.0841829	0.191321	0.00862035	0.0998105	0.101651	0.00968828	0.166697
a	0.307002	0.0812403	0.261835	0.249629	0.0243981	0.0393822	0.021604	0.00259395	0.012315
s	0.00419	0.00255789	0.942495	0.0197042	0.0181197	0.00511777	0.0023661	0.000398213	0.0050512
ω	0.00233347	0.00972471	0.947969	0.00341961	0.0240179	0.00730516	0.000748191	0.000358686	0.00412354
l	0.00201616	0.00172	0.795302	0.0325387	0.0953171	0.035121	0.0110114	0.00601733	0.0209562
ώ	0.0439975	0.00334208	0.36562	0.235742	0.144583	0.0849764	0.0558155	0.0115198	0.0544035
ώ	0.0303653	0.00198833	0.0468251	0.654722	0.115718	0.0705015	0.040178	0.00743528	0.0322669
n	0.0245636	0.0140823	0.0210321	0.314025	0.296087	0.223329	0.0667721	0.0330692	0.00704008
d	0.0440071	0.0144436	0.00492258	0.169027	0.535866	0.0986429	0.0213034	0.0200196	0.0917677
z	0.00287108	0.00164404	0.00203345	0.0420978	0.788021	0.0346686	0.0118	0.0735621	0.0433019
o	0.000582033	0.000669188	0.000753743	0.0098096	0.820806	0.0130705	0.00514883	0.114358	0.034802
ó	0.0543972	0.00818149	0.0209905	0.0333105	0.426209	0.0367125	0.0198675	0.251483	0.148848
s	0.00192162	0.000304572	0.0120837	0.185035	0.0861851	0.413057	0.164342	0.0234113	0.11366
á	0.00644551	0.000740787	0.00622831	0.0541743	0.0741052	0.200256	0.153067	0.0562107	0.448773
t	0.0136392	0.00161523	0.000585917	0.0247853	0.02865	0.161641	0.375729	0.313514	0.0798401
s	0.00129568	0.000290283	0.00129957	0.00859682	0.033936	0.0286538	0.0541367	0.823932	0.0478597
ε	0.00218419	7.52688e-05	0.00641061	0.00400445	0.00666892	0.0296471	0.0555355	0.871118	0.024356
n	0.000510701	3.35559e-05	0.00187664	0.0164897	0.0253209	0.14371	0.153167	0.388393	0.270498
g	0.000748481	0.000179663	0.0023534	0.00572554	0.036797	0.12774	0.245414	0.423791	0.15725
ε	0.00117997	5.41161e-05	0.000202817	0.00504151	0.0341635	0.0160781	0.0415716	0.801176	0.100533
</S>	0.00301656	5.2741e-05	0.000299536	0.00673548	0.0050663	0.0531016	0.162724	0.0637124	0.705292
