 	l'	enfant	a	progressé	dans	ses	études	</S>
m	0.930998	0.065796	0.000472116	0.000513472	0.000605742	0.000719547	0.000688034	0.000206791
w	0.0142218	0.945476	0.0272041	0.00257406	0.00906206	0.000636607	3.37704e-06	0.000822094
á	0.00890781	0.99065	0.000155348	2.34252e-05	0.000222262	2.006e-05	1.33928e-05	7.32428e-06
n	0.25282	0.735839	0.003009	0.00146174	0.00147849	0.000382028	0.000546478	0.00446307
a	0.246568	0.650155	0.0387491	0.0203737	0.012308	0.00164707	0.000891442	0.029308
á	0.294898	0.109253	0.363345	0.131454	0.0257707	0.0175734	0.00879592	0.0489102
m	0.0585301	0.0379191	0.471766	0.337729	0.0485261	0.0181781	0.00266006	0.0246922
i	0.00892121	0.0294155	0.372872	0.420061	0.126487	0.0285953	0.00144171	0.0122068
s	0.00255013	0.00994959	0.0832965	0.778957	0.0733778	0.0278802	0.00968355	0.0143051
έ	0.00932893	0.0331349	0.0687954	0.57426	0.238268	0.044154	0.00480822	0.0272499
l	0.00116127	0.00239098	0.0444249	0.238934	0.432217	0.149573	0.0216862	0.109613
έ	0.029332	0.0147621	0.113114	0.396081	0.268582	0.118075	0.0287286	0.0313252
l	0.0495593	0.0057042	0.0577766	0.119369	0.419932	0.255141	0.0595489	0.0329685
a	0.0319928	0.00204852	0.0255453	0.11408	0.451371	0.280965	0.0408544	0.0531439
l	0.00760348	0.00217009	0.0103363	0.0269695	0.435715	0.37672	0.0931358	0.0473501
e	0.00918317	0.00192105	0.00892011	0.0314109	0.382006	0.375398	0.0868846	0.104277
k	0.0015503	0.00090559	0.00731253	0.0122777	0.204887	0.461259	0.16862	0.143187
ώ	0.000266127	0.000124536	0.000493223	0.00292779	0.0118942	0.056277	0.863023	0.0649936
ώ	0.00011509	5.14118e-05	0.00191081	0.016868	0.0131794	0.0842894	0.855087	0.0284984
l	0.00251685	0.000565598	0.019412	0.0221688	0.103276	0.199196	0.240249	0.412615
i	0.00454998	0.000735716	0.0208717	0.0469374	0.0948086	0.182257	0.266439	0.383401
</S>	0.0211336	0.000520998	0.0416799	0.020264	0.0674246	0.0963743	0.0725307	0.680072
