 	papa	a	surpris	un	voleur	dans	le	champ	</S>
t	0.969315	0.0243259	0.000360765	0.00263099	0.00257369	0.000448602	0.000329107	3.86407e-06	1.25627e-05
á	0.697751	0.289716	0.00154916	0.00262619	0.00196018	0.00190562	0.00394477	0.000374118	0.00017325
á	0.415525	0.506215	0.0256258	0.0265976	0.0114266	0.00530407	0.0016993	0.000159144	0.00744737
á	0.274881	0.530656	0.103654	0.0175169	0.00821462	0.0212009	0.0128497	0.000366098	0.0306615
d	0.00814806	0.194391	0.766571	0.0142086	0.00194142	0.00457934	0.00340876	0.000349161	0.00640249
i	0.0285432	0.0761183	0.834387	0.0145027	0.00215522	0.0116477	0.00450809	0.000168934	0.0279685
b	0.00283226	0.0338368	0.691368	0.203907	0.0123625	0.0200866	0.0109045	0.000699584	0.0240022
h	0.0150633	0.204332	0.428299	0.272562	0.0550803	0.0153216	0.00572634	0.00111846	0.00249702
i	0.0229075	0.047477	0.531166	0.222953	0.111611	0.0183115	0.00704177	0.00031711	0.0382151
s	0.0218284	0.149801	0.085498	0.406853	0.23262	0.0336968	0.00940668	0.0020524	0.0582433
i	0.00845523	0.0247649	0.308629	0.425937	0.12263	0.0505156	0.0120428	0.00628859	0.0407355
m	0.00134378	0.062954	0.027957	0.381005	0.416488	0.0693636	0.016403	0.00797117	0.016514
ú	0.000486895	0.00218979	0.0031772	0.0272575	0.946066	0.0127939	0.00383081	0.000343401	0.00385461
b	0.00167442	0.00603866	0.00329866	0.0863405	0.877583	0.0169594	0.00576335	4.50325e-05	0.0022969
h	0.00264803	0.0282188	0.0299164	0.484164	0.106933	0.184462	0.0865812	0.0030513	0.0740254
u	0.00100632	0.00694124	0.0167847	0.430872	0.0868977	0.172924	0.0682431	0.0366637	0.179667
s	0.000134	0.000695694	0.0135711	0.156742	0.0182422	0.521233	0.220209	0.0130668	0.0561056
á	0.000875029	0.00257259	0.00689817	0.0956862	0.0569324	0.453918	0.160687	0.0347416	0.187689
n	0.00104231	0.00213535	0.00368443	0.0299505	0.0154772	0.313428	0.232687	0.374748	0.0268468
g	6.29143e-05	0.000815993	0.000176507	0.00413266	0.00119242	0.0245769	0.0294768	0.927608	0.0119583
o	3.01448e-05	0.000284457	3.55194e-05	0.000381546	9.18495e-05	0.00331099	0.00486594	0.990032	0.00096795
n	5.34473e-05	3.5718e-05	5.6238e-05	0.00259645	0.00137708	0.00452526	0.00455351	0.981286	0.00551624
d	0.00221907	0.00199903	0.00095117	0.0128325	0.00556551	0.0675849	0.0776864	0.207409	0.623752
a	0.000660088	0.000960545	8.78681e-05	0.00411556	0.000430269	0.0104277	0.0150858	0.833356	0.134876
</S>	6.37342e-05	0.00310033	0.00366085	0.0169414	0.000824909	0.102651	0.234142	0.179891	0.458725
