 	j'	ai	mangé	un	morceau	de	pain	avec	le	miel	</S>
n	0.949277	0.00751195	0.00152395	0.0109042	0.00837679	0.0146127	0.0040372	0.00134534	0.00172839	0.000443969	0.000238866
g	0.99831	0.00139826	3.26495e-05	9.82276e-05	3.67139e-05	4.26399e-05	8.1952e-06	7.57444e-06	1.97914e-05	4.48394e-05	1.5185e-06
á	0.978676	0.018097	0.00153067	0.00053977	0.000213009	8.79037e-05	2.25383e-05	3.10334e-05	8.95143e-05	0.000704705	8.01168e-06
í	0.071791	0.413569	0.0417744	0.0829053	0.0120141	0.0223149	0.0233587	0.0179286	0.0179593	0.011492	0.284893
d	0.0212595	0.358429	0.547158	0.0489918	0.00597092	0.00194788	0.000897919	0.00291336	0.00223634	0.00124817	0.00894787
z	0.00775518	0.104035	0.878943	0.00555457	0.000587363	0.000151739	0.000286697	0.000318258	0.000134363	0.000276022	0.00195846
é	0.0260097	0.128297	0.829569	0.0112324	0.00128376	0.00056463	0.000919002	0.000248752	0.000139018	0.000965772	0.000770384
e	0.0617244	0.0773418	0.139926	0.259936	0.119196	0.121864	0.037525	0.0406743	0.0251604	0.00726613	0.109386
n	0.00109463	0.0192611	0.0543115	0.492097	0.363	0.021982	0.0265872	0.00503615	0.00191476	0.00409252	0.0106229
d	0.000711084	0.0268369	0.069872	0.404237	0.305068	0.0314818	0.00919808	0.00687791	0.008062	0.0612303	0.0764249
á	0.00293436	0.102348	0.0434996	0.280579	0.295077	0.0370815	0.0301418	0.0060117	0.0115148	0.0931332	0.0976797
m	6.15478e-05	0.0041795	0.000661304	0.133815	0.452643	0.283815	0.0673425	0.0137736	0.0114657	0.00745392	0.0247884
b	0.000106157	0.00407057	0.00292572	0.0698373	0.13371	0.208324	0.344016	0.0945268	0.0655708	0.0244121	0.0525007
e	2.68001e-05	0.00103706	0.00408228	0.114329	0.463606	0.166494	0.0516093	0.0495909	0.0317999	0.0918694	0.025556
y	5.85581e-06	0.000415343	0.000905517	0.0757274	0.505406	0.198535	0.130456	0.0449632	0.00647457	0.00610063	0.0310096
á	3.93809e-05	0.00187897	0.00135807	0.0616974	0.302703	0.221513	0.273972	0.0479477	0.0269909	0.0356639	0.0262348
m	0.000171021	0.00109087	0.000726575	0.0121758	0.0590824	0.272422	0.411501	0.11816	0.0540317	0.0457656	0.0248728
á	2.46521e-05	0.000714374	0.000623066	0.00434804	0.00901645	0.0923708	0.265456	0.199821	0.172526	0.0458168	0.209283
p	0.000332435	0.00306288	0.00120456	0.0126768	0.0255373	0.0868282	0.324121	0.240742	0.0978271	0.176945	0.0307226
a	7.71037e-05	6.29196e-05	0.000114141	0.00417061	0.0176963	0.025827	0.636682	0.167345	0.0408884	0.0712206	0.0359166
l	2.59673e-05	5.63215e-05	0.00017608	0.0040085	0.0217274	0.0383448	0.375719	0.256983	0.0663305	0.0645659	0.172062
a	8.7394e-05	0.000463322	0.000825142	0.0140947	0.0344291	0.0455092	0.0426618	0.269322	0.236647	0.166153	0.189808
n	4.75823e-05	0.000689074	0.000441692	0.0056947	0.00628074	0.0270029	0.0104095	0.208304	0.276888	0.0466175	0.417625
d	0.00177936	0.0056116	0.000714041	0.0108192	0.00941835	0.0112916	0.00626135	0.0374722	0.243903	0.442219	0.230511
z	0.00175216	0.00125278	0.000300863	0.0012886	0.00200753	0.00355018	0.00676744	0.0189779	0.115139	0.599739	0.249225
ú	5.89401e-06	2.45598e-05	3.84893e-05	0.00064104	0.00200872	0.00184877	0.0114495	0.0218988	0.082476	0.808202	0.0714058
e	0.000168823	0.000110276	0.000228809	0.00246019	0.0101143	0.00670447	0.0153765	0.015955	0.0342152	0.609312	0.305355
</S>	3.60385e-06	0.000308868	9.86601e-05	0.00320434	0.00353099	0.0121352	0.00451522	0.087254	0.0967598	0.0374228	0.754766
