 	hier	soir	nous	nous	sommes	égarés	dans	la	forêt	</S>
l	0.829113	0.0726163	0.0337144	0.0311443	0.0281222	0.000297106	0.00151833	0.00248283	0.000919927	7.17353e-05
a	0.903939	0.0605988	0.0133036	0.00585048	0.00455584	0.00345913	0.00281563	0.00324714	0.00186079	0.000369559
p	0.832794	0.118609	0.0190501	0.00799405	0.00694476	0.00445411	0.00270996	0.00243624	0.00375555	0.00125198
ó	0.736381	0.149706	0.00377381	0.00490101	0.00686436	0.00452991	0.00248899	0.00174972	0.0196083	0.069997
a	0.794784	0.160188	0.0080841	0.00371724	0.0049385	0.00754099	0.00244696	0.0013504	0.00136454	0.0155854
l	0.325847	0.273241	0.140903	0.097216	0.0394146	0.0137644	0.0368856	0.00979059	0.00105581	0.0618825
e	0.146266	0.581124	0.0854797	0.0323178	0.0102085	0.0112502	0.0311885	0.0128127	0.00126668	0.0880857
k	0.105631	0.603199	0.14381	0.0389522	0.015008	0.0212008	0.0180057	0.0103045	0.00257287	0.0413157
ω	0.0236675	0.947609	0.0149668	0.00261134	0.00769721	0.000707584	0.000564553	0.000224431	0.00101014	0.000941199
k	0.0304263	0.793856	0.0439367	0.0111281	0.0768099	0.00406465	0.0135361	0.00654801	0.00916726	0.0105267
ω	0.0441134	0.623187	0.0823137	0.0464147	0.0815721	0.00319343	0.0162995	0.00800558	0.0137495	0.0811509
ω	0.0454548	0.178056	0.240593	0.180703	0.286949	0.00250047	0.0217496	0.0107176	0.00634634	0.0269306
b	0.0111533	0.0446379	0.150907	0.116485	0.593489	0.0148851	0.0298761	0.0071	0.00135962	0.0301065
í	0.0012333	0.0114648	0.231098	0.0931994	0.624077	0.00952169	0.0141451	0.00536817	0.00237883	0.00751411
s	0.00236604	0.0153608	0.366181	0.285139	0.154439	0.0108939	0.0249783	0.0158696	0.0160395	0.108733
í	0.00130746	0.00465835	0.221241	0.616055	0.078244	0.00738268	0.0109822	0.00896114	0.0040918	0.0470765
l	0.00434246	0.015174	0.168983	0.222761	0.23493	0.0361709	0.164082	0.050348	0.0193834	0.0838251
é	0.0142782	0.0157518	0.0473464	0.071279	0.0122497	0.0895231	0.215555	0.0545896	0.00351143	0.475916
l	0.00244113	0.0156374	0.052567	0.0232334	0.0475648	0.477538	0.307575	0.0446903	0.0153675	0.0133857
é	0.00591961	0.0103575	0.0393371	0.023495	0.0289616	0.449061	0.31684	0.0490942	0.0181997	0.0587342
m	0.00179986	0.00941029	0.0146466	0.00686387	0.0204493	0.58793	0.233432	0.0502096	0.0530373	0.0222216
b	0.000371953	0.000321611	0.00341905	0.00689364	0.0180336	0.457562	0.242222	0.14345	0.0329137	0.0948118
i	0.000124532	0.000471205	0.00861396	0.0140157	0.0558951	0.354328	0.171943	0.157398	0.0240901	0.21312
s	0.00044787	0.0010532	0.00281297	0.00314027	0.0498907	0.0410973	0.45165	0.228017	0.0833312	0.138559
ó	0.000165562	0.000891474	0.00122353	0.00239169	0.00475132	0.100598	0.144399	0.152831	0.107793	0.484955
k	0.000367644	0.0008078	0.00446779	0.0059353	0.00558545	0.00916155	0.23426	0.268756	0.260977	0.209682
o	0.000577319	0.00332416	0.00393188	0.00111398	0.00267254	0.00099737	0.0185207	0.034428	0.846175	0.0882587
n	0.00112799	0.00270416	0.00282539	0.00155191	0.00921044	0.0140124	0.0235662	0.0275224	0.847563	0.0699166
d	0.00103696	0.0077577	0.000877512	0.00108786	0.0143714	0.0590035	0.160008	0.18955	0.285646	0.280662
a	0.000478274	0.00329691	0.000329566	0.00033195	0.00141778	0.0149134	0.083981	0.0920056	0.45554	0.347705
</S>	0.00176023	0.00681212	0.00677792	0.00492653	0.00499115	0.00499525	0.12902	0.278307	0.203807	0.358603
