 	il	se	met	à	l'	abri	du	soleil	</S>
w	0.603834	0.235048	0.0684409	0.0501104	0.0251909	0.00773189	0.00840105	0.000996919	0.000246413
a	0.57804	0.221742	0.0459191	0.0569634	0.0499341	0.000875642	0.0383871	0.00798868	0.000150631
l	0.128934	0.406948	0.331879	0.0807328	0.0335388	0.00278238	0.0062168	0.00229241	0.00667578
á	0.120064	0.176483	0.234293	0.0917682	0.0515983	0.00410192	0.0318541	0.0201575	0.269681
a	0.23769	0.145615	0.29389	0.163906	0.04791	0.00170116	0.0126678	0.0244365	0.0721837
t	0.03575	0.263002	0.283685	0.204325	0.0933722	0.0732957	0.00430828	0.00603066	0.0362311
έ	0.0244391	0.259427	0.15225	0.185451	0.124571	0.20357	0.00289902	0.00231167	0.0450811
m	0.0312567	0.127658	0.266677	0.297508	0.174247	0.0396061	0.0151152	0.00262518	0.0453068
έ	0.0281128	0.0434995	0.141663	0.27744	0.202644	0.0280871	0.0718805	0.0761584	0.130516
ó	0.020951	0.045822	0.185287	0.225737	0.294525	0.078119	0.0769718	0.0273512	0.0452358
m	0.00791704	0.0217315	0.0333483	0.109886	0.218594	0.321782	0.203167	0.074916	0.00865766
w	0.00920556	0.0380793	0.0207519	0.102298	0.0787208	0.0573227	0.11156	0.481981	0.10008
é	0.000670673	0.00319346	0.00442128	0.0126719	0.0130022	0.0163247	0.0135975	0.902021	0.0340969
s	0.0115479	0.0130287	0.0189329	0.0663923	0.0545543	0.0233092	0.132911	0.486614	0.192709
é	0.00513172	0.00699083	0.0113156	0.0353078	0.0379845	0.0248634	0.0426701	0.685735	0.150001
</S>	0.00972258	0.0147517	0.0660495	0.0873921	0.136313	0.0940327	0.34939	0.0473911	0.194957
