 	il	y	a	une	petite	brouille	entre	eux	</S>
b	0.205653	0.261483	0.25445	0.185781	0.0514975	0.00206256	0.0374821	0.00136164	0.000229948
á	0.444015	0.208478	0.0515904	0.0449441	0.089292	0.00157646	0.0552239	0.102937	0.00194348
a	0.086588	0.544561	0.193361	0.0795676	0.0219116	0.000896559	0.0073767	0.0468574	0.0188796
á	0.0229117	0.0692803	0.447404	0.280224	0.113559	0.00457754	0.00508591	0.00217446	0.0547836
m	0.00207516	0.015068	0.0896864	0.166763	0.4561	0.226274	0.0158231	0.00554028	0.0226705
i	0.00535427	0.016671	0.0595024	0.207639	0.352149	0.264658	0.0459163	0.0098848	0.0382248
t	0.00125981	0.00227061	0.0149619	0.0718482	0.316768	0.560939	0.00763011	0.00174699	0.0225755
ó	0.000143127	0.00215702	0.00654742	0.0738169	0.0954384	0.805094	0.00666765	0.000706655	0.0094286
a	0.000881491	0.0195736	0.0752559	0.276389	0.22842	0.32133	0.0518812	0.00229645	0.023973
n	0.00205925	0.00828981	0.0568361	0.0686664	0.301839	0.135627	0.396985	0.015138	0.0145592
g	0.00409771	0.00103781	0.00285675	0.0116068	0.0903597	0.269396	0.554482	0.0418549	0.0243085
ó	0.000865951	0.000575115	0.00296013	0.0202184	0.0953061	0.265774	0.571572	0.0277991	0.01493
l	0.000147121	0.000209248	0.000583515	0.00509874	0.0249953	0.210757	0.572594	0.102592	0.0830234
ó	0.00216208	0.00238455	0.00308792	0.00922239	0.0731024	0.515245	0.314386	0.0257663	0.0546427
m	0.000208635	0.000442764	0.000929614	0.00341819	0.0422599	0.338266	0.316465	0.213268	0.0847407
b	0.00476851	0.00202862	0.00216562	0.00345066	0.0350186	0.0282335	0.458371	0.128065	0.337899
é	0.00789365	0.00294713	0.00165779	0.00473147	0.0415139	0.00978292	0.182025	0.446158	0.30329
</S>	0.000975004	0.00177245	0.00478424	0.00326514	0.0138501	0.00939678	0.133671	0.483544	0.348741
